question,body,A,B,C,D,E,gpt-4_answer,gpt-4_probs
QUESTÃO 101,"Técnica modifica proteína do veneno de cascavel e permite criar fármaco que modula a coagulação sanguínea O veneno da cascavel pode causar hemorragia com risco de morte a quem é picado pela serpente. No entanto, pesquisadores do Brasil e da Bélgica desenvolveram uma molécula de interesse farmacêutico, a PEG-collineína-1, a partir de uma proteína encontrada no veneno dessa cobra, capaz de modular a coagulação sanguínea. Embora a técnica não seja nova, foi a primeira vez que o método foi usado a partir de uma toxina animal na sua forma recombinante, ou seja, produzida em laboratório por um fungo geneticamente modificado. Esse novo medicamento apresenta potencial aplicação para","A impedir a formação de trombos, típicos em alguns casos de acidente vascular cerebral.","B tratar consequências da anemia profunda, em razão da perda de grande volume de sangue.","C evitar a manifestação de urticárias, comumente relacionadas a processos alérgicos.","D reduzir o inchaço dos linfonodos, parte da resposta imunitária de diferentes infecções.","E regular a oscilação da pressão arterial, característica dos quadros de hipertensão.",A,"{'A': 0.9997995294818703, 'B': 4.663518713224852e-07, 'E': 4.4060532974585405e-08, 'D': 9.998005286268396e-05, 'C': 9.998005286268396e-05}"
QUESTÃO 102,"On the Gravitational Field of a Mass Point According to Einstein’s Theory Um Buraco Negro é um corpo celeste que possui uma grande quantidade de matéria concentrada em uma pequena região do espaço, de modo que sua força gravitacional é tão grande que qualquer partícula fica aprisionada em sua superfície, inclusive a luz. O raio dessa região caracteriza uma superfície-limite, chamada de horizonte de eventos, da qual nada consegue escapar. Considere que o Sol foi instantaneamente substituído por um Buraco Negro com a mesma massa solar, de modo que o seu horizonte de eventos seja de aproximadamente 3,0 quilômetros. Após a substituição descrita, o que aconteceria aos planetas do Sistema Solar?","A Eles se moveriam em órbitas espirais, aproximando-se sucessivamente do Buraco Negro.",B Eles oscilariam aleatoriamente em torno de suas órbitas elípticas originais.,C Eles se moveriam em direção ao centro do Buraco Negro.,D Eles passariam a precessionar mais rapidamente.,E Eles manteriam suas órbitas inalteradas.,E,"{'E': 0.9999995889195425, 'A': 2.0061564387098672e-07, 'D': 1.008758807733044e-07, 'C': 6.412061107577815e-08, 'B': 4.546832173549821e-08}"
QUESTÃO 103,"Aplicações e implicações do ozônio na indústria, ambiente e saúde Durante o ano de 2020, impulsionado pela necessidade de respostas rápidas e eficientes para desinfectar ambientes de possíveis contaminações com o SARS-CoV-2, causador da covid-19, diversas alternativas foram buscadas para os procedimentos de descontaminação de materiais e ambientes. Entre elas, o uso de ozônio em meio aquoso como agente sanitizante para pulverização em humanos e equipamentos de proteção em câmaras ou túneis, higienização de automóveis e de ambientes fechados e descontaminação de trajes. No entanto, pouca atenção foi dada à toxicidade do ozônio, à formação de subprodutos, ao nível de concentração segura e às precauções necessárias. O grande risco envolvido no emprego indiscriminado dessa substância deve-se à sua ação química como",A catalisador.,B oxidante.,C redutor.,D ácido.,E base.,B,"{'B': 0.9998997630801664, 'A': 2.2730458280751142e-07, 'D': 1.365070123158662e-08, 'C': 5.9635497092731985e-09, 'E': 9.999000099990004e-05}"
QUESTÃO 104,"Na figura está representado o mosaicismo em função da inativação aleatória de um dos cromossomos X, que ocorre em todas as mulheres sem alterações patológicas. Descrição da figura: Ilustração de um corpo humano feminino com as legendas Células com cromossomo X paterno inativado , em cor preta, e Células com cromossomo X materno inativado , em cor branca. Do corpo humano feminino partem setas que indicam amostras de células corporais (três em cor branca e três em cor preta). Ao lado estão representados o gameta masculino (22+X), por um espermatozoide em cor preta, e o gameta feminino (22+X), representado por um círculo em cor branca. Esses gametas se unem para formar o zigoto (44+XX), representado por uma célula com metade do núcleo em cor preta e metade em cor branca. Uma seta parte do zigoto indicando a formação da blástula (44+XX). A blástula é formada por algumas células em cor preta e outras em cor branca. Uma seta associa uma das células da blástula de cor preta a uma das amostras de células corporais em cor preta. Uma seta associa uma das células da blástula em cor branca a uma amostra de células corporais em cor branca. Entre mulheres heterozigotas para doenças determinadas por genes recessivos ligados ao sexo, essa inativação tem como consequência a ocorrência de",A pleiotropia.,B mutação gênica.,C interação gênica.,D penetrância incompleta.,E expressividade variável.,E,"{'E': 0.9994171025190971, 'D': 0.0005527621421521825, 'C': 1.7221813142806503e-05, 'B': 9.967220774657327e-06, 'A': 2.9463048332703057e-06}"
QUESTÃO 105,"Uma lanterna funciona com três pilhas de resistência interna igual a 0,5 ohm cada, ligadas em série. Quando posicionadas corretamente, devem acender a lâmpada incandescente de especificações 4,5 watts e 4,5 volts. Cada pilha na posição correta gera uma f.e.m. (força eletromotriz) de 1,5 volt. Uma pessoa, ao trocar as pilhas da lanterna, comete o equívoco de inverter a posição de uma das pilhas. Considere que as pilhas mantêm contato independentemente da posição. Com esse equívoco, qual é a intensidade de corrente que passa pela lâmpada ao se ligar a lanterna?","A 0,25 ampère","B 0,33 ampère","C 0,75 ampère","D 1,00 ampère","E 1,33 ampère",B,"{'B': 0.6560360317384258, 'A': 0.1765697025771803, 'D': 0.09451094178354011, 'E': 0.03701101658495769, 'C': 0.03587230731589615}"
QUESTÃO 106,"Em uma aula prática de bioquímica, para medir a atividade catalítica da enzima catalase, foram realizados seis ensaios independentes, nas mesmas condições, variando-se apenas a temperatura. A catalase decompõe o peróxido de hidrogênio (H2O2 ), produzindo água e oxigênio. Os resultados dos ensaios estão apresentados no quadro. Descrição do quadro: Dados em três colunas. A primeira apresenta os ensaios de 1 a 6, a segunda, as respectivas temperaturas, em grau Celsius, e a terceira, os resultados dos ensaios, em termos de decomposição de H 2O2, em 10 elevado a menos 12 mol por minuto. Ensaio 1: Temperatura 10 e Resultado 8,0. Ensaio 2: Temperatura 15 e Resultado 10,5. Ensaio 3: Temperatura 20 e Resultado 9,5. Ensaio 4: Temperatura 25 e Resultado 5,0. Ensaio 5: Temperatura 30 e Resultado 3,6. Ensaio 6: Temperatura 35 e Resultado 3,1.   Os diferentes resultados dos ensaios justificam-se pelo(a)",A variação do pH do meio.,B aumento da energia de ativação.,C consumo da enzima durante o ensaio.,D diminuição da concentração do substrato.,E modificação da estrutura tridimensional da enzima.,E,"{'E': 0.9999849873817958, 'D': 7.1832056911289156e-06, 'B': 6.339156773049307e-06, 'C': 9.276235911234963e-07, 'A': 5.626321486891364e-07}"
QUESTÃO 107,"Antimicrobianos são substâncias naturais ou sintéticas que têm capacidade de matar ou inibir o crescimento de microrganismos. A tabela apresenta uma lista de antimicrobianos hipotéticos, bem como suas ações e efeitos sobre o metabolismo microbiano. Descrição da tabela: Apresenta os antimicrobianos de 1 a 5 e suas respectivas ações e efeitos. Antimicrobiano 1. Ação: une-se aos ribossomos. Efeito: impede a síntese proteica. Antimicrobiano 2. Ação: une-se aos microtúbulos. Efeito: impede a segregação das cromátides. Antimicrobiano 3. Ação: une-se aos fosfolipídeos da membrana plasmática. Efeito: reduz a permeabilidade da membrana plasmática. Antimicrobiano 4. Ação: interfere na síntese de timina. Efeito: inibe a síntese de DNA. Antimicrobiano 5. Ação: interfere na síntese de uracila. Efeito: impede a síntese de RNA.    Qual dos antimicrobianos deve ser utilizado para curar uma infecção causada por um fungo sem afetar as bactérias da microbiota normal do organismo?",A 1,B 2,C 3,D 4,E 5,B,"{'B': 0.7133163171962591, 'D': 0.16942748101743543, 'A': 0.08257235957353362, 'C': 0.01842438381547629, 'E': 0.01625945839729557}"
QUESTÃO 108,"O manual de uma ducha elétrica informa que seus três níveis de aquecimento (morno, quente e superquente) apresentam as seguintes variações de temperatura da água em função de sua vazão: Descrição do quadro: Apresenta a vazão, em litro por minuto, e a variação de temperatura, em grau Celsius, para três níveis de aquecimento: morno, quente e superquente. Vazão igual a 3 — variação de temperatura: 10 para o morno, 20 para o quente e 30 para o superquente. Vazão igual a 6 — variação de temperatura: 5 para o morno, 10 para o quente e 15 para o superquente. TC()  Utiliza-se um disjuntor para proteger o circuito dessa ducha contra sobrecargas elétricas em qualquer nível de aquecimento. Por padrão, o disjuntor é especificado pela corrente nominal igual ao múltiplo de 5 ampères imediatamente superior à corrente máxima do circuito. Considere que a ducha deve ser ligada em 220 volts e que toda a energia é dissipada através da resistência do chuveiro e convertida em energia térmica transferida para a água, que apresenta calor específico de 4,2 joules por grama por grau Celsius e densidade de 1 000 gramas por litro. O disjuntor adequado para a proteção dessa ducha é especificado por:",A 60 ampères,B 30 ampères,C 20 ampères,D 10 ampères,E 5 ampères,A,"{'A': 0.9760312081030037, 'B': 0.023682693502202198, 'C': 0.00019248149676360414, 'D': 6.756736014811094e-05, 'E': 2.6049537882309515e-05}"
QUESTÃO 109,"Um grupo de alunos realizou um experimento para observar algumas propriedades dos ácidos, adicionando um pedaço de mármore (CaCO3 ) a uma solução aquosa de ácido clorídrico (HC l ), observando a liberação de um gás e o aumento da temperatura. O gás obtido no experimento é o:",A H2,B O2,C CO2,D CO,E C l 2,C,"{'C': 0.9999976723549705, 'A': 1.963804316127025e-06, 'B': 2.7420852266577955e-07, 'D': 5.8382363454212835e-08, 'E': 3.1249827262816847e-08}"
QUESTÃO 110,"Hermaphroditic, Demasculinized Frogs After Exposure to the Herbicide Atrazine at Low Ecologically Relevant Doses Em 2002, foi publicado um artigo científico que relacionava alterações na produção de hormônios sexuais de sapos machos expostos à atrazina, um herbicida, com o desenvolvimento anômalo de seus caracteres sexuais primários e secundários. Entre os animais sujeitos à contaminação, observaram-se casos de hermafroditismo e desmasculinização da laringe. O estudo em questão comparou a concentração de um hormônio específico no sangue de machos expostos ao agrotóxico com a de outros machos e fêmeas que não o foram (controles). Os resultados podem ser vistos na figura. Descrição da imagem: Gráfico de barras que indica a concentração do hormônio, em nanograma por mililitro, para três grupos de sapos: machos controle, machos expostos à atrazina e fêmeas controle. Machos controle: 4. Machos expostos à atrazina: 0,3. Fêmeas controle: 0,5. Concentração do hormônio (ng mL − 1) Com base nas informações do texto, qual é o hormônio cujas concentrações estão representadas na figura?",A Estrogênio.,B Feromônio.,C Testosterona.,D Somatotrofina.,E Hormônio folículo estimulante.,A,"{'A': 0.9566243968664273, 'C': 0.043365348851700555, 'B': 9.540450319340777e-06, 'D': 4.749910523092287e-07, 'E': 2.388405003547272e-07}"
QUESTÃO 111,"Um pai faz um balanço utilizando dois segmentos paralelos e iguais da mesma corda para fixar uma tábua a uma barra horizontal. Por segurança, opta por um tipo de corda cuja tensão de ruptura seja 25 por cento superior à tensão máxima calculada nas seguintes condições: • O ângulo máximo atingido pelo balanço em relação à vertical é igual a 90 graus ; • Os filhos utilizarão o balanço até que tenham uma massa de 24 quilogramas . Além disso, ele aproxima o movimento do balanço para o movimento circular uniforme, considera que a aceleração da gravidade é igual a 10 metros por segundo ao quadrado e despreza forças dissipativas. Qual é a tensão de ruptura da corda escolhida?",A 120 newtons,B 300 newtons,C 360 newtons,D 450 newtons,E 900 newtons,C,"{'C': 0.7546409143037781, 'D': 0.2162082375308273, 'B': 0.025822391572022676, 'A': 0.0031819423299589223, 'E': 0.0001465142634130541}"
QUESTÃO 112,"O uso de materiais híbridos ou nanocompósitos como revestimentos anticorrosivos do aço A nanotecnologia é responsável pelo aprimoramento de diversos materiais, incluindo os que são impactados com a presença de poluentes e da umidade na atmosfera, causadores de corrosão. O processo de corrosão é espontâneo e provoca a deterioração de metais como o ferro, que, em presença de oxigênio e água, sofre oxidação, conforme ilustra a equação química: Descrição da equação química: 4 Fe (sólido) reage com 2 H2O (líquido) e 3 O2 gasoso formando o produto 2 Fe2O3 hidratado (sólido). 2 Fe Uma forma de garantir a durabilidade da estrutura metálica e a sua resistência à umidade consiste na deposição de filmes finos nanocerâmicos à base de zircônia (ZrO2) e alumina (A l 2O3) sobre a superfície do objeto que se deseja proteger. Essa nanotecnologia aplicada na proteção contra a corrosão se baseia no(a)","A proteção catódica, que utiliza um metal fortemente redutor.","B uso de metais de sacrifício, que se oxidam no lugar do ferro.","C passivação do ferro, que fica revestido pelo seu próprio óxido.","D efeito de barreira, que impede o contato com o agente oxidante.","E galvanização, que usa outros metais de menor potencial de redução.",D,"{'D': 0.9999999103187556, 'A': 3.2241864481076546e-08, 'C': 3.174200070403109e-08, 'E': 1.5229978378869093e-08, 'B': 1.0467400856015039e-08}"
QUESTÃO 113,"As células da epiderme da folha da Tradescantia pallida purpurea , uma herbácea popularmente conhecida como trapoeraba-roxa, contém um vacúolo onde se encontra um pigmento que dá a coloração arroxeada a esse tecido. Em um experimento, um corte da epiderme de uma folha da trapoeraba-roxa foi imerso em ambiente hipotônico e, logo em seguida, foi colocado em uma lâmina e observado em microscópio óptico. Durante a observação desse corte, foi possível identificar o(a)",A acúmulo do solvente com fragmentação da organela.,B rompimento da membrana celular com liberação do citosol.,C aumento do vacúolo com diluição do pigmento no seu interior.,D quebra da parede celular com extravasamento do pigmento.,E murchamento da célula com expulsão do pigmento do vacúolo.,C,"{'C': 0.9999659939528659, 'A': 3.321417418165965e-05, 'B': 4.6642955294543434e-07, 'D': 2.0376798068276749e-07, 'E': 1.216754187157318e-07}"
QUESTÃO 114,"Mudanças climáticas e ilhas de calor urbanas A variação da incidência de radiação solar sobre a superfície da Terra resulta em uma variação de temperatura ao longo de um dia denominada amplitude térmica. Edificações e pavimentações realizadas nas áreas urbanas contribuem para alterar as amplitudes térmicas dessas regiões, em comparação com regiões que mantêm suas características naturais, com presença de vegetação e água, já que o calor específico do concreto é inferior ao da água. Assim, parte da avaliação do impacto ambiental que a presença de concreto proporciona às áreas urbanas consiste em considerar a substituição da área concretada por um mesmo volume de água e comparar as variações de temperatura devido à absorção da radiação solar nas duas situações (concretada e alagada). Desprezando os efeitos da evaporação e considerando que toda a radiação é absorvida, essa avaliação pode ser realizada com os seguintes dados: Descrição do quadro: Apresenta as densidades, em quilograma por metro cúbico, e calores específicos, em joule por grama por grau Celsius, da água e do concreto. Água — Densidade: 1 000; e Calor específico: 4,2. Concreto — Densidade: 2 500; e Calor específico: 0,8. gC  A razão entre as variações de temperatura nas áreas concretada e alagada é mais próxima de","A 1,0.","B 2,1.","C 2,5.","D 5,3.","E 13,1.",D,"{'D': 0.9883134361999429, 'B': 0.008287514213425095, 'E': 0.002195972653178, 'C': 0.0010536391937084617, 'A': 0.0001494377397454418}"
QUESTÃO 115,"O elemento iodo (I) tem função biológica e é acumulado na tireoide. Nos acidentes nucleares de Chernobyl e Fukushima, ocorreu a liberação para a atmosfera do radioisótopo iodo-131 , responsável por enfermidades nas pessoas que foram expostas a ele. O decaimento de uma massa de 12 microgramas do isótopo iodo-131 foi monitorado por 14 dias, conforme o quadro. Descrição do quadro: Dados em duas colunas. A primeira coluna indica o tempo decorrido, em dia. A segunda coluna indica as respectivas massas residuais de iodo-131, em micrograma. Tempo: 0; massa residual 12,0. Tempo: 2; massa residual 10,1. Tempo: 4; massa residual 8,5. Tempo: 5; massa residual 7,8. Tempo: 6; massa residual 7,2. Tempo: 8; massa residual 6,0. Tempo: 14; massa residual 3,6. (µg)   Após o período de 40 dias, a massa residual desse isótopo é mais próxima de","A 2,4 microgramas .","B 1,5 micrograma .","C 0,8 micrograma .","D 0,4 micrograma .","E 0,2 micrograma .",A,"{'A': 0.7809214526146866, 'B': 0.1742471322702021, 'D': 0.030279611309524328, 'C': 0.008950637796669027, 'E': 0.0056011660089179465}"
QUESTÃO 116,"Desde a proposição da teoria de seleção natural por Darwin, os seres vivos nunca mais foram olhados da mesma forma. No que diz respeito à reprodução de anfíbios anuros, os cientistas já descreveram diferentes padrões reprodutivos, como os exemplificados a seguir: Espécie 1 – As fêmeas produzem cerca de 5 000 gametas, que são fecundados na água, em lagoas temporárias de estação chuvosa. Todo o desenvolvimento embrionário, do ovo à metamorfose, ocorre, nesse ambiente, independente dos pais. Espécie 2 – As fêmeas produzem aproximadamente 200 gametas, que são depositados em poças próximas a corpos-d’água. Os embriões são vigiados pelos machos durante boa parte do seu desenvolvimento. Espécie 3 – As fêmeas produzem por volta de 20 gametas, que são fecundados sobre a superfície das folhas de plantas cujos galhos estão dispostos acima da superfície de corpos-d’água e aí se desenvolvem até a eclosão. Espécie 4 – As fêmeas produzem poucos gametas que, quando fecundados, são , abre aspas, abocanhados, fecha aspas, pelos machos. Os embriões se desenvolvem no interior do saco vocal do macho até a metamorfose, quando saem através da boca do pai. Os padrões descritos evidenciam que",A as fêmeas influenciam o comportamento dos machos.,B o cuidado parental é necessário para o desenvolvimento.,C o grau de evolução determina o comportamento reprodutivo.,D o sucesso reprodutivo pode ser garantido por estratégias diferentes.,E o ambiente induz modificação na produção do número de gametas femininos.,D,"{'D': 0.9999997865336987, 'A': 7.380237674439218e-08, 'E': 6.825604054458635e-08, 'B': 4.2051326693275565e-08, 'C': 2.9356557229537383e-08}"
