question,body,A,B,C,D,E
QUESTÃO 11,"No livro A inclusão do outro: estudos de teoria política , Habermas afirma: Na regulação de matérias culturalmente delicadas, como, por exemplo, a linguagem oficial, os currículos da educação pública, o status das Igrejas e das comunidades religiosas, as normas do direito penal (por exemplo, quanto ao aborto), mas também em assuntos menos chamativos, como, por exemplo, a posição da família e dos consórcios semelhantes ao matrimônio, a aceitação de normas de segurança ou a delimitação das esferas pública e privada — em tudo isso reflete-se amiúde apenas o autoentendimento ético-político de uma cultura majoritária, dominante por motivos históricos. Por causa de tais regras, implicitamente repressivas, mesmo dentro de uma comunidade republicana que garanta formalmente a igualdade de direitos para todos, pode eclodir um conflito cultural movido pelas minorias desprezadas contra a cultura da maioria. A reivindicação dos direitos culturais das minorias, como exposto por Habermas, encontra amparo nas democracias contemporâneas, na medida em que se alcança","a secessão, pela qual a minoria discriminada obteria a igualdade de direitos na condição da sua concentração espacial, num tipo de independência nacional.","a reunificação da sociedade que se encontra fragmentada em grupos de diferentes comunidades étnicas, confissões religiosas e formas de vida, em torno da coesão de uma cultura política nacional.","a coexistência das diferenças, considerando a possibilidade de os discursos de autoentendimento se submeterem ao debate público, cientes de que estarão vinculados à coerção do melhor argumento.","a autonomia dos indivíduos que, ao chegarem à vida adulta, tenham condições de se libertar das tradições de suas origens em nome da harmonia da política nacional.","o desaparecimento de quaisquer limitações, tais como linguagem política ou distintas convenções de comportamento, para compor a arena política a ser compartilhada."
QUESTÃO 12,"Em Carta enviada aos reis da Espanha, escrita em 1503, Cristóvão Colombo afirma: Mas uma coisa ouso afirmar, porque há muitos testemunhos, e é que vi nesta terra de Veragua [Panamá] maiores indícios de ouro nos dois primeiros dias do que na Hispaniola em quatro anos, e que as terras da região não podem ser mais bonitas nem mais bem lavradas. Ali, se quiserem podem mandar extrair à vontade. O documento permite identificar um interesse econômico espanhol na colonização da América a partir do século XV. A implicação desse interesse na ocupação do espaço americano está indicada na",expulsão dos indígenas para fortalecer o clero católico.,promoção das guerras justas para conquistar o território.,imposição da catequese para explorar o trabalho africano.,opção pela policultura para garantir o povoamento ibérico.,fundação de cidades para controlar a circulação de riquezas.
QUESTÃO 13,"Consta na Declaração de Direitos : Que é ilegal a faculdade que se atribui à autoridade real para suspender as leis ou seu cumprimento. Que é ilegal toda cobrança de impostos para a Coroa sem o concurso do Parlamento, sob pretexto de prerrogativa, ou em época e modo diferentes dos designados por ele próprio. Que é indispensável convocar com frequência os Parlamentos para satisfazer os agravos, assim como para corrigir, afirmar e conservar leis. No documento de 1689, identifica-se uma particularidade da Inglaterra diante dos demais Estados europeus na Época Moderna. A peculiaridade inglesa e o regime político que predominavam na Europa continental estão indicados, respectivamente, em:",Reduç ão da influência do papa – Teocracia.,Limitação do poder do soberano – Absolutismo.,Ampliação da dominação da nobreza – República.,Expansão da força do presidente – Parlamentarismo.,Restrição da competência do congresso – Presidencialismo.
QUESTÃO 14,"Considere a seguinte descrição de uma imagem: em uma linha de produção em um galpão de fábrica, operários e operárias executam de forma simultânea a montagem de partes de equipamentos semelhantes. Na imagem do início do século XX, identifica-se um modelo produtivo cuja forma de organização fabril baseava-se na",autonomia do produtor direto.,adoção da divisão sexual do trabalho.,exploração do trabalho repetitivo.,utilização de empregados qualificados.,incentivo à criatividade dos funcionários.
QUESTÃO 15,"A singularidade da questão da terra na África Colonial é a expropriação por parte do colonizador e as desigualdades raciais no acesso à terra. Após a independência, as populações de colonos brancos tenderam a diminuir, apesar de a proporção de terra em posse da minoria branca não ter diminuído proporcionalmente. Com base no texto, uma característica socioespacial e um consequente desdobramento que marcou o processo de ocupação do espaço rural na África subsaariana foram:",Exploração do campesinato pela elite proprietária – Domínio das instituições fundiárias pelo poder público.,Adoção de práticas discriminatórias de acesso à terra – Controle do uso especulativo da propriedade fundiária.,Desorganização da economia rural de subsistência – Crescimento do consumo interno de alimentos pelas famílias camponesas.,Crescimento dos assentamentos rurais com mão de obra familiar – Avanço crescente das áreas rurais sobre as regiões urbanas.,Concentração das áreas cultiváveis no setor agroexportador – Aumento da ocupação da população pobre em territórios agrícolas marginais.
QUESTÃO 16,"TExTO I A Europa entrou em estado de exceção, personificado por obscuras forças econômicas sem rosto ou localização física conhecida que não prestam contas a ninguém e se espalham pelo globo por meio de milhões de transações diárias no ciberespaço. TExTO II Estamos imersos numa crise financeira como nunca tínhamos visto desde a Grande Depressão iniciada em 1929 nos Estados U nidos. A comparação entre os signifi cados da atual crise econômica e do crash de 1929 oculta a principal diferença entre essas duas crises, pois",o crash da Bolsa em 1929 adveio do envolvimento dos EUA na I Guerra Mundial e a atual crise é o resultado dos gastos militares desse país nas guerras do Afeganistão e Iraque.,a crise de 1929 ocorreu devido a um quadro de superprodução industrial nos EUA e a atual crise resultou da especulação financeira e da expansão desmedida do crédito bancário.,a crise de 1929 foi o resultado da concorrência dos países europeus reconstruídos após a I Guerra e a atual crise se associa à emergência dos BRICS como novos concorrentes econômicos.,o crash da Bolsa em 1929 resultou do excesso de proteções ao setor produtivo estadunidense e a atual crise tem origem na internacionalização das empresas e no avanço da política de livre mercado.,a crise de 1929 decorreu da política intervencionista norte-americana sobre o sistema de comércio mundial e a atual crise resultou do excesso de regulação do governo desse país sobre o sistema monetário.
QUESTÃO 17,"TExTO I Em entrevista à revista IstoÉ , publicada em fevereiro de 2010, Joel Birman faz a seguinte afirmação: O que vemos no país é uma espécie de espraiamento e a manifestação da agressividade através da violência. Isso se desdobra de maneira evidente na criminalidade, que está presente em todos os redutos — seja nas áreas abandonadas pelo poder público, seja na política ou no futebol. O brasileiro não é mais violento do que outros povos, mas a fragilidade do exercício e do reconhecimento da cidadania e a ausência do Estado em vários territórios do país se impõem como um caldo de cultura no qual a agressividade e a violência fincam suas raízes. TExTO II No livro O processo civilizador , Nobert Elias escreve: Nenhuma sociedade pode sobreviver sem canalizar as pulsões e emoções do indivíduo, sem um controle muito específico de seu comportamento. Nenhum controle desse tipo é possível sem que as pessoas anteponham limitações umas às outras, e todas as limitações são convertidas, na pessoa a quem são impostas, em medo de um ou outro tipo. Considerando-se a dinâmica do processo civilizador, tal como descrito no Texto II, o argumento do Texto I acerca da violência e agressividade na sociedade brasileira expressa a",incompatibilidade entre os modos democráticos de convívio social e a presença de aparatos de controle policial.,manutenção de práticas repressivas herdadas dos períodos ditatoriais sob a forma de leis e atos administrativos.,inabilidade das forças militares em conter a violência decorrente das ondas migratórias nas grandes cidades brasileiras.,dificuldade histórica da sociedade brasileira em institucionalizar formas de controle social compatíveis com valores democráticos.,incapacidade das instituições político-legislativas em formular mecanismos de controle social específicos à realidade social brasileira.
QUESTÃO 18,"Considere a seguinte descrição da imagem da capa da primeira edição da versão americana da revista em quadrinhos do Capitão América: a capa apresenta a imagem de vários militares com suásticas estampadas nos uniformes, em combate com o Capitão América, no momento em que ele aplica um soco no Fürer . Com sua entrada no universo dos gibis, o Capitão chegaria para apaziguar a agonia, o autoritarismo militar e combater a tirania. Claro que, em tempos de guerra, um gibi de um herói com uma bandeira americana no peito aplicando um sopapo no Fürer só poderia ganhar destaque, e o sucesso não demoraria muito a chegar. A capa da primeira edição norte-americana da revista do Capitão América demonstra sua associação com a participação dos Estados Unidos na luta contra","a Tríplice Aliança, na Primeira Guerra Mundial.","os regimes totalitários, na Segunda Guerra Mundial.","o poder soviético, durante a Guerra Fria.","o movimento comunista, na Guerra do Vietnã.","o terrorismo internacional, após 11 de setembro de 2001."
QUESTÃO 19,"Considere a descrição da imagem de um cartaz da Revolução Constitucionalista de 1932, que estampa a frase “Abaixo a Dictadura” e ilustra três homens: à frente, um paulista com postura de desbravador, com chapéu, botas, calças largas e cinto, segura com uma das mãos um homem de estatura pequena, vestido com terno preto e camisa branca. Por trás deste paulista está um militar segurando a bandeira do estado de São Paulo. Elaborado pelos partidários da Revolução Constitucionalista de 1932, o cartaz apresentado pretendia mobilizar a população paulista contra o governo federal. Essa mobilização utilizou-se de uma referência histórica, associando o processo revolucionário","à experiência francesa, expressa no chamado à luta contra a ditadura.","aos ideais republicanos, indicados no destaque à bandeira paulista.","ao protagonismo das Forças Armadas, representadas pelo militar que empunha a bandeira.","ao bandeirantismo, símbolo paulista apresentado em primeiro plano.","ao papel figurativo de Vargas na política, enfatizado pela pequenez de sua figura no cartaz."
QUESTÃO 20,"Em um artigo de jornal intitulado Defesa do patrimônio artístico e histórico , publicado em 1936, Mário de Andrade afirma: O que o projeto governamental tem em vista é poupar à Nação o prejuízo irreparável do perecimento e da evasão do que há de mais precioso no seu patrimônio. Grande parte das obras de arte até mais valiosas e dos bens de maior interesse histórico, de que a coletividade brasileira era depositária, têm desaparecido ou se arruinado irremediavelmente. As obras de arte típicas e as relíquias da história de cada país não constituem o seu patrimônio privado, e sim um patrimônio comum de todos os povos. A criação no Brasil do Serviço do Patrimônio Histórico Artístico Nacional (SPHAN), em 1937, foi orientada por ideias como as descritas no texto, que visavam","submeter a memória e o patrimônio nacional ao controle dos órgãos públicos, de acordo com a tendência autoritária do Estado Novo.","transferir para a iniciativa privada a responsabilidade de preservação do patrimônio nacional, por meio de leis de incentivo fiscal.","definir os fatos e personagens históricos a serem cultuados pela sociedade brasileira, de acordo com o interesse público.","resguardar da destruição as obras representativas da cultura nacional, por meio de políticas públicas preservacionistas.","determinar as responsabilidades pela destruição do patrimônio nacional, de acordo com a legislação brasileira."
QUESTÃO 21,"A soma do tempo gasto por todos os navios de carga na espera para atracar no porto de Santos é igual a 11 anos — isso, contando somente o intervalo de janeiro a outubro de 2011. O problema não foi registrado somente neste ano. Desde 2006 a perda de tempo supera uma década. A situação descrita gera consequências em cadeia, tanto para a produção quanto para o transporte. No que se refere à territorialização da produção no Brasil contemporâneo, uma dessas consequências é a",realocação das exportações para o modal aéreo em função da rapidez.,dispersão dos serviços financeiros em função da busca de novos pontos de importação.,redução da exportação de gêneros agrícolas em função da dificuldade para o escoamento.,priorização do comércio com países vizinhos em função da existência de fronteiras terrestres.,estagnação da indústria de alta tecnologia em função da concentração de investimentos na infraestrutura de circulação.
QUESTÃO 22,"Considere uma foto, do final dos anos 1960, que mostra um protesto de jovens contra a Guerra do Vietnã. Nesta foto, uma jovem carrega um cartaz com os dizeres: “Amor e não guerra”. Nos anos que se seguiram à Segunda Guerra, movimentos como o Maio de 1968 ou a campanha contra a Guerra do Vietnã culminaram no estabelecimento de diferentes formas de participação política. Seus slogans, tais como “Quando penso em revolução quero fazer amor”, se tornaram símbolos da agitação cultural nos anos 1960, cuja inovação relacionava-se","à contestação da crise econômica europeia, que fora provocada pela manutenção das guerras coloniais.","à organização partidária da juventude comunista, visando o estabelecimento da ditadura do proletariado.","à unificação das noções de libertação social e libertação individual, fornecendo um significado político ao uso do corpo.","à defesa do amor cristão e monogâmico, com fins à reprodução, que era tomado como solução para os conflitos sociais.","ao reconhecimento da cultura das gerações passadas, que conviveram com a emergência do rock e outras mudanças nos costumes."
QUESTÃO 23,"Nossa cultura lipofóbica muito contribui para a distorção da imagem corporal, gerando gordos que se veem magros e magros que se veem gordos, numa quase unanimidade de que todos se sentem ou se veem “distorcidos”. Engordamos quando somos gulosos. É pecado da gula que controla a relação do homem com a balança. Todo obeso declarou, um dia, guerra à balança. Para emagrecer é preciso fazer as pazes com a dita cuja, visando adequar-se às necessidades para as quais ela aponta. O texto apresenta um discurso de disciplinarização dos corpos, que tem como consequência","a ampliação dos tratamentos médicos alternativos, reduzindo os gastos com remédios.","a democratização do padrão de beleza, tornando-o acessível pelo esforço individual.","o controle do consumo, impulsionando uma crise econômica na indústria de alimentos.","a culpabilização individual, associando obesidade à fraqueza de caráter.","o aumento da longevidade, resultando no crescimento populacional."
QUESTÃO 24,"TExTO I Anaxímenes de Mileto disse que o ar é o elemento originário de tudo o que existe, existiu e existirá, e que outras coisas provêm de sua descendência. Quando o ar se dilata, transforma-se em fogo, ao passo que os ventos são ar condensado. As nuvens formam-se a partir do ar por feltragem e, ainda mais condensadas, transformam-se em água. A água, quando mais condensada, transforma-se em terra, e quando condensada ao máximo possível, transforma- se em pedras. TExTO II Basílio Magno, filósofo medieval, escreveu: “Deus, como criador de todas as coisas, está no princípio do mundo e dos tempos. Quão parcas de conteúdo se nos apresentam, em face desta concepção, as especulações contraditórias dos filósofos, para os quais o mundo se origina, ou de algum dos quatro elementos, como ensinam os Jônios, ou dos átomos, como julga Demócrito. Na verdade, dão a impressão de quererem ancorar o mundo numa teia de aranha.” Filósofos dos diversos tempos históricos desenvolveram teses para explicar a origem do universo, a partir de uma explicação racional. As teses de Anaxímenes, filósofo grego antigo, e de Basílio, filósofo medieval, têm em comum na sua fundamentação teorias que",eram baseadas nas ciências da natureza.,refutavam as teorias de filósofos da religião.,tinham origem nos mitos das civilizações antigas.,postulavam um princípio originário para o mundo.,defendiam que Deus é o princípio de todas as coisas.
QUESTÃO 25,"De repente, sente-se uma vibração que aumenta rapidamente; lustres balançam, objetos se movem sozinhos e somos invadidos pela estranha sensação de medo do imprevisto. Segundos parecem horas, poucos minutos são uma eternidade. Estamos sentindo os efeitos de um terremoto, um tipo de abalo sísmico. O fenômeno físico descrito no texto afeta intensamente as populações que ocupam espaços próximos às áreas de",alívio da tensão geológica.,desgaste da erosão superficial.,atuação do intemperismo químico.,formação de aquíferos profundos.,acúmulo de dep ósitos sedimentares.
QUESTÃO 26,"TExTO I Em Meditações Metafísicas , René Descartes afirma: Experimentei algumas vezes que os sentidos eram enganosos, e é de prudência nunca se fiar inteiramente em quem já nos enganou uma vez. TExTO II Na obra Uma investigação sobre o entendimento , David Hume escreve: Sempre que alimentarmos alguma suspeita de que uma ideia esteja sendo empregada sem nenhum significado, precisaremos apenas indagar: de que impressão deriva esta suposta ideia? E se for impossível atribuir-lhe qualquer impressão sensorial, isso servirá para confirmar nossa suspeita . Nos textos, ambos os autores se posicionam sobre a natureza do conhecimento humano. A comparação dos excertos permite assumir que Descartes e Hume",defendem os sentidos como critério originário para considerar um conhecimento legítimo.,entendem que é desnecessário suspeitar do significado de uma ideia na reflexão filosófica e crítica.,são legítimos representantes do criticismo quanto à gênese do conhecimento.,concordam que conhecimento humano é impossível em relação às ideias e aos sentidos.,atribuem diferentes lugares ao papel dos sentidos no processo de obtenção do conhecimento.
QUESTÃO 27,"Não ignoro a opinião antiga e muito difundida de que o que acontece no mundo é decidido por Deus e pelo acaso. Essa opinião é muito aceita em nossos dias, devido às grandes transformações ocorridas, e que ocorrem diariamente, as quais escapam à conjectura humana. Não obstante, para não ignorar inteiramente o nosso livre-arbítrio, creio que se pode aceitar que a sorte decida metade dos nossos atos, mas [o livre-arbítrio] nos permite o controle sobre a outra metade. Em O Príncipe , Maquiavel refletiu sobre o exercício do poder em seu tempo. No trecho citado, o autor demonstra o vínculo entre o seu pensamento político e o humanismo renascentista ao",valorizar a interferência divina nos acontecimentos definidores do seu tempo.,rejeitar a intervenção do acaso nos processos políticos.,afirmar a confiança na razão autônoma como fundamento da ação humana.,romper com a tradição que valorizava o passado como fonte de aprendizagem.,redefinir a ação política com base na unidade entre fé e razão.
QUESTÃO 28,"A interface clima/sociedade pode ser considerada em termos de ajustamento à extensão e aos modos como as sociedades funcionam em uma relação harmônica com seu clima. O homem e suas sociedades são vulneráveis às variações climáticas. A vulnerabilidade é a medida pela qual uma sociedade é suscetível de sofrer por causas climáticas. Considerando o tipo de relação entre ser humano e condição climática apresentado no texto, uma sociedade torna-se mais vulnerável quando",concentra suas atividades no setor primário.,apresenta estoques elevados de alimentos.,possui um sistema de transportes articulado.,diversifica a matriz de geração de energia.,introduz tecnologias à produção agrícola.
QUESTÃO 29,"Uma mesma empresa pode ter sua sede administrativa onde os impostos são menores, as unidades de produção onde os salários são os mais baixos, os capitais onde os juros são os mais altos e seus executivos vivendo onde a qualidade de vida é mais elevada. No texto estão apresentadas estratégias empresariais no contexto da globalização. Uma consequência social derivada dessas estratégias tem sido",o crescimento da carga tributária.,o aumento da mobilidade ocupacional.,a redução da competitividade entre as empresas.,o direcionamento das vendas para os mercados regionais.,a ampliação do poder de planejamento dos Estados nacionais.
QUESTÃO 30,"A moderna “conquista da Amazônia” inverteu o eixo geográfico da colonização da região. Desde a época colonial até meados do século XIX, as correntes principais de população movimentaram-se no sentido Leste-Oeste, estabelecendo uma ocupação linear articulada. Nas últimas décadas, os fluxos migratórios passaram a se verificar no sentido Sul-Norte, conectando o Centro-Sul à Amazônia. O primeiro eixo geográfico de ocupação das terras amazônicas demonstra um padrão relacionado à criação de",núcleos urbanos em áreas litorâneas.,centros agrícolas modernos no interior.,vias férreas entre espaços de mineração.,faixas de povoamento ao longo das estradas.,povoados interliga dos próximos a grandes rios.
QUESTÃO 31,"Em carta a J. Caldeira Brant, datada de 1751, D. Marcos de Noronha afirma: A experiência que tenho de lidar com aldeias de diversas nações me tem feito ver, que nunca índio fez grande confiança de branco e, se isto sucede com os que estão já civilizados, como não sucederá o mesmo com esses que estão ainda brutos. Em 1749, ao separar-se de São Paulo, a capitania de Goiás foi governada por D. Marcos de Noronha, que atendeu às diretrizes da política indigenista pombalina que incentivava a criação de aldeamentos em função","das constantes rebeliões indígenas contra os brancos colonizadores, que ameaçavam a produção de ouro nas regiões mineradoras.","da propagação de doenças originadas do contato com os colonizadores, que dizimaram boa parte da população indígena.","do empenho das ordens religiosas em proteger o indígena da exploração, o que garantiu a sua supremacia na administração colonial.","da política racista da Coroa Portuguesa, contrária à miscigenação, que organizava a sociedade em uma hierarquia dominada pelos brancos.","da necessidade de controle dos brancos sobre a população indígena, objetivando sua adaptação às exigências do trabalho regular."
QUESTÃO 32,"De acordo com os geógrafos Milton Santos e Maria L. Silveira: A partir dos anos 70, impõe-se um movimento de desconcentração da produção industrial, uma das manifestações do desdobramento da divisão territorial do trabalho no Brasil. A produção industrial torna-se mais complexa, estendendo-se, sobretudo, para novas áreas do Sul e para alguns pontos do Centro-Oeste, do Nordeste e do Norte. Um fator geográfico que contribui para o tipo de alteração da configuração territorial descrito no texto é:",Obsolescência dos portos.,Estatização de empresas.,Eliminação de incentivos fiscais.,Ampliação de políticas protecionistas.,Desenvolvimento dos meios de comunicação.
QUESTÃO 33,O texto seguinte é um fragmento da canção A vida de viajante de Luiz Gonzaga e Hervé Cordovil: Minha vida é andar Por esse paísPra ver se um diaDescanso feliz Guardando as recordações Das terras onde passei Andando pelos sertõesE dos amigos que lá deixei A letra dessa canção reflete elementos identitários que representam a,valorização das características naturais do Sertão nordestino.,denúncia da precariedade social provocada pela seca.,experiência de deslocamento vivenciada pelo migrante.,profunda desigualdade social entre as regiões brasileiras.,discriminação dos nordestinos nos grandes centros urbanos.
QUESTÃO 34,"Próximo da Igreja dedicada a São Gonçalo nos deparamos com uma impressionante multidão que dançava ao som de suas violas. Tão logo viram o Vice- Rei, cercaram-no e o obrigaram a dançar e pular, exercício violento e pouco apropriado tanto para sua idade quanto posição. Tivemos nós mesmos que entrar na dança, por bem ou por mal, e não deixou de ser interessante ver numa igreja padres, mulheres, frades, cavalheiros e escravos a dançar e pular misturados, e a gritar a plenos pulmões “Viva São Gonçalo do Amarante”. O viajante francês, ao descrever suas impressões sobre uma festa ocorrida em Salvador, em 1717, demonstra dificuldade em entendê-la, porque, como outras manifestações religiosas do período colonial, ela",seguia os preceitos advindos da hierarquia católica romana.,demarcava a submissão do povo à autoridade constituída.,definia o pertencimento dos padres às camadas populares.,afirmava um sentido comunitário de partilha da devoção.,harmonizava as relações sociais entre escravos e senhores.
QUESTÃO 35,"Considere uma charge em que duas plantas desenvolvem o seguinte diálogo: — Oh, transgênico... Dizem que está faltando alimento no mundo. Mas não tinham inventado um tipo de planta que ia acabar com a fome? — Ahn... Não tô sabendo... Na charge faz-se referência a uma modificação produtiva ocorrida na agricultura. Uma contradição presente no espaço rural brasileiro derivada dessa modificação produtiva está presente em:","Expansão das terras agricultáveis, com manutenção de desigualdades sociais.","Modernização técnica do território, com redução do nível de emprego formal.","Valorização de atividades de subsistência, com redução da produtividade da terra.","Desenvolvimento de núcleos policultores, com ampliação da concentração fundiária.","Melhora da qualidade dos produtos, com retração na exportação de produtos primários."
