question,body,A,B,C,D,E
QUESTÃO 11,"No livro O princípio da responsabilidade , Hans Jonas escreve: A promessa da tecnologia moderna se converteu em uma ameaça, ou esta se associou àquela de forma indissolúvel. Ela vai além da constatação da ameaça física. Concebida para a felicidade humana, a submissão da natureza, na sobremedida de seu sucesso, que agora se estende à própria natureza do homem, conduziu ao maior desaﬁo já posto ao ser humano pela sua própria ação. O novo continente da práxis coletiva que adentramos com a alta tecnologia ainda constitui, para a teoria ética, uma terra de ninguém. As implicações éticas da articulação apresentada no texto impulsionam a necessidade de construção de um novo padrão de comportamento, cujo objetivo consiste em garantir o(a)",pragmatismo da escolha individual.,sobrevivência de gerações futuras.,fortalecimento de políticas liberais.,valorização de múltiplas etnias.,promoção da inclusão social.
QUESTÃO 12,"TEXTO I Descrição da imagem: Representação de São Benedito, que é negro, vestido com traje característico da Igreja Católica trazendo no colo um bebê coroado. TEXTO II Os santos tornaram-se grandes aliados da Igreja para atrair novos devotos, pois eram obedientes a Deus e ao poder clerical. Contando e estimulando o conhecimento sobre a vida dos santos, a Igreja transmitia aos ﬁéis os ensinamentos que julgava corretos e que deviam ser imitados por escravos que, em geral, traziam outras crenças de suas terras de origem, muito diferentes das que preconizava a fé católica. Posteriormente ressigniﬁcados no interior de certas irmandades e no contato com outra matriz religiosa, o ícone e a prática mencionada no texto estiveram desde o século XVII relacionados a um esforço da Igreja Católica para",reduzir o poder das confrarias.,cristianizar a população afro-brasileira.,espoliar recursos materiais dos cativos.,recrutar libertos para seu corpo eclesiástico.,atender a demanda popular por padroeiros locais. CH - 1º dia | Caderno 3 - BRANCO - Página 6
QUESTÃO 13,"Em 1935, o governo brasileiro começou a negar vistos a judeus. Posteriormente, durante o Estado Novo, uma circular secreta proibiu a concessão de vistos a “pessoas de origem semita”, inclusive turistas e negociantes, o que causou uma queda de 75% da imigração judaica ao longo daquele ano. Entretanto, mesmo com as imposições da lei, muitos judeus continuaram entrando ilegalmente no país durante a guerra e as ameaças de deportação em massa nunca foram concretizadas, apesar da extradição de alguns indivíduos por sua militância política. Uma razão para a adoção da política de imigração mencionada no texto foi o(a)",receio do controle sionista sobre a economia nacional.,reserva de postos de trabalho para a mão de obra local.,oposição do clero católico à expansão de novas religiões.,apoio da diplomacia varguista às opiniões dos líderes árabes.,simpatia de membros da burocracia pelo projeto totalitário alemão.
QUESTÃO 14,"Diógenes Laércio, na obra Vidas e sentenças dos filósofos ilustres , escreve: Pirro aﬁrmava que nada é nobre nem vergonhoso, justo ou injusto; e que, da mesma maneira, nada existe do ponto de vista da verdade; que os homens agem apenas segundo a lei e o costume, nada sendo mais isto do que aquilo. Ele levou uma vida de acordo com esta doutrina, nada procurando evitar e não se desviando do que quer que fosse, suportando tudo, carroças, por exemplo, precipícios, cães, nada deixando ao arbítrio dos sentidos. O ceticismo, conforme sugerido no texto, caracteriza-se por:",Desprezar quaisquer convenções e obrigações da sociedade.,Atingir o verdadeiro prazer como o princípio e o fim da vida feliz.,Defender a indiferença e a impossibilidade de obter alguma certeza.,Aceitar o determinismo e ocupar-se com a esperança transcendente.,Agir de forma virtuosa e sábia a ﬁm de enaltecer o homem bom e belo.
QUESTÃO 15,"O conceito de função social da cidade incorpora a organização do espaço físico como fruto da regulação social, isto é, a cidade deve contemplar todos os seus moradores e não somente aqueles que estão no mercado formal da produção capitalista da cidade. A tradição dos códigos de ediﬁcação, uso e ocupação do solo no Brasil sempre partiram do pressuposto de que a cidade não tem divisões entre os incluídos e os excluídos socialmente. Uma política governamental que contribui para viabilizar a função social da cidade, nos moldes indicados no texto, é a",qualiﬁcação de serviços públicos em bairros periféricos.,implantação de centros comerciais em eixos rodoviários.,proibição de construções residenciais em regiões íngremes.,disseminação de equipamentos culturais em locais turísticos.,desregulamentação do setor imobiliário em áreas favelizadas.
QUESTÃO 16,"O bioma Cerrado foi considerado recentemente um dos 25 hotspots de biodiversidade do mundo, segundo uma análise em escala mundial das regiões biogeográﬁcas sobre áreas globais prioritárias para conservação. O conceito de hotspot foi criado tendo em vista a escassez de recursos direcionados para conservação, com o objetivo de apresentar os chamados “pontos quentes”, ou seja, locais para os quais existe maior necessidade de direcionamento de esforços, buscando evitar a extinção de muitas espécies que estão altamente ameaçadas por ações antrópicas.  A necessidade desse tipo de ação na área mencionada tem como causa a",intensiﬁcação da atividade turística.,implantação de parques ecológicos.,exploração dos recursos minerais.,elevação do extrativismo vegetal.,expansão da fronteira agrícola. CH - 1º dia | Caderno 3 - BRANCO - Página 7
QUESTÃO 17,"O coronelismo era fruto de alteração na relação de forças entre os proprietários rurais e o governo, e signiﬁcava o fortalecimento do poder do Estado antes que o predomínio do coronel. Nessa concepção, o coronelismo é, então, um sistema político nacional, com base em barganhas entre o governo e os coronéis. O coronel tem o controle dos cargos públicos, desde o delegado de polícia até a professora primária. O coronel hipoteca seu apoio ao governo, sobretudo na forma de voto. No contexto da Primeira República no Brasil, as relações políticas descritas baseavam-se na",coação das milícias locais.,estagnação da dinâmica urbana.,valorização do proselitismo partidário.,disseminação de práticas clientelistas.,centralização de decisões administrativas.
QUESTÃO 18,"Descrição do mapa-múndi: Intitulado “Dessalinização das águas”, representa os países e sua capacidade total de dessalinização das águas salobras ou salinas por dia, em metros cúbicos. Os seguintes países, com capacidade acima de um milhão estão nomeados no mapa: Estados Unidos: 5 milhões 653 mil 941; Espanha: 2 milhões 588 mil 658; Emirados Árabes Unidos: 6 milhões 228 mil 017; Arábia Saudita: 6 milhões 879 mil 869; Kuwait: 2 milhões 111 mil 558; e Japão: 1 milhão 054 mil 274. Também estão indicados no mapa, mas não nomeados, os países com capacidade entre cinco mil e um milhão, sendo possível observar uma aglomeração desses países na Europa, no Oriente Médio e no norte do continente africano. Conforme a análise do documento cartográfico, a área de concentração das usinas de dessalinização é explicada pelo(a)",pioneirismo tecnológico.,condição hidropedológica.,escassez de água potável.,efeito das mudanças climáticas.,busca da sustentabilidade ambiental. CH - 1º dia | Caderno 3 - BRANCO - Página 8
QUESTÃO 19,"TEXTO I Mais de 50 mil refugiados entraram no território húngaro apenas no primeiro semestre de 2015. Budapeste lançou os “trabalhos preparatórios” para a construção de um muro de quatro metros de altura e 175 km ao longo de sua fronteira com a Sérvia, informou o ministro húngaro das Relações Exteriores. “Uma resposta comum da União Europeia a este desaﬁo da imigração é muito demorada, e a Hungria não pode esperar. Temos que agir”, justiﬁcou o ministro. TEXTO II O Alto Comissariado das Nações Unidas para Refugiados (ACNUR) critica as manifestações de xenofobia adotadas pelo governo da Hungria. O país foi invadido por cartazes nos quais o chefe do executivo insta os imigrantes a respeitarem as leis e a não “roubarem” os empregos dos húngaros. Para o ACNUR, a medida é surpreendente, pois a xenofobia costuma ser instigada por pequenos grupos radicais e não pelo próprio governo do país. O posicionamento governamental citado nos textos é criticado pelo ACNUR por ser considerado um caminho para o(a)",alteração do regime político.,fragilização da supremacia nacional.,expansão dos domínios geográﬁcos.,cerceamento da liberdade de expressão.,fortalecimento das práticas de discriminação.
QUESTÃO 20,"A sociologia ainda não ultrapassou a era das construções e das sínteses ﬁlosóﬁcas. Em vez de assumir a tarefa de lançar luz sobre uma parcela restrita do campo social, ela prefere buscar as brilhantes generalidades em que todas as questões são levantadas sem que nenhuma seja expressamente tratada. Não é com exames sumários e por meio de intuições rápidas que se pode chegar a descobrir as leis de uma realidade tão complexa. Sobretudo, generalizações às vezes tão amplas e tão apressadas não são suscetíveis de nenhum tipo de prova. O trecho, do livro O suicídio , expressa o esforço de Émile Durkheim em construir uma sociologia com base na",vinculação com a ﬁlosoﬁa como saber uniﬁcado.,reunião de percepções intuitivas para demonstração.,formulação de hipóteses subjetivas sobre a vida social.,adesão aos padrões de investigação típicos das ciências naturais.,incorporação de um conhecimento alimentado pelo engajamento político.
QUESTÃO 21,"Descrição da imagem: Fotograﬁa que ilustra uma estrada, onde um homem negro com sua bicicleta é interpelado por três militares brancos. O regime do Apartheid adotado de 1948 a 1994 na África do Sul fundamentava-se em ações estatais de segregacionismo racial. Na imagem, fuzileiros navais fazem valer a “lei do passe” que regulamentava o(a)","concentração fundiária, impedindo os negros de tomar posse legítima do uso da terra.","boicote econômico, proibindo os negros de consumir produtos ingleses sem resistência armada.","sincretismo religioso, vetando os ritos sagrados dos negros nas cerimônias oﬁciais do Estado.","controle sobre a movimentação, desautorizando os negros a transitar em determinadas áreas das cidades.","exclusão do mercado de trabalho, negando à população negra o acesso aos bens de consumo."
QUESTÃO 22,"A linhagem dos primeiros críticos ambientais brasileiros não praticou o elogio laudatório da beleza e da grandeza do meio natural brasileiro. O meio natural foi elogiado por sua riqueza e potencial econômico, sendo sua destruição interpretada como um signo de atraso, ignorância e falta de cuidado. Descrevendo a posição dos críticos ambientais brasileiros dos séculos XVIII e XIX, no texto, demonstra-se que, via de regra, eles viam o meio natural como",ferramenta essencial para o avanço da nação.,dádiva divina para o desenvolvimento industrial.,paisagem privilegiada para a valorização fundiária.,limitação topográﬁca para a promoção da urbanização.,obstáculo climático para o estabelecimento da civilização. CH - 1º dia | Caderno 3 - BRANCO - Página 9
QUESTÃO 23,"A África Ocidental é conhecida pela dinâmica das suas mulheres comerciantes, caracterizadas pela perícia, autonomia e mobilidade. A sua presença, que fora atestada por viajantes e por missionários portugueses que visitaram a costa a partir do século XV, consta também na ampla documentação sobre a região. A literatura é rica em referências às grandes mulheres como as vendedoras ambulantes, cujo jeito para o negócio, bem como a autonomia e mobilidade, é tão típico da região. A abordagem realizada no texto sobre a vida social da África Ocidental pode ser relacionada a uma característica marcante das cidades no Brasil escravista nos séculos XVIII e XIX, que se observa pela",restrição à realização do comércio ambulante por africanos escravizados e seus descendentes.,"convivência entre homens e mulheres livres, de diversas origens, no pequeno comércio.",presença de mulheres negras no comércio de rua de diversos produtos e alimentos.,dissolução dos hábitos culturais trazidos do continente de origem dos escravizados.,entrada de imigrantes portugueses nas atividades ligadas ao pequeno comércio urbano.
QUESTÃO 24,"Quanto mais complicada se tornou a produção industrial, mais numerosos passaram a ser os elementos da indústria que exigiam garantia de fornecimento. Três deles eram de importância fundamental: o trabalho, a terra e o dinheiro. Numa sociedade comercial, esse fornecimento só poderia ser organizado de uma forma: tornando-os disponíveis à compra. Agora eles tinham que ser organizados para a venda no mercado. Isso estava de acordo com a exigência de um sistema de mercado. Sabemos que em um sistema como esse, os lucros só podem ser assegurados se se garante a autorregulação por meio de mercados competitivos interdependentes. A consequência do processo de transformação socioeconômica abordado no texto é a",expansão das terras comunais.,limitação do mercado como meio de especulação.,consolidação da força de trabalho como mercadoria.,diminuição do comércio como efeito da industrialização.,adequação do dinheiro como elemento padrão das transações.
QUESTÃO 25,"O que ocorreu na Bahia de 1798, ao contrário das outras situações de contestação política na América portuguesa, é que o projeto que lhe era subjacente não tocou somente na condição, ou no instrumento, da integração subordinada das colônias no império luso. Dessa feita, ao contrário do que se deu nas Minas Gerais (1789), a sedição avançou sobre a sua decorrência. A diferença entre as sedições abordadas no texto encontrava-se na pretensão de",eliminar a hierarquia militar.,abolir a escravidão africana.,anular o domínio metropolitano.,suprimir a propriedade fundiária.,extinguir o absolutismo monárquico. CH - 1º dia | Caderno 3 - BRANCO - Página 10
QUESTÃO 26,"Na obra Assim falou Zaratustra , Nietzsche escreve: Vi os homens sumirem-se numa grande tristeza. Os melhores cansaram-se das suas obras. Proclamou-se uma doutrina e com ela circulou uma crença: Tudo é oco, tudo é igual, tudo passou! O nosso trabalho foi inútil; o nosso vinho tornou-se veneno; o mau olhado amareleceu-nos os campos e os corações. Secamos de todo, e se caísse fogo em cima de nós, as nossas cinzas voariam em pó. Sim; cansamos o próprio fogo. Todas as fontes secaram para nós, e o mar retirou-se. Todos os solos se querem abrir, mas os abismos não nos querem tragar! O texto exprime uma construção alegórica, que traduz um entendimento da doutrina niilista, uma vez que",reforça a liberdade do cidadão.,desvela os valores do cotidiano.,exorta as relações de produção.,destaca a decadência da cultura.,ampliﬁca o sentimento de ansiedade.
QUESTÃO 27,"Descrição do anúncio: Propaganda de um automóvel publicada na revista “O Cruzeiro”, na década de 1960, que mostra um carro estacionado em frente ao Palácio da Alvorada. Ao lado do carro estão duas mulheres. Abaixo está escrito: “Novo toque de elegância na moderna paisagem brasileira – Simca Chambord”. No anúncio, há referências a algumas das transformações ocorridas no Brasil nos anos 1950 e 1960. No entanto, tais referências omitem transformações que impactaram segmentos da população, como a",exaltação da tradição colonial.,redução da influência estrangeira.,ampliação da imigração internacional.,intensiﬁcação da desigualdade regional.,desconcentração da produção industrial.
QUESTÃO 28,"Pesca industrial provoca destruição na África O súbito desaparecimento do bacalhau dos grandes cardumes da Terra Nova, no ﬁnal do século XX — o que ninguém havia previsto —, teve o efeito de um eletrochoque planetário. Lançada pelos bascos no século XV, a pesca e depois a sobrepesca desse grande peixe de água fria levaram ao impensável. Ao Canadá o bacalhau nunca mais voltou. E o que ocorreu no Atlântico Norte está acontecendo em outros mares. Os maiores navios do mundo seguem agora em direção ao sul, até os limites da Antártida, para competir pelos estoques remanescentes. O problema exposto no texto jornalístico relaciona-se à",insustentabilidade do modelo de produção e consumo.,fragilidade ecológica de ecossistemas costeiros.,inviabilidade comercial dos produtos marinhos.,mudança natural nos oceanos e mares.,vulnerabilidade social de áreas pobres.
QUESTÃO 29,"A mundialização introduz o aumento da produtividade do trabalho sem acumulação de capital, justamente pelo caráter divisível da forma técnica molecular-digital do que resulta a permanência da má distribuição da renda: exempliﬁcando mais uma vez, os vendedores de refrigerantes às portas dos estádios viram sua produtividade aumentada graças ao just in time dos fabricantes e distribuidores de bebidas, mas para realizar o valor de tais mercadorias, a forma do trabalho dos vendedores é a mais primitiva. Combinam-se, pois, acumulação molecular-digital com o puro uso da força de trabalho. Os aspectos destacados no texto afetam diretamente questões como emprego e renda, sendo possível explicar essas transformações pelo(a)",crise bancária e o fortalecimento do capital industrial.,inovação toyotista e a regularização do trabalho formal.,impacto da tecnologia e as modiﬁcações na estrutura produtiva.,emergência da globalização e a expansão do setor secundário.,diminuição do tempo de trabalho e a necessidade de diploma superior. CH - 1º dia | Caderno 3 - BRANCO - Página 11
QUESTÃO 30,"TEXTO I Descrição da imagem: Fotograﬁa que mostra a confecção artesanal de um instrumento musical por mãos calejadas. A mão esquerda segura o instrumento enquanto a mão direita faz o acabamento com uma ferramenta. TEXTO II A eleição dos novos bens, ou melhor, de novas formas de se conceber a condição do patrimônio cultural nacional, também permite que diferentes grupos sociais, utilizando as leis do Estado e o apoio de especialistas, revejam as imagens e alegorias do seu passado, do que querem guardar e deﬁnir como próprio e identitário. O texto chama a atenção para a importância da proteção de bens que, como aquele apresentado na imagem, se identiﬁcam como:",Artefatos sagrados.,Heranças materiais.,Objetos arqueológicos.,Peças comercializáveis.,Conhecimentos tradicionais.
QUESTÃO 31,"No início de maio de 2014, a instalação da plataforma petrolífera de perfuração HYSY-981 nas águas contestadas do Mar da China Meridional suscitou especulações sobre as motivações chinesas. Na avaliação de diversos observadores ocidentais, Pequim pretendeu, com esse gesto, demonstrar que pode impor seu controle e dissuadir outros países de seguir com suas reivindicações de direito de exploração dessas águas, como é o caso do Vietnã e das Filipinas. A ação da China em relação à situação descrita no texto evidencia um conflito que tem como foco o(a):",Distribuição das zonas econômicas especiais.,Monopólio das inovações tecnológicas extrativas.,Dinamização da atividade comercial.,Jurisdição da soberania territorial.,Embargo da produção industrial.
QUESTÃO 32,"A Operação Condor está diretamente vinculada às experiências históricas das ditaduras civil-militares que se disseminaram pelo Cone Sul entre as décadas de 1960 e 1980. Depois do Brasil (e do Paraguai de Stroessner), foi a vez da Argentina (1966), Bolívia (1966 e 1971), Uruguai e Chile (1973) e Argentina (novamente, em 1976). Em todos os casos se instalaram ditaduras civil-militares (em menor ou maior medida) com base na Doutrina de Segurança Nacional e tendo como principais características um anticomunismo militante, a identificação do inimigo interno, a imposição do papel político das Forças Armadas e a definição de fronteiras ideológicas. Levando-se em conta o contexto em que foi criada, a referida operação tinha como objetivo coordenar a",modiﬁcação de limites territoriais.,sobrevivência de oﬁciais exilados.,interferência de potências mundiais.,repressão de ativistas oposicionistas.,implantação de governos nacionalistas.
QUESTÃO 33,"A regulação das relações de trabalho compõe uma estrutura complexa, em que cada elemento se ajusta aos demais. A Justiça do Trabalho é apenas uma das peças dessa vasta engrenagem. A presença de representantes classistas na composição dos órgãos da Justiça do Trabalho é também resultante da montagem dessa regulação. O poder normativo também reflete essa característica. Instituída pela Constituição de 1934, a Justiça do Trabalho só vicejou no ambiente político do Estado Novo instaurado em 1937. A criação da referida instituição estatal na conjuntura histórica abordada teve por objetivo",legitimar os protestos fabris.,ordenar os conflitos laborais.,oﬁcializar os sindicatos plurais.,assegurar os princípios liberais.,uniﬁcar os salários proﬁssionais. CH - 1º dia | Caderno 3 - BRANCO - Página 12
QUESTÃO 34,"A primeira Guerra do Golfo, genuinamente apoiada pelas Nações Unidas e pela comunidade internacional, assim como a reação imediata ao Onze de Setembro, demonstravam a força da posição dos Estados Unidos na era pós-soviética. Um aspecto que explica a força dos Estados Unidos, apontada pelo texto, reside no(a)",poder de suas bases militares espalhadas ao redor do mundo.,alinhamento geopolítico da Rússia em relação aos EUA.,política de expansionismo territorial exercida sobre Cuba.,"aliança estratégica com países produtores de petróleo, como Kuwait e Irã.",incorporação da China à Organização do Tratado do Atlântico Norte (Otan).
QUESTÃO 35,"Segundo a Conferência de Quioto, os países centrais industrializados, responsáveis históricos pela poluição, deveriam alcançar a meta de redução de 5,2% do total de emissões segundo níveis de 1990. O nó da questão é o enorme custo desse processo, demandando mudanças radicais nas indústrias para que se adaptem rapidamente aos limites de emissão estabelecidos e adotem tecnologias energéticas limpas. A comercialização internacional de créditos de sequestro ou de redução de gases causadores do efeito estufa foi a solução encontrada para reduzir o custo global do processo. Países ou empresas que conseguirem reduzir as emissões abaixo de suas metas poderão vender este crédito para outro país ou empresa que não consiga. As posições contrárias à estratégia de compensação presente no texto relacionam-se à ideia de que ela promove",retração nos atuais níveis de consumo.,surgimento de conflitos de caráter diplomático.,diminuição dos lucros na produção de energia.,desigualdade na distribuição do impacto ecológico.,decréscimo dos índices de desenvolvimento econômico.
QUESTÃO 36,"No livro A nova des-ordem mundial , Haesbaert e Porto-Gonçalves escrevem: Dados recentes mostram que muitos são os países periféricos que dependem dos recursos enviados pelos imigrantes que estão nos países centrais. Grande parte dos países da América Latina, por exemplo, depende hoje das remessas de seus imigrantes. Para se ter uma ideia mais concreta, recentes dados divulgados pela ONU revelaram que somente os indianos recebem 10 bilhões de dólares de seus compatriotas no exterior. No México, segundo maior volume de divisas, esse valor chega a 9,9 bilhões de dólares e nas Filipinas, o terceiro, a 8,4 bilhões. Um aspecto do mundo globalizado que facilitou a ocorrência do processo descrito, na transição do século XX para o século XXI, foi o(a)",integração de culturas distintas.,avanço técnico das comunicações.,quebra de barreiras alfandegárias.,flexibilização de regras trabalhistas.,desconcentração espacial da produção. CH - 1º dia | Caderno 3 - BRANCO - Página 13
