QUESTÃO 100,"No processo de captação da luz pelo olho para a formação de imagens estão envolvidas duas estruturas celulares: os cones e os bastonetes. Os cones são sensíveis à energia dos fótons, e os bastonetes, à quantidade de fótons incidentes. A energia dos fótons que compõem os raios luminosos está associada à sua frequência, e a intensidade, ao número de fótons incidentes. Um animal que tem bastonetes mais sensíveis irá",A apresentar daltonismo.,B perceber cores fora do espectro do visível.,C enxergar bem em ambientes mal iluminados.,D necessitar de mais luminosidade para enxergar.,E fazer uma pequena distinção de cores em ambientes iluminados.
QUESTÃO 101,"Técnica modifica proteína do veneno de cascavel e permite criar fármaco que modula a coagulação sanguínea O veneno da cascavel pode causar hemorragia com risco de morte a quem é picado pela serpente. No entanto, pesquisadores do Brasil e da Bélgica desenvolveram uma molécula de interesse farmacêutico, a PEG-collineína-1, a partir de uma proteína encontrada no veneno dessa cobra, capaz de modular a coagulação sanguínea. Embora a técnica não seja nova, foi a primeira vez que o método foi usado a partir de uma toxina animal na sua forma recombinante, ou seja, produzida em laboratório por um fungo geneticamente modificado. Esse novo medicamento apresenta potencial aplicação para","A impedir a formação de trombos, típicos em alguns casos de acidente vascular cerebral.","B tratar consequências da anemia profunda, em razão da perda de grande volume de sangue.","C evitar a manifestação de urticárias, comumente relacionadas a processos alérgicos.","D reduzir o inchaço dos linfonodos, parte da resposta imunitária de diferentes infecções.","E regular a oscilação da pressão arterial, característica dos quadros de hipertensão."
QUESTÃO 102,"On the Gravitational Field of a Mass Point According to Einstein’s Theory Um Buraco Negro é um corpo celeste que possui uma grande quantidade de matéria concentrada em uma pequena região do espaço, de modo que sua força gravitacional é tão grande que qualquer partícula fica aprisionada em sua superfície, inclusive a luz. O raio dessa região caracteriza uma superfície-limite, chamada de horizonte de eventos, da qual nada consegue escapar. Considere que o Sol foi instantaneamente substituído por um Buraco Negro com a mesma massa solar, de modo que o seu horizonte de eventos seja de aproximadamente 3,0 quilômetros. Após a substituição descrita, o que aconteceria aos planetas do Sistema Solar?","A Eles se moveriam em órbitas espirais, aproximando-se sucessivamente do Buraco Negro.",B Eles oscilariam aleatoriamente em torno de suas órbitas elípticas originais.,C Eles se moveriam em direção ao centro do Buraco Negro.,D Eles passariam a precessionar mais rapidamente.,E Eles manteriam suas órbitas inalteradas.
QUESTÃO 103,"Aplicações e implicações do ozônio na indústria, ambiente e saúde Durante o ano de 2020, impulsionado pela necessidade de respostas rápidas e eficientes para desinfectar ambientes de possíveis contaminações com o SARS-CoV-2, causador da covid-19, diversas alternativas foram buscadas para os procedimentos de descontaminação de materiais e ambientes. Entre elas, o uso de ozônio em meio aquoso como agente sanitizante para pulverização em humanos e equipamentos de proteção em câmaras ou túneis, higienização de automóveis e de ambientes fechados e descontaminação de trajes. No entanto, pouca atenção foi dada à toxicidade do ozônio, à formação de subprodutos, ao nível de concentração segura e às precauções necessárias. O grande risco envolvido no emprego indiscriminado dessa substância deve-se à sua ação química como",A catalisador.,B oxidante.,C redutor.,D ácido.,E base.
QUESTÃO 104,"Na figura está representado o mosaicismo em função da inativação aleatória de um dos cromossomos X, que ocorre em todas as mulheres sem alterações patológicas. Descrição da figura: Ilustração de um corpo humano feminino com as legendas Células com cromossomo X paterno inativado , em cor preta, e Células com cromossomo X materno inativado , em cor branca. Do corpo humano feminino partem setas que indicam amostras de células corporais (três em cor branca e três em cor preta). Ao lado estão representados o gameta masculino (22+X), por um espermatozoide em cor preta, e o gameta feminino (22+X), representado por um círculo em cor branca. Esses gametas se unem para formar o zigoto (44+XX), representado por uma célula com metade do núcleo em cor preta e metade em cor branca. Uma seta parte do zigoto indicando a formação da blástula (44+XX). A blástula é formada por algumas células em cor preta e outras em cor branca. Uma seta associa uma das células da blástula de cor preta a uma das amostras de células corporais em cor preta. Uma seta associa uma das células da blástula em cor branca a uma amostra de células corporais em cor branca. Entre mulheres heterozigotas para doenças determinadas por genes recessivos ligados ao sexo, essa inativação tem como consequência a ocorrência de",A pleiotropia.,B mutação gênica.,C interação gênica.,D penetrância incompleta.,E expressividade variável.
QUESTÃO 105,"Uma lanterna funciona com três pilhas de resistência interna igual a 0,5 ohm cada, ligadas em série. Quando posicionadas corretamente, devem acender a lâmpada incandescente de especificações 4,5 watts e 4,5 volts. Cada pilha na posição correta gera uma f.e.m. (força eletromotriz) de 1,5 volt. Uma pessoa, ao trocar as pilhas da lanterna, comete o equívoco de inverter a posição de uma das pilhas. Considere que as pilhas mantêm contato independentemente da posição. Com esse equívoco, qual é a intensidade de corrente que passa pela lâmpada ao se ligar a lanterna?","A 0,25 ampère","B 0,33 ampère","C 0,75 ampère","D 1,00 ampère","E 1,33 ampère"
QUESTÃO 106,"Em uma aula prática de bioquímica, para medir a atividade catalítica da enzima catalase, foram realizados seis ensaios independentes, nas mesmas condições, variando-se apenas a temperatura. A catalase decompõe o peróxido de hidrogênio (H2O2 ), produzindo água e oxigênio. Os resultados dos ensaios estão apresentados no quadro. Descrição do quadro: Dados em três colunas. A primeira apresenta os ensaios de 1 a 6, a segunda, as respectivas temperaturas, em grau Celsius, e a terceira, os resultados dos ensaios, em termos de decomposição de H 2O2, em 10 elevado a menos 12 mol por minuto. Ensaio 1: Temperatura 10 e Resultado 8,0. Ensaio 2: Temperatura 15 e Resultado 10,5. Ensaio 3: Temperatura 20 e Resultado 9,5. Ensaio 4: Temperatura 25 e Resultado 5,0. Ensaio 5: Temperatura 30 e Resultado 3,6. Ensaio 6: Temperatura 35 e Resultado 3,1.   Os diferentes resultados dos ensaios justificam-se pelo(a)",A variação do pH do meio.,B aumento da energia de ativação.,C consumo da enzima durante o ensaio.,D diminuição da concentração do substrato.,E modificação da estrutura tridimensional da enzima.
QUESTÃO 107,"Antimicrobianos são substâncias naturais ou sintéticas que têm capacidade de matar ou inibir o crescimento de microrganismos. A tabela apresenta uma lista de antimicrobianos hipotéticos, bem como suas ações e efeitos sobre o metabolismo microbiano. Descrição da tabela: Apresenta os antimicrobianos de 1 a 5 e suas respectivas ações e efeitos. Antimicrobiano 1. Ação: une-se aos ribossomos. Efeito: impede a síntese proteica. Antimicrobiano 2. Ação: une-se aos microtúbulos. Efeito: impede a segregação das cromátides. Antimicrobiano 3. Ação: une-se aos fosfolipídeos da membrana plasmática. Efeito: reduz a permeabilidade da membrana plasmática. Antimicrobiano 4. Ação: interfere na síntese de timina. Efeito: inibe a síntese de DNA. Antimicrobiano 5. Ação: interfere na síntese de uracila. Efeito: impede a síntese de RNA.    Qual dos antimicrobianos deve ser utilizado para curar uma infecção causada por um fungo sem afetar as bactérias da microbiota normal do organismo?",A 1,B 2,C 3,D 4,E 5
QUESTÃO 108,"O manual de uma ducha elétrica informa que seus três níveis de aquecimento (morno, quente e superquente) apresentam as seguintes variações de temperatura da água em função de sua vazão: Descrição do quadro: Apresenta a vazão, em litro por minuto, e a variação de temperatura, em grau Celsius, para três níveis de aquecimento: morno, quente e superquente. Vazão igual a 3 — variação de temperatura: 10 para o morno, 20 para o quente e 30 para o superquente. Vazão igual a 6 — variação de temperatura: 5 para o morno, 10 para o quente e 15 para o superquente. TC()  Utiliza-se um disjuntor para proteger o circuito dessa ducha contra sobrecargas elétricas em qualquer nível de aquecimento. Por padrão, o disjuntor é especificado pela corrente nominal igual ao múltiplo de 5 ampères imediatamente superior à corrente máxima do circuito. Considere que a ducha deve ser ligada em 220 volts e que toda a energia é dissipada através da resistência do chuveiro e convertida em energia térmica transferida para a água, que apresenta calor específico de 4,2 joules por grama por grau Celsius e densidade de 1 000 gramas por litro. O disjuntor adequado para a proteção dessa ducha é especificado por:",A 60 ampères,B 30 ampères,C 20 ampères,D 10 ampères,E 5 ampères
QUESTÃO 109,"Um grupo de alunos realizou um experimento para observar algumas propriedades dos ácidos, adicionando um pedaço de mármore (CaCO3 ) a uma solução aquosa de ácido clorídrico (HC l ), observando a liberação de um gás e o aumento da temperatura. O gás obtido no experimento é o:",A H2,B O2,C CO2,D CO,E C l 2
QUESTÃO 110,"Hermaphroditic, Demasculinized Frogs After Exposure to the Herbicide Atrazine at Low Ecologically Relevant Doses Em 2002, foi publicado um artigo científico que relacionava alterações na produção de hormônios sexuais de sapos machos expostos à atrazina, um herbicida, com o desenvolvimento anômalo de seus caracteres sexuais primários e secundários. Entre os animais sujeitos à contaminação, observaram-se casos de hermafroditismo e desmasculinização da laringe. O estudo em questão comparou a concentração de um hormônio específico no sangue de machos expostos ao agrotóxico com a de outros machos e fêmeas que não o foram (controles). Os resultados podem ser vistos na figura. Descrição da imagem: Gráfico de barras que indica a concentração do hormônio, em nanograma por mililitro, para três grupos de sapos: machos controle, machos expostos à atrazina e fêmeas controle. Machos controle: 4. Machos expostos à atrazina: 0,3. Fêmeas controle: 0,5. Concentração do hormônio (ng mL − 1) Com base nas informações do texto, qual é o hormônio cujas concentrações estão representadas na figura?",A Estrogênio.,B Feromônio.,C Testosterona.,D Somatotrofina.,E Hormônio folículo estimulante.
QUESTÃO 111,"Um pai faz um balanço utilizando dois segmentos paralelos e iguais da mesma corda para fixar uma tábua a uma barra horizontal. Por segurança, opta por um tipo de corda cuja tensão de ruptura seja 25 por cento superior à tensão máxima calculada nas seguintes condições: • O ângulo máximo atingido pelo balanço em relação à vertical é igual a 90 graus ; • Os filhos utilizarão o balanço até que tenham uma massa de 24 quilogramas . Além disso, ele aproxima o movimento do balanço para o movimento circular uniforme, considera que a aceleração da gravidade é igual a 10 metros por segundo ao quadrado e despreza forças dissipativas. Qual é a tensão de ruptura da corda escolhida?",A 120 newtons,B 300 newtons,C 360 newtons,D 450 newtons,E 900 newtons
QUESTÃO 112,"O uso de materiais híbridos ou nanocompósitos como revestimentos anticorrosivos do aço A nanotecnologia é responsável pelo aprimoramento de diversos materiais, incluindo os que são impactados com a presença de poluentes e da umidade na atmosfera, causadores de corrosão. O processo de corrosão é espontâneo e provoca a deterioração de metais como o ferro, que, em presença de oxigênio e água, sofre oxidação, conforme ilustra a equação química: Descrição da equação química: 4 Fe (sólido) reage com 2 H2O (líquido) e 3 O2 gasoso formando o produto 2 Fe2O3 hidratado (sólido). 2 Fe Uma forma de garantir a durabilidade da estrutura metálica e a sua resistência à umidade consiste na deposição de filmes finos nanocerâmicos à base de zircônia (ZrO2) e alumina (A l 2O3) sobre a superfície do objeto que se deseja proteger. Essa nanotecnologia aplicada na proteção contra a corrosão se baseia no(a)","A proteção catódica, que utiliza um metal fortemente redutor.","B uso de metais de sacrifício, que se oxidam no lugar do ferro.","C passivação do ferro, que fica revestido pelo seu próprio óxido.","D efeito de barreira, que impede o contato com o agente oxidante.","E galvanização, que usa outros metais de menor potencial de redução."
QUESTÃO 113,"As células da epiderme da folha da Tradescantia pallida purpurea , uma herbácea popularmente conhecida como trapoeraba-roxa, contém um vacúolo onde se encontra um pigmento que dá a coloração arroxeada a esse tecido. Em um experimento, um corte da epiderme de uma folha da trapoeraba-roxa foi imerso em ambiente hipotônico e, logo em seguida, foi colocado em uma lâmina e observado em microscópio óptico. Durante a observação desse corte, foi possível identificar o(a)",A acúmulo do solvente com fragmentação da organela.,B rompimento da membrana celular com liberação do citosol.,C aumento do vacúolo com diluição do pigmento no seu interior.,D quebra da parede celular com extravasamento do pigmento.,E murchamento da célula com expulsão do pigmento do vacúolo.
QUESTÃO 114,"Mudanças climáticas e ilhas de calor urbanas A variação da incidência de radiação solar sobre a superfície da Terra resulta em uma variação de temperatura ao longo de um dia denominada amplitude térmica. Edificações e pavimentações realizadas nas áreas urbanas contribuem para alterar as amplitudes térmicas dessas regiões, em comparação com regiões que mantêm suas características naturais, com presença de vegetação e água, já que o calor específico do concreto é inferior ao da água. Assim, parte da avaliação do impacto ambiental que a presença de concreto proporciona às áreas urbanas consiste em considerar a substituição da área concretada por um mesmo volume de água e comparar as variações de temperatura devido à absorção da radiação solar nas duas situações (concretada e alagada). Desprezando os efeitos da evaporação e considerando que toda a radiação é absorvida, essa avaliação pode ser realizada com os seguintes dados: Descrição do quadro: Apresenta as densidades, em quilograma por metro cúbico, e calores específicos, em joule por grama por grau Celsius, da água e do concreto. Água — Densidade: 1 000; e Calor específico: 4,2. Concreto — Densidade: 2 500; e Calor específico: 0,8. gC  A razão entre as variações de temperatura nas áreas concretada e alagada é mais próxima de","A 1,0.","B 2,1.","C 2,5.","D 5,3.","E 13,1."
QUESTÃO 115,"O elemento iodo (I) tem função biológica e é acumulado na tireoide. Nos acidentes nucleares de Chernobyl e Fukushima, ocorreu a liberação para a atmosfera do radioisótopo iodo-131 , responsável por enfermidades nas pessoas que foram expostas a ele. O decaimento de uma massa de 12 microgramas do isótopo iodo-131 foi monitorado por 14 dias, conforme o quadro. Descrição do quadro: Dados em duas colunas. A primeira coluna indica o tempo decorrido, em dia. A segunda coluna indica as respectivas massas residuais de iodo-131, em micrograma. Tempo: 0; massa residual 12,0. Tempo: 2; massa residual 10,1. Tempo: 4; massa residual 8,5. Tempo: 5; massa residual 7,8. Tempo: 6; massa residual 7,2. Tempo: 8; massa residual 6,0. Tempo: 14; massa residual 3,6. (µg)   Após o período de 40 dias, a massa residual desse isótopo é mais próxima de","A 2,4 microgramas .","B 1,5 micrograma .","C 0,8 micrograma .","D 0,4 micrograma .","E 0,2 micrograma ."
QUESTÃO 116,"Desde a proposição da teoria de seleção natural por Darwin, os seres vivos nunca mais foram olhados da mesma forma. No que diz respeito à reprodução de anfíbios anuros, os cientistas já descreveram diferentes padrões reprodutivos, como os exemplificados a seguir: Espécie 1 – As fêmeas produzem cerca de 5 000 gametas, que são fecundados na água, em lagoas temporárias de estação chuvosa. Todo o desenvolvimento embrionário, do ovo à metamorfose, ocorre, nesse ambiente, independente dos pais. Espécie 2 – As fêmeas produzem aproximadamente 200 gametas, que são depositados em poças próximas a corpos-d’água. Os embriões são vigiados pelos machos durante boa parte do seu desenvolvimento. Espécie 3 – As fêmeas produzem por volta de 20 gametas, que são fecundados sobre a superfície das folhas de plantas cujos galhos estão dispostos acima da superfície de corpos-d’água e aí se desenvolvem até a eclosão. Espécie 4 – As fêmeas produzem poucos gametas que, quando fecundados, são , abre aspas, abocanhados, fecha aspas, pelos machos. Os embriões se desenvolvem no interior do saco vocal do macho até a metamorfose, quando saem através da boca do pai. Os padrões descritos evidenciam que",A as fêmeas influenciam o comportamento dos machos.,B o cuidado parental é necessário para o desenvolvimento.,C o grau de evolução determina o comportamento reprodutivo.,D o sucesso reprodutivo pode ser garantido por estratégias diferentes.,E o ambiente induz modificação na produção do número de gametas femininos.
QUESTÃO 117,"O eixo de rotação da Terra apresenta uma inclinação em relação ao plano de sua órbita em torno do Sol, interferindo na duração do dia e da noite ao longo do ano. Descrição da imagem: Representação esquemática do globo terrestre em 21 de dezembro. O globo é representado por um círculo dividido ao meio por uma linha vertical, com a incidência direta de raios solares ao meio-dia, representados por setas horizontais da esquerda para a direita. A metade esquerda representa a parte iluminada (dia) e a metade direita representa a parte sombreada (noite). O eixo de rotação da Terra está inclinado em relação à vertical e é representado por uma reta com a metade superior na parte sombreada e a metade inferior na parte iluminada. Perpendicularmente ao eixo de rotação estão indicados, de cima para baixo, o Polo Norte, com o Círculo Polar Ártico, o Trópico de Câncer, a Linha do Equador, o Trópico de Capricórnio e o Polo Sul, com o Círculo Polar Antártico. Polo Norte de Câncer Equador Capricórnio Círculo Polar AntárticoPolo Sul Círculo Polar Uma pessoa instala em sua residência uma placa fotovoltaica, que transforma energia solar em elétrica. Ela monitora a energia total produzida por essa placa em 4 dias do ano, ensolarados e sem nuvens, e lança os resultados no gráfico. Descrição da imagem: Gráfico de barras verticais. No eixo horizontal, estão quatro dias do ano e, no eixo vertical, está a energia total produzida pela placa fotovoltaica. Da esquerda para direita, estão posicionadas quatro barras, correspondentes aos dias 10 de janeiro; 10 de abril; 10 de julho e 10 de outubro. A barra correspondente ao dia 10 de janeiro é a maior de todas. A barra correspondente ao dia 10 de julho é a menor de todas. As barras correspondentes aos dias 10 de abril e 10 de outubro têm alturas semelhantes, sendo a de 10 de abril um pouco maior que a do dia 10 de outubro. Próximo a que região se situa a residência onde as placas foram instaladas?",A Trópico de Capricórnio.,B Trópico de Câncer.,C Polo Norte.,D Polo Sul.,E Linha do Equador.
QUESTÃO 118,"A biomassa celulósica pode ser utilizada para a produção de etanol de segunda geração. Entretanto, é necessário que os polissacarídeos sejam convertidos em mono e dissacarídeos, processo que pode ser conduzido em meio ácido, conforme mostra o esquema: Descrição do esquema: Estrutura química de um polissacarídeo, com os grupos funcionais C ligação simples OH e C ligação simples O, ligação simples C, com foco nas ligações entre hidrogênio e oxigênio. Esse polissacarídeo é convertido, em três etapas, em mono e dissacarídeos, envolvendo a participação do íon H, de carga positiva, como reagente na primeira etapa e como produto na última etapa.  + Nessa conversão de polissacarídeos, a função do íon H de carga positiva é",A dissolver os reagentes.,B deslocar o equilíbrio químico.,C aumentar a velocidade da reação.,D mudar a constante de equilíbrio da reação.,E formar ligações de hidrogênio com o polissacarídeo.
QUESTÃO 119,"O ácido tartárico é o principal ácido do vinho e está diretamente relacionado com sua qualidade. Na avaliação de um vinho branco em produção, uma analista neutralizou uma alíquota de 25,0 mililitros do vinho com NaOH a 0,10 mol por litro, consumindo um volume igual a 8,0 mililitros dessa base. A reação para esse processo de titulação é representada pela equação química: Descrição da equação química: Um mol de ácido tartárico, cuja massa molar é igual a 150 gramas por mol, reage com 2 mols de NaOH formando um sal orgânico e água.  A concentração de ácido tartárico no vinho analisado é mais próxima de:","A 1,8 grama por litro","B 2,4 gramas por litro","C 3,6 gramas por litro","D 4,8 gramas por litro","E 9,6 gramas por litro"
QUESTÃO 120,"Diversas substâncias são empregadas com a intenção de incrementar o desempenho esportivo de atletas de alto nível. O chamado doping sanguíneo, por exemplo, pela utilização da eritropoietina, é proibido pelas principais federações de esportes no mundo. A eritropoietina é um hormônio produzido pelos rins e fígado e sua principal ação é regular o processo de eritropoiese. Seu uso administrado intravenosamente em quantidades superiores àquelas presentes naturalmente no organismo permite que o indivíduo aumente a sua capacidade de realização de exercícios físicos. Esse tipo de doping está diretamente relacionado ao aumento da",A frequência cardíaca.,B capacidade pulmonar.,C massa muscular do indivíduo.,D atividade anaeróbica da musculatura.,E taxa de transporte de oxigênio pelo sangue.
