question,body,A,B,C,D,E
QUESTÃO 95,"Desde luego que para quienes continuamos escribiendo en quechua, en aymara o en las lenguas amazónicas, o recreamos en castellano el subyugante universo andino, el mayor obstáculo es, sin duda, el lenguaje: cómo hacer verosímil — mediante la palabra — lo que de por sí es increíble en ese arcano territorio donde las fronteras entre vida/muerte, mundo natural/sobrenatural, no existen y es común, más bien, toparse en un cruce de caminos con un ángel andariego o recibir, tal vez, en una siembra de papas, la visita inesperada de un familiar muerto que viene — del más allá — a prevenirnos sobre el clima o porque simplemente tiene sed y desea un poco de chicha de maíz. No obstante a ello, la poesía quechua contemporánea, la escrita por Alencastre por ejemplo, tiene autor y códigos propios y ya no más ese carácter colectivo, anónimo y oral de los inicios, cuando estaba conformada por oraciones e himnos que, de acuerdo a su naturaleza, eran wawakis (invocaciones para enterrar a un infante muerto), hayllis (poesía épica), harawis (poesía amorosa), qhaswas (cantos de regocijo), wankas, entre otros. Ni siquiera la luminosa personalidad de José María Arguedas confinó al limbo al poeta Alencastre, de quien dijo era el más grande poeta quechua del siglo XX. Segundo Odi González, embora seja difícil dar verossimilhança ao universo cultural andino ao escrever em línguas indígenas ou em castelhano, nos dias de hoje, a poesia quíchua",baseia-se na tradição oral.,constitui-se de poemas cerimoniais.,costuma ter um caráter anônimo.,possui marcas autorais.,busca uma temática própria.
QUESTÃO 96,"Descrição da imagem: Charge em que uma mulher e um homem estão sentados em uma cama, com seus respectivos notebooks no colo. Sobre cada um dos computadores, há um balão de fala com o desenho de um beijo. Considerando que a internet influencia os modos de comunicação contemporânea, a charge faz uma crítica ao uso vicioso dessa tecnologia, pois","gera diminuição no tempo de descanso, substituído pelo contato com outras pessoas.","propicia a continuação das atividades de trabalho, ainda que em ambiente doméstico.","promove o distanciamento nos relacionamentos, mesmo entre pessoas próximas fisicamente.",tem impacto negativo no tempo disponível para o lazer do casal.,implica a adoção de atitudes agressivas entre os membros de uma mesma família.
QUESTÃO 97,"Descrição da imagem: Imagem que mostra um casal, sobre uma pedra, contemplando o mar e a cidade, ao fundo. No topo da imagem está a frase “Ceará: Viva essa alegria” e, no centro, há o texto: “BELEZA: substantivo feminino (belo+eza) 1 – Qualidade do que é belo. 2 – Harmonia de proporção, perfeição de formas. 3 – Fortaleza .” Tendo em vista seus elementos constitutivos e o meio de divulgação, esse texto identifica-se como","verbete enciclopédico, pois contém a definição de um item lexical.","cartaz, pois instrui sobre a localização de um ambiente que oferece atrações turísticas.","cartão-postal, pois a imagem mostra ao destinatário o local onde se encontra o remetente.","anúncio publicitário, pois busca persuadir o público-alvo a visitar um determinado local.","fotografia, pois retrata uma paisagem urbana de grande impacto."
QUESTÃO 98,"TEXTO I Dona Flor e seus dois maridos Jorge Amado Quem sabe, devido às atividades culinárias da esposa, nesses idílios Vadinho dizia-lhe “Meu manuê de milho verde, meu acarajé cheiroso, minha franguinha gorda”, e tais comparações gastronômicas davam justa ideia de certo encanto sensual e caseiro de dona Flor a esconder-se sob uma natureza tranquila e dócil. Vadinho conhecia-lhe as fraquezas e as expunha ao sol, aquela ânsia controlada de tímida, aquele recatado desejo fazendo-se violência e mesmo incontinência ao libertar- se na cama. TEXTO II Um rio chamado tempo, uma casa chamada terra Mia Couto As suas mãos trabalham na braguilha das calças do falecido. Dulcineusa me confessou mais tarde: era assim que o marido gostava de começar as intimidades. Um fazer de conta que era outra coisa, a exemplo do gato que distrai o olhar enquanto segura a presa nas patas. Esse o acordo silencioso que tinham: ele chegava em casa e se queixava que tinha um botão a cair. Calada, Dulcineusa se armava dos apetrechos da costura e se posicionava a jeito dos prazeres e dos afazeres. Tema recorrente na obra de Jorge Amado, a figura feminina aparece, no fragmento, retratada de forma semelhante à que se vê no texto do moçambicano Mia Couto. Nesses dois textos, com relação ao universo feminino em seu contexto doméstico, observa-se que","o desejo sexual é entendido como uma fraqueza moral, incompatível com a mulher casada.",a mulher tem um comportamento marcado por convenções de papéis sexuais.,"à mulher cabe o poder da sedução, expresso pelos gestos, olhares e silêncios que ensaiam.","a mulher incorpora o sentimento de culpa e age com apatia, como no mito bíblico da serpente.",a dissimulação e a malícia fazem parte do repertório feminino nos espaços público e íntimo.
QUESTÃO 99,"Improvisação para o teatro Um relacionamento de grupo saudável exige um número de indivíduos trabalhando interdependentemente para completar um projeto, com total participação individual e contribuição pessoal. Se uma pessoa domina, os outros membros têm pouco crescimento ou prazer na atividade, não existe um verdadeiro relacionamento no grupo. O teatro é uma atividade artística que exige o talento e a energia de muitas pessoas — desde a primeira ideia de uma peça ou cena até o último eco de aplauso. Sem esta interação não há lugar para o ator individualmente, pois sem o funcionamento do grupo, para quem iria ele representar, que materiais usaria e que efeitos poderia produzir? O aluno-ator deve aprender que “como atuar”, assim como no jogo, está intrinsecamente ligado a todas as outras pessoas na complexidade da forma da arte. O teatro improvisacional requer relacionamento de grupo muito intenso, pois é a partir do acordo e da atuação em grupo que emerge o material para as cenas e peças. Com base no texto, as diferenças e similaridades dos atores são aceitas no teatro de improvisação quando",todos experimentam o teatro juntos e sem julgamentos.,"uma parte do grupo comanda a outra, exercendo o poder.",a opinião de alguns tem valor e demonstra a sua capacidade individual.,a individualidade se destaca e traz à tona o talento daquele que é o melhor.,"uma pessoa precisa dominar, comandando as ações do grupo, sem acordos."
QUESTÃO 100,"A dança moderna propõe em primeiro lugar o conhecimento de si e o autodomínio. Minha proposta é esta: através do conhecimento e do autodomínio chego à forma, à minha forma — e não o contrário. É uma inversão que muda toda a estética, toda a razão do movimento. A técnica na dança tem apenas uma finalidade: preparar o corpo para responder à exigência do espírito artístico. Na abordagem dos autores, a técnica, o autodomínio e o conhecimento do bailarino estão a serviço da",padronização d o movimento da dança.,subordinação do corpo a um padrão.,concretização da criação pessoal.,ideia preconcebida de forma.,busca pela igualdade entre os bailarinos.
QUESTÃO 101,"Manter as contas sob controle e as finanças saudáveis parece um objetivo inatingível para você? Tenha certeza de que você não está sozinho. A bagunça na vida financeira compromete os sonhos de muita gente no Brasil. É por isso que nós lançamos, pelo terceiro ano consecutivo, este especial com informações que ajudam a encarar a situação de forma prática. Sem malabarismos — mas com boa dose de disciplina! — é possível quitar as dívidas, organizar os gastos, fazer planos de consumo que caibam em seus rendimentos mensais e estruturar os investimentos para fazer o dinheiro que sobra render mais. Ter dinheiro para viver melhor está diretamente relacionado a sua capacidade de se organizar e de eleger prioridades na hora de gastar. Aceite o desafio e boa leitura! No trecho apresentado, são utilizados vários argumentos que demonstram que o objetivo principal do produtor do texto, em relação ao público-alvo da revista, é",conscientizar o leitor de que ele é capaz de economizar.,levar o leitor a envolver-se com questões de ordem econômica.,ajudar o leitor a quitar suas dívidas e organizar sua vida financeira.,persuadir o leitor de que ele não é o único com problemas financeiros.,convencer o leitor da importância de ler essa edição especial da revista.
QUESTÃO 102,"Não temos o direito de ficar isolados O primeiro contato dos suruís com o homem branco foi em 1969. A população indígena foi dizimada por doenças e matanças, mas, recentemente, voltou a crescer. Soa contraditório, mas a mesma modernidade que quase dizimou os suruís nos tempos do primeiro contato promete salvar a cultura e preservar o território desse povo. Em 2007, o líder Almir Suruí, de 37 anos, fechou uma parceria inédita e levou a tecnologia às tribos. Os índios passaram a valorizar a história dos anciãos. E a resguardar, em vídeos e fotos on-line , as tradições da aldeia. Ainda se valeram de smartphones e GPS para delimitar suas terras e identificar os desmatamentos ilegais. Considerando-se as características históricas da relação entre índios e não índios, a suposta contradição observada na relação entre suruís e recursos da modernidade justifica-se porque os índios",aderiram à tecnologia atual como forma de assimilar a cultura do homem branco.,fizeram uso do GPS para identificar áreas propícias a novas plantações.,usaram recursos tecnológicos para registrar a cultura do seu povo.,fecharam parceria para denunciar as vidas perdidas por doenças e matanças.,resguardaram as tradições da aldeia à custa do isolamento provocado pela t ecnolog ia moderna.
QUESTÃO 103,"Minha mãe achava estudo a coisa mais fina do mundo. Não é. A coisa mais fina do mundo é o sentimento. Aquele dia de noite, o pai fazendo serão, ela falou comigo: “Coitado, até essa hora no serviço pesado”. Arrumou pão e café, deixou tacho no fogo com água quente. Não me falou em amor.Essa palavra de luxo. Um dos procedimentos consagrados pelo Modernismo foi a percepção de um lirismo presente nas cenas e fatos do cotidiano. No poema de Adélia Prado, o eu lírico resgata a poesia desses elementos a partir do(a)",reflexão irônica sobre a importância atribuída aos estudos por sua mãe.,"sentimentalismo, oposto à visão pragmática que reconhecia na mãe.","olhar comovido sobre seu pai, submetido ao trabalho pesado.",reconhecimento do amor num gesto de aparente banalidade.,enfoque nas relações afetivas abafadas pela vida conjugal.
QUESTÃO 104,"Descrição da imagem: Cartaz com um grande despertador, que, em lugar de ponteiros, tem o seguinte texto: “Sempre é hora de combater a dengue”. Próximo ao despertador há um casal, um agente de saúde e um cadeirante. Campanhas educativas têm o propósito de provocar uma reflexão em torno de questões sociais de grande relevância, tais como as relacionadas à cidadania e também à saúde. Com a imagem de um relógio despertador e o slogan “Sempre é hora de combater a dengue”, a Campanha Nacional de Combate à Dengue objetiva convencer a população de que é preciso","eliminar potenciais criadouros, quando aparecer a doença.",posicionar-se criticamente sobre as ações de combate ao mosquito.,prevenir-se permanentemente contra a doença.,repensar as ações de prevenção da doença.,preparar os agentes de combate ao mosquito.
QUESTÃO 105,"Descrição da imagem: Tirinha com o título O poço dos desejos , composta por três quadrinhos, que apresentam uma personagem próxima a um poço. No primeiro quadrinho, a personagem segura uma moeda e diz: — Um desejo? Poder criticar o mundo... No segundo quadrinho, ela arremessa a moeda em direção ao poço e continua: — ...sem fazer esforço algum para mudá-lo. No terceiro quadrinho, a água jorra do poço, revelando logotipo de uma rede social famosa, iniciada com a letra ‘F’. A personagem exclama: — Oba! Uma rede social! As redes sociais permitem que seus usuários facilmente compartilhem entre si ideias e opiniões. Na tirinha, há um tom de crítica àqueles que",fazem uso inadequado das redes sociais para criticar o mundo.,são usuários de redes sociais e têm seus desejos atendidos.,"se supõem críticos, porém não apresentam ação efetiva.",são usuários das redes sociais e não criticam o mundo.,se esforçam para promover mudanças no mundo.
QUESTÃO 106,"Organizados pelo Comitê Intertribal Indígena, com apoio do Ministério dos Esportes, os Jogos dos Povos Indígenas têm o seguinte mote: “O importante não é competir, e sim, celebrar”. A proposta é recente, já que a primeira edição dos jogos ocorreu em 1996, e tem como objetivo a integração das diferentes tribos, assim como o resgate e a celebração dessas culturas tradicionais. A edição dos jogos de 2003, por exemplo, teve a participação de sessenta etnias, dentre elas os kaiowá, guarani, bororo, pataxó e yanomami. A última edição ocorreu em 2009, e foi a décima vez que o torneio foi realizado. A periodicidade dos jogos é anual, com exceção do intervalo ocorrido em 1997, 1998, 2006 e 2008, quando não houve edições. Considerando o texto, os Jogos dos Povos Indígenas assemelham-se aos Jogos Olímpicos em relação à",quantificação de medalhas e vitórias.,melhora de resultados e performance .,realização anual dos eventos e festejos.,renovação de técnicas e táticas esportivas.,aproximação de diferentes sujeitos e cultur as.
QUESTÃO 107,"Descrição da imagem: Charge mostra duas meninas que conversam ao lado de uma balança. Uma delas diz: — Cuidado! Não pise nisso. A outra pergunta: — Por quê? A primeira menina responde: — Minha mãe pisa aí e começa a chorar!! A charge retrata um comportamento recorrente nos dias atuais: a insatisfação das pessoas com o peso. No entanto, do ponto de vista orgânico, o peso corporal se torna um problema à saúde quando",estimula a adesão à dieta.,aumenta conforme a idade.,expressa a inatividade da pessoa.,provoca modificações na aparência.,acomete o funcionamento metabólico.
QUESTÃO 108,"O rap constitui-se em uma expressão artística por meio da qual os MCs relatam poeticamente a condição social em que vivem e retratam suas experiências cotidianas. O “relato poético” é uma característica fundamental desse gênero musical, em que o","MC canta de forma melodiosa as letras, que retratam a complexa realidade em que se encontra.","rap se limita a usar sons eletrônicos nas músicas, que seriam responsáveis por retratar a realidade da periferia.","rap se caracteriza pela proximidade das notas na melodia, em que a letra é mais recitada do que cantada, como em uma poesia.","MC canta enquanto outros músicos o acompanham com instrumentos, tais como o contrabaixo elétrico e o teclado.","MC canta poemas amplamente conhecidos, fundamentando sua atuação na memorização de suas letras."
QUESTÃO 109,"Vei, a Sol Mário de Andrade Ora o pássaro careceu de fazer necessidade, fez e o herói ficou escorrendo sujeira de urubu. Já era de madrugadinha e o tempo estava inteiramente frio. Macunaíma acordou tremendo, todo lambuzado. Assim mesmo examinou bem a pedra mirim da ilhota para vê si não havia alguma cova com dinheiro enterrado. Não havia não. Nem a correntinha encantada de prata que indica pro escolhido, tesouro de holandês. Havia só as formigas jaquitaguas ruiv inhas. Então passou Caiuanogue, a estrela da manhã. Macunaíma já meio enjoado de tanto viver pediu pra ela que o carregasse pro céu. Caiuanogue foi se chegando porém o herói fedia muito. — Vá tomar banho! — ela fez. E foi-se embora. Assim nasceu a expressão “Vá tomar banho” que os brasileiros empregam se referindo a certos imigrantes europeus. O fragmento de texto faz parte do capítulo VII, intitulado “Vei, a Sol”, do livro Macunaíma , de Mário de Andrade, pertencente à primeira fase do Modernismo brasileiro. Considerando a linguagem empregada pelo narrador, é possível identificar",resquícios do discurso naturalista usado pelos escritores do século XIX.,"ausência de linearidade no tratamento do tempo, recurso comum ao texto narrativo da primeira fase modernista.",referência à fauna como meio de denunciar o primitivismo e o atraso de algumas regiões do país.,"descrição preconceituosa dos tipos populares brasileiros, representados por Macunaíma e Caiuanogue.",uso da linguagem coloquial e de temáticas do lendário brasileiro como meio de valorização da cultura popular nacional.
QUESTÃO 110,"Anfíbio com formato de cobra é descoberto no Rio Madeira (RO) Animal raro foi encontrado por biólogos em canteiro de obras de usina. Exemplares estão no Museu Emilio Goeldi, no Pará O trabalho de um grupo de biólogos no canteiro de obras da Usina Hidrelétrica Santo Antônio, no Rio Madeira, em Porto Velho, resultou na descoberta de um anfíbio de formato parecido com uma cobra. Atretochoana eiselti é o nome científico do animal raro descoberto em Rondônia. Até então, só havia registro do anfíbio no Museu de História Natural de Viena e na Universidade de Brasília. Nenhum deles tem a descrição exata de localidade, apenas “América do Sul”. A descoberta ocorreu em dezembro do ano pas sado, mas apenas agora foi divulgada. A notícia é um gênero textual em que predomina a função referencial da linguagem. No texto, essa predominância evidencia-se pelo(a)",recorrência de verbos no presente para convencer o leitor.,uso da impessoalidade para assegurar a objetividade da informação.,questionamento do código linguístico na construção da notícia.,utilização de expressões úteis que mantêm aberto o canal de comunicação com o leitor.,emprego dos sinais de pontuação para expressar as emoções d o autor.
QUESTÃO 111,"O peru de Natal Mário de Andrade O nosso primeiro Natal de família, depois da morte de meu pai acontecida cinco meses antes, foi de consequências decisivas para a felicidade familiar. Nós sempre fôramos familiarmente felizes, nesse sentido muito abstrato da felicidade: gente honesta, sem crimes, lar sem brigas internas nem graves dificuldades econômicas. Mas, devido principalmente à natureza cinzenta de meu pai, ser desprovido de qualquer lirismo, duma exemplaridade incapaz, acolchoado no medíocre, sempre nos faltara aquele aproveitamento da vida, aquele gosto pelas felicidades materiais, um vinho bom, uma estação de águas, aquisição de geladeira, coisas assim. Meu pai fora de um bom errado, quase dramático, o puro-sangue dos desmancha-prazeres. No fragmento do conto de Mário de Andrade, o tom confessional do narrador em primeira pessoa revela uma concepção das relações humanas marcada por",distanciamento de estados de espírito acentuado pelo papel das gerações.,relevância dos festejos religiosos em família na sociedade moderna.,preocupação econômica em uma sociedade urbana em crise.,"consumo de bens materiais por parte de jovens, adultos e idosos.",pesar e reação de luto diante da morte de um familiar querido.
QUESTÃO 112,"— Não, mãe. Perde a graça. Este ano, a senhora vai ver. Compro um barato. — Barato? Admito que você compre uma lembrancinha barata, mas não diga isso a sua mãe. É fazer pouco-caso de mim. — Ih, mãe, a senhora está por fora mil anos. Não sabe que barato é o melhor que tem, é um barato! — Deixe eu escolher, deixe... — Mãe é ruim de escolha. Olha aquele blazer furado que a senhora me deu no Natal! — Seu porcaria, tem coragem de dizer que sua mãe lhe deu um blazer furado? — Viu? Não sabe nem o que é furado? Aquela cor já era, mãe, já era! O modo como o filho qualifica os presentes é incompreendido pela mãe, e essas escolhas lexicais revelam diferenças entre os interlocutores, que estão relacionadas",à linguagem infantilizada.,ao grau de escolaridade.,à dicotomia de gêneros.,às especificidades de cada faixa etária.,à quebra de regras da hierarqui a familiar.
