question,body,A,B,C,D,E,year,question_number,test,answer,language,gpt-3.5-turbo_answer,gpt-3.5-turbo_probs
QUESTÃO 146,"Uma pessoa precisa se deslocar de automóvel do ponto P para o ponto Q , indicados na figura, na qual as linhas verticais e horizontais simbolizam ruas. Descrição da imagem: Figura de uma malha quadriculada com 7 linhas horizontais e 7 verticais, sobre a qual está traçado um trajeto poligonal, por meio de uma linha contínua sobre as linhas de grade da malha, unindo o ponto inicial P , localizado na segunda linha vertical, da esquerda para a direita, e entre a sexta e a sétima linhas horizontais, de cima para baixo, ao ponto final Q , que está localizado entre a sexta e a sétima linhas verticais, da esquerda para a direita, e sobre a segunda linha horizontal, de cima para baixo. O caminho poligonal está traçado segundo deslocamentos nos sentidos norte, sul e leste a partir do ponto P . A sequência de deslocamentos é: De P até o primeiro cruzamento no sentido norte; Desse ponto segue até o segundo cruzamento no sentido leste; Em seguida, toma o sentido norte até o segundo cruzamento; Posteriormente, toma o sentido leste até o próximo cruzamento; Depois, segue no sentido sul até o cruzamento seguinte; Segue para leste até o próximo cruzamento; Desse ponto, toma o sentido norte até o terceiro cruzamento; Por fim, toma o sentido leste até alcançar o ponto Q . Por causa do sentido de tráfego nessas ruas, o caminho poligonal destacado é a possibilidade mais curta de efetuar esse deslocamento. Para descrevê-lo, deve-se especificar qual o sentido a ser tomado em cada cruzamento de ruas, em relação à direção de deslocamento do automóvel, que se movimentará continuamente. Para isso, empregam-se as letras E, F e D para indicar “vire à esquerda”, “siga em frente” e “vire à direita”, respectivamente. A sequência de letras que descreve o caminho poligonal destacado é",DDEFDDEEFFD.,DFEFDDDEFFD.,DFEFDDEEFFD.,EFDFEEDDFFE.,EFDFEEEDFFE.,2022,146,MT,C,portuguese,A,"{'A': 0.7508003407344022, 'C': 0.15849872649301996, 'B': 0.04297876078955102, 'D': 0.03474357832533837, 'E': 0.012978593657688463}"
QUESTÃO 147,"Uma loja comercializa cinco modelos de caixas-d’água ( 1, 2, 3, 4 e 5), todos em formato de cilindro reto de base circular. Os modelos 2, 3, 4 e 5 têm as especificações de suas dimensões dadas em relação às dimensões do modelo 1, cuja profundidade é P e área da base é A b, como segue: • modelo 2: o dobro da profundidade e a metade da área da base do modelo 1; • modelo 3: o dobro da profundidade e a metade do raio da base do modelo 1; • modelo 4: a metade da profundidade e o dobro da área da base do modelo 1; • modelo 5: a metade da profundidade e o dobro do raio da base do modelo 1. Uma pessoa pretende comprar nessa loja o modelo de caixa-d’água que ofereça a maior capacidade volumétrica. O modelo escolhido deve ser o",1.,2.,3.,4.,5.,2022,147,MT,E,portuguese,A,"{'A': 0.8454118387203415, 'B': 0.03694336638308137, 'C': 0.027117625440241776, 'D': 0.025797167568278687, 'E': 0.0001}"
QUESTÃO 148,"No período de 2005 a 2013, o valor de venda dos imóveis em uma cidade apresentou alta, o que resultou no aumento dos aluguéis. Os gráficos apresentam a evolução desses valores, para um mesmo imóvel, no mercado imobiliário dessa cidade. Descrição da imagem: Dois gráficos de coluna. O primeiro gráfico, que apresenta os anos no eixo horizontal e o valor mensal do aluguel em real no eixo vertical, mostra os seguintes dados: 2005: 630; 2007: 960; 2009: 1 350; 2011: 1 800; 2013: 3 240. O segundo gráfico, que apresenta os anos no eixo horizontal e o valor de mercado do imóvel, em milhar de reais no eixo vertical, mostra os seguintes dados: 2005: 90; 2007: 120; 2009: 270; 2011: 450; 2013: 540. Valor mensal do aluguel (R$) Valor de mercado do imóvel (milhar de R$) A rentabilidade do aluguel de um imóvel é calculada pela razão entre o valor mensal de aluguel e o valor de mercado desse imóvel. Com base nos dados fornecidos, em que ano a rentabilidade do aluguel foi maior?",2005,2007,2009,2011,2013,2022,148,MT,B,portuguese,A,"{'A': 0.6083387442147854, 'C': 0.0972023824441771, 'D': 0.08197213085781657, 'B': 0.022448653213719746, 'E': 0.0001}"
QUESTÃO 149,"Em uma universidade, atuam professores que estão enquadrados funcionalmente pela sua maior titulação: mestre ou doutor. Nela há, atualmente, 60 mestres e 40 doutores. Os salários mensais dos professores mestres e dos doutores são, respectivamente, 8 000 reais e 12 000 reais . A diretoria da instituição pretende proporcionar um aumento salarial diferenciado para o ano seguinte, de tal forma que o salário médio mensal dos professores dessa instituição não ultrapasse 12 240 reais. A universidade já estabeleceu que o aumento salarial será de 25 por cento para os mestres e precisa ainda definir o percentual de reajuste para os doutores. Mantido o número atual de professores com suas atuais titulações, o aumento salarial, em porcentagem, a ser concedido aos doutores deverá ser de, no máximo,","14,4.","20,7.","22,0.","30,0.","37,5.",2022,149,MT,D,portuguese,V,"{'A': 0.13708613465025715, 'C': 0.0001, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
QUESTÃO 150,"Um borrifador de atuação automática libera, a cada acionamento, uma mesma quantidade de inseticida. O recipiente desse produto, quando cheio, contém 360 mililitros de inseticida, que duram 60 dias se o borrifador permanecer ligado ininterruptamente e for acionado a cada 48 minutos. A quantidade de inseticida que é liberada a cada acionamento do borrifador, em mililitro, é","0,125.","0,200.","4,800.","6,000.","12,000.",2022,150,MT,B,portuguese,Para,"{'A': 0.3742810814471122, 'C': 0.0001, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
QUESTÃO 151,"Definem-se o dia e o ano de um planeta de um sistema solar como sendo, respectivamente, o tempo que o planeta leva para dar 1 volta completa em torno de seu próprio eixo de rotação e o tempo para dar 1 volta completa em torno de seu Sol. Suponha que exista um planeta Z, em algum sistema solar, onde um dia corresponda a 73 dias terrestres e que 2 de seus anos correspondam a 1 ano terrestre. Considere que 1 ano terrestre tem 365 de seus dias. No planeta Z, seu ano corresponderia a quantos de seus dias?","2,5","10,0","730,0","13 322,5","53 290,0",2022,151,MT,A,portuguese,A,"{'A': 0.5714151222726567, 'C': 0.0001, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
QUESTÃO 152,"Quarenta mudas de flores devem ser plantadas no contorno de um canteiro circular de 2,2 metros de diâmetro, com um espaçamento padrão de 12 centímetros entre mudas. Fazendo-se os cálculos, chegou-se à conclusão de que não havia mudas suficientes e optou-se, então, por alterar o espaçamento padrão. Use 3 como aproximação para pi. Em quantos centímetros deve ser aumentado o espaçamento padrão entre as mudas?","4,50","6,15","9,07","21,00","24,30",2022,152,MT,A,portuguese,Para,"{'A': 0.28293508815258844, 'C': 0.0001, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
QUESTÃO 153,"Em uma loja, o preço promocional de uma geladeira é de 1 000 reais para pagamento somente em dinheiro. Seu preço normal, fora da promoção, é 10 por cento maior. Para pagamento feito com o cartão de crédito da loja, é dado um desconto de 2 por cento sobre o preço normal. Uma cliente decidiu comprar essa geladeira, optando pelo pagamento com o cartão de crédito da loja. Ela calculou que o valor a ser pago seria o preço promocional acrescido de 8 por cento. Ao ser informada pela loja do valor a pagar, segundo sua opção, percebeu uma diferença entre seu cálculo e o valor que lhe foi apresentado. O valor apresentado pela loja, comparado ao valor calculado pela cliente, foi",2 reais menor.,100 reais menor.,200 reais menor.,42 reais maior.,80 reais maior.,2022,153,MT,A,portuguese,A,"{'A': 0.5918560645526642, 'C': 0.0001, 'B': 0.0001, 'D': 0.0001, 'E': 0.0001}"
QUESTÃO 154,"As empresas de capital aberto listadas na Bolsa de Valores de São Paulo (Bovespa) que melhor remuneram seus acionistas na distribuição dos lucros costumam pagar 25 por cento de seus lucros líquidos trimestrais como dividendos aos acionistas. Uma empresa de capital social listada na Bolsa de Valores de São Paulo (Bovespa) divulgou resumidamente no quadro abaixo o seguinte resultado: Descrição da imagem: Quadro apresenta os seguintes dados: Receitas líquidas: 422 milhões de reais; Lucro bruto: 76 milhões de reais; Lucro líquido: 28 milhões de reais; Lucro líquido por ação: 0,28 real.  Quanto receberá de dividendos um acionista que tem 1 400 ações desta empresa?",98 reais,392 reais,20 mil reais,7 mihões de reais,9 bilhões e 800 milhões de reais,2022,154,MT,A,portuguese,A,"{'A': 0.5053501139857377, 'C': 0.004772367361950257, 'D': 0.004578603706548273, 'B': 0.0001, 'E': 0.0001}"
QUESTÃO 155,"Uma empresa de engenharia projetou uma casa com a forma de um retângulo para um de seus clientes. Esse cliente solicitou a inclusão de uma varanda em forma de L. A figura apresenta a planta baixa desenhada pela empresa, já com a varanda incluída, cujas medidas, indicadas em centímetro, representam os valores das dimensões da varanda na escala de 1 para 50. Descrição da imagem: Figura representa uma planta baixa de uma casa na escala de 1 para 50. Essa planta tem o formato de um retângulo, disposto com a maior dimensão na horizontal e a menor, na vertical. Na parte externa do retângulo que representa a casa, há uma região hexagonal em formato de L, representando a varanda, na qual quaisquer dois de seus lados adjacentes são perpendiculares, com quatro de seus lados medindo, consecutivamente, 4 centímetros, 18,4 centímetros, 16 centímetros e 5 centímetros. Os dois lados cujas medidas não estão fornecidas estão justapostos ao contorno da planta, na sua lateral esquerda e em parte do seu lado superior. O lado de medida 18,4 centímetros é paralelo à lateral esquerda da planta, enquanto o lado de medida 16 centímetros é paralelo ao lado superior da planta. O lado de 5 centímetros é perpendicular ao lado de 16 centímetros, e o lado de 4 centímetros é perpendicular ao lado de 18,4 centímetros. A medida real da área da varanda, em metro quadrado, é","33,40.","66,80.","89,24.","133,60.","534,40.",2022,155,MT,A,portuguese,A,"{'A': 0.7667826257472278, 'B': 0.07647491302882004, 'D': 0.0362902079989637, 'C': 0.025446908261966463, 'E': 0.0001}"
QUESTÃO 156,"Uma loja de roupas fixou uma meta de vendas de 77 000 reais para um determinado mês de 30 dias. O gráfico mostra o volume de vendas dessa loja, em real, nos dez primeiros dias do mês e entre o dia dez e o dia vinte desse mês, nos seus dois únicos setores (infantil e adulto). Suponha que a variação no volume de vendas, para o período registrado, tenha se dado de forma linear, como mostrado no gráfico, e que essa tendência se mantenha a mesma para os próximos dez dias. Descrição da imagem: Gráfico em que o eixo horizontal de referência corresponde a dias, de 10 a 30, em intervalos de 10 em 10, apresentando dois segmentos de reta descendentes, um referente ao volume de vendas do setor adulto, com extremidades nos pontos (10, 18 000) e (20, 15 000), e o outro ao do setor infantil, com extremidades nos pontos (10, 8 000) e (20, 7 000). Ao final do trigésimo dia, quanto faltará no volume de vendas, em real, para que a meta fixada para o mês seja alcançada?",5 000,7 000,11 000,18 000,29 000,2022,156,MT,C,portuguese,A,"{'A': 0.698206184808958, 'D': 0.10427392730443628, 'C': 0.03964424739149816, 'B': 0.025606213908996922, 'E': 0.0001}"
QUESTÃO 157,"O funcionário de uma loja tem seu salário mensal formado por uma parcela fixa de 675 reais mais uma comissão que depende da quantidade de peças vendidas por ele no mês. O cálculo do valor dessa comissão é feito de acordo com estes critérios: • até a quinquagésima peça vendida, paga-se 5 reais por peça; • a partir da quinquagésima primeira peça vendida, o valor pago é de 7 reais por peça. Represente por q a quantidade de peças vendidas no mês por esse funcionário, e por S de q o seu salário mensal, em real, nesse mês. A expressão algébrica que descreve S de q em função de q é","S de q é igual a 675 mais, abre parêntese, 12 vezes q, fecha parêntese","S de q é igual a 325 mais, abre parêntese, 12 vezes q, fecha parêntese","S de q é igual a 675 mais, abre parêntese, 7 vezes q, fecha parêntese","S de q é igual a 625 mais, abre parêntese, 5 vezes q, fecha parêntese , se q é menor ou igual a 50, ou é igual a 925 mais, abre parêntese, 7 vezes q, fecha parêntese , se q é maior que 50","S de q é igual a 625 mais, abre parêntese, 5 vezes q , fecha parêntese, se q é menor ou igual a 50, ou é igual a 575 mais, abre parêntese, 7 vezes q , fecha parêntese , se q é maior que 50",2022,157,MT,anulada,portuguese,A,"{'A': 0.5270934082025998, 'E': 0.2525541492001206, 'D': 0.17771404646795902, 'C': 0.03092486268473758, 'B': 0.011713533444583047}"
QUESTÃO 158,"Ao analisar os dados de uma epidemia em uma cidade, peritos obtiveram um modelo que avalia a quantidade de pessoas infectadas a cada mês, ao longo de um ano. O modelo é dado por p de t é igual a menos t ao quadrado mais 10 vezes t mais 24, sendo t um número natural, variando de 1 a 12, que representa os meses do ano, e p de t a quantidade de pessoas infectadas no mês t do ano. Para tentar diminuir o número de infectados no próximo ano, a Secretaria Municipal de Saúde decidiu intensificar a propaganda oficial sobre os cuidados com a epidemia. Foram apresentadas cinco propostas (1, 2, 3, 4 e 5), com diferentes períodos de intensificação das propagandas: • 1: 1 menor ou igual a t menor ou igual a 2; • 2: 3 menor ou igual a t menor ou igual a 4; • 3: 5 menor ou igual a t menor ou igual a 6; • 4: 7 menor ou igual a t menor ou igual a 9; • 5: 10 menor ou igual a t menor ou igual a 12. A sugestão dos peritos é que seja escolhida a proposta cujo período de intensificação da propaganda englobe o mês em que, segundo o modelo, há a maior quantidade de infectados. A sugestão foi aceita. A proposta escolhida foi a",1.,2.,3.,4.,5.,2022,158,MT,C,portuguese,A,"{'A': 0.883035278735319, 'D': 0.06682974882329212, 'E': 0.029913946897801608, 'B': 0.009600106796751062, 'C': 0.0001}"
QUESTÃO 159,"Um atleta iniciou seu treinamento visando as competições de fim de ano. Seu treinamento consiste em cinco tipos diferentes de treinos: treino T1, treino T2, treino T3, treino T4 e treino T5. A sequência dos treinamentos deve seguir esta ordem: Dia Treino Primeiro T1 Segundo R Terceiro R Quarto T2 Quinto R Sexto R Sétimo T3 Oitavo R Nono T4 Décimo R Décimo primeiro R Décimo segundo T5 Décimo terceiro R A letra R significa repouso. Após completar a sequência de treinamentos, o atleta começa novamente a sequência a partir do treino T1 e segue a ordem descrita. Após 24 semanas completas de treinamento, se dará o início das competições. A sequência de treinamentos que o atleta realizará na vigésima quarta semana de treinos é",T3 R T4 R R T5 R.,R T3 R T4 R R T5.,R T4 R R T5 R T1.,R R T5 R T1 R R.,R T5 R T1 R R T2.,2022,159,MT,B,portuguese,A,"{'A': 0.4618574717359345, 'C': 0.18806153831828132, 'B': 0.17319093228565713, 'D': 0.12932541705560524, 'E': 0.04756464060452182}"
QUESTÃO 160,"No ano de 2015 o Brasil enfrentou uma grave crise hídrica. O diretor da empresa de abastecimento de água e saneamento do estado de São Paulo afirmou, no dia 27 de janeiro de 2015, que não estava descartado um possível racionamento em toda a capital. Segundo o diretor, para ampliar a economia de água praticada durante esse período, em uma semana seria necessário escolher dois dias não consecutivos para fornecimento de água e nos demais cinco dias seria interrompido o fornecimento. De quantas maneiras diferentes podem ser escolhidos os dias para fornecimento e para interrupção de água nessa semana?",6,12,15,21,42,2022,160,MT,C,portuguese,A,"{'A': 0.8467862506612805, 'D': 0.056949602627991196, 'C': 0.01752253754930491, 'B': 0.0001, 'E': 0.0001}"
QUESTÃO 161,"Uma empresa produz e vende um tipo de chocolate, maciço, em formato de cone circular reto com as medidas do diâmetro da base e da altura iguais a 8 centímetros e 10 centímetros, respectivamente. Devido a um aumento de preço dos ingredientes utilizados na produção desse chocolate, a empresa decide produzir esse mesmo tipo de chocolate com um volume 19 por cento menor, no mesmo formato de cone circular reto com altura de 10 centímetros. Para isso, a empresa produzirá esses novos chocolates com medida do raio da base, em centímetro, igual a","1,52.","3,24.","3,60.","6,48.","7,20.",2022,161,MT,C,portuguese,A,"{'A': 0.602729530930209, 'D': 0.007189050589272772, 'C': 0.0001, 'B': 0.0001, 'E': 0.0001}"
QUESTÃO 162,"Em janeiro de 2013, foram declaradas 1 794 272 admissões e 1 765 372 desligamentos no Brasil, ou seja, foram criadas 28 900 vagas de emprego, segundo dados do Cadastro Geral de Empregados e Desempregados (Caged), divulgados pelo Ministério do Trabalho e Emprego (MTE). Segundo o Caged, o número de vagas criadas em janeiro de 2013 sofreu uma queda de 75 por cento, quando comparado com o mesmo período de 2012. De acordo com as informações dadas, o número de vagas criadas em janeiro de 2012 foi",16 514.,86 700.,115 600.,441 343.,448 568.,2022,162,MT,C,portuguese,A,"{'A': 0.524969812409623, 'D': 0.2975176231666826, 'C': 0.0001, 'B': 0.0001, 'E': 0.0001}"
QUESTÃO 163,"Um prédio, com 9 andares e 8 apartamentos de 2 quartos por andar, está com todos os seus apartamentos à venda. Os apartamentos são identificados por números formados por dois algarismos, sendo que a dezena indica o andar onde se encontra o apartamento, e a unidade, um algarismo de 1 a 8, que diferencia os apartamentos de um mesmo andar. Quanto à incidência de sol nos quartos desses apartamentos, constatam-se as seguintes características, em função de seus números de identificação: • naqueles que finalizam em 1 ou 2, ambos os quartos recebem sol apenas na parte da manhã; • naqueles que finalizam em 3, 4, 5 ou 6, apenas um dos quartos recebe sol na parte da manhã; • naqueles que finalizam em 7 ou 8, ambos os quartos recebem sol apenas na parte da tarde. Uma pessoa pretende comprar 2 desses apartamentos em um mesmo andar, mas quer que, em ambos, pelo menos um dos quartos receba sol na parte da manhã. De quantas maneiras diferentes essa pessoa poderá escolher 2 desses apartamentos para compra nas condições desejadas?","9 vezes 6 fatorial dividido por, abre parêntese, 6 menos 2, fecha parêntese, fatorial.","9 vezes 6 fatorial dividido por, abre parêntese, abre parêntese, 6 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese.","9 vezes 4 fatorial dividido por, abre parêntese, abre parêntese, 4 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese.","9 vezes 2 fatorial dividido por, abre parêntese, abre parêntese, 2 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese.","9 vezes abre parêntese, abre parêntese, 8 fatorial dividido por, abre parêntese, abre parêntese, 8 menos 2, fecha parêntese, fatorial vezes 2 fatorial, fecha parêntese, fecha parêntese, menos 1, fecha parêntese.",2022,163,MT,B,portuguese,A,"{'A': 0.9053210170993784, 'C': 0.05406121879546899, 'D': 0.007868618333463969, 'B': 0.004574088691770852, 'E': 0.0001}"
