question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 101,"Os satélites artificiais que estão em órbita em torno da Terra possuem circuitos elétricos que necessitam de energia elétrica para funcionar. A demanda energética não é muito grande, mas de alguma forma o circuito do satélite deve ser alimentado. Considerando a disponibilidade energética, as questões de ordem econômica e os riscos decorrentes da utilização de certa fonte de energia, a melhor alternativa para alimentar os circuitos elétricos do satélite é a partir de",células solares.,pilhas alcalinas.,biocombustíveis.,combustíveis fósseis.,reatores termonucleares.,2020,101,CN,A,portuguese
QUESTÃO 102,"Caso um astronauta, no interior de uma estação espacial em órbita em torno da Terra, tente medir seu peso em uma balança convencional, essa não indicará nenhum valor. A interpretação científica para esse fato é que a aceleração gravitacional terrestre","tende a zero, devido à grande distância da Terra.","inexiste fora da atmosfera da Terra, devido à ausência de ar.","anula-se com a aceleração da gravidade lunar, devido à proximidade da Lua.","mantém o mesmo movimento orbital para o astronauta e a balança, devido à ação igual em ambos.","não atua em corpos que se encontram no vácuo, devido ao fato de tal meio não permitir a existência de forças.",2020,102,CN,D,portuguese
QUESTÃO 103,"Dois engenheiros estão verificando se uma cavidade perfurada no solo está de acordo com o planejamento de uma obra, cuja profundidade requerida é de 30 metros. O teste é feito por um dispositivo denominado oscilador de áudio de frequência variável, que permite relacionar a profundidade com os valores da frequência de duas ressonâncias consecutivas, assim como em um tubo sonoro fechado. A menor frequência de ressonância que o aparelho mediu foi 135 hertz. Considere que a velocidade do som dentro da cavidade perfurada é de 360 metros por segundo . Se a profundidade estiver de acordo com o projeto, qual será o valor da próxima frequência de ressonância que será medida?",137 hertz.,138 hertz.,141 hertz.,144 hertz.,159 hertz.,2020,103,CN,C,portuguese
QUESTÃO 104,"Instituições acadêmicas e de pesquisa no mundo estão inserindo genes em genomas de plantas que possam codificar produtos de interesse farmacológico. No Brasil, está sendo desenvolvida uma variedade de soja com um viricida ou microbicida capaz de prevenir a contaminação pelo vírus causador da aids. Essa leguminosa está sendo induzida a produzir a enzima cianovirina-N, que tem eficiência comprovada contra o vírus. A técnica para gerar essa leguminosa é um exemplo de",hibridismo.,transgenia.,conjugação.,terapia gênica.,melhoramento genético.,2020,104,CN,B,portuguese
QUESTÃO 105,"Pesquisadores coletaram amostras de água de um rio em pontos diferentes, distantes alguns quilômetros um do outro. Ao longo do rio, há locais de águas limpas, como também locais que recebem descarga de esgoto de área urbana, e locais onde há decomposição ativa com ausência de peixes. Os pesquisadores analisaram dois parâmetros: oxigênio dissolvido (OD) e demanda bioquímica de oxigênio (DBO) em cada ponto de coleta de água, obtendo o gráfico: Descrição do gráfico: O gráfico apresenta no eixo x os pontos de amostragem e no eixo y os parâmetros OD e DBO (miligrama por litro). O ponto de amostragem 1 tem OD igual a 4 e DBO igual a 13. O ponto de amostragem 2 tem OD igual a 2 e DBO igual a 7. O ponto de amostragem 3 tem OD igual a 0,9 e DBO igual a 1,8. O ponto de amostragem 4 tem OD igual a 3 e DBO igual a 4. O ponto de amostragem 5 tem OD igual a 6 e DBO igual a 4. Valores limites permitidos para águas doces destinadas ao abastecimento para o consumo humano após tratamento convencional, segundo Resolução Conama número 357/2005: OD maior ou igual a 5 miligramas por litro e DBO menor ou igual a 5 miligramas por litro.  O OD é proveniente da atmosfera e da fotossíntese que ocorre no curso-d’água e sua concentração é função das variáveis físicas, químicas e bioquímicas locais. A DBO é a quantidade de oxigênio consumido por microrganismos em condições aeróbicas para degradar uma determinada quantidade de matéria orgânica, durante um período de tempo, numa temperatura de incubação específica.  Qual ponto de amostragem da água do rio está mais próximo ao local em que o rio recebe despejo de esgoto?",1,2,3,4,5,2020,105,CN,A,portuguese
QUESTÃO 106,"O c rescimento da frota de veículos em circulação no mundo tem levado à busca e desenvolvimento de tecnologias que permitam minimizar emissões de poluentes atmosféricos. O uso de veículos elétricos é uma das propostas mais propagandeadas por serem de emissão zero. Podemos comparar a emissão de carbono na forma de CO2 (massa molar igual a 44 gramas por mol, fecha parentêse, para os dois tipos de carros (a combustão e elétrico). Considere que os veículos tradicionais a combustão, movidos a etanol (massa molar igual a 46 gramas por mol) emitem uma média de 2,6 mol de CO2 por quilômetro rodado, e os elétricos emitem o equivalente a 0,45 mol de CO2 por quilômetro rodado (considerando as emissões na geração e transmissão da eletricidade). A reação de combustão do etanol pode ser representada pela equação quí mica: Descrição da equação química: Os reagentes C2H5OH (líquido) mais 3 O2 (gasoso) formam os produtos 2 CO2 (gasoso) mais 3 H2O (gasoso). Foram analisadas as emissões de CO 2 envolvidas em dois veículos, um movido a etanol e outro elétrico, em um mesmo trajeto de 1 000 quilômetros . A quantidade equivalente de etanol economizada, em quilograma, com o uso do veículo elétrico nesse trajeto, é mais próxima de:",50.,60.,95.,99.,120.,2020,106,CN,A,portuguese
QUESTÃO 107,"A Síndrome Respiratória do Oriente Médio (MERS) tem preocupado o mundo, em especial pelas semelhanças com a Síndrome Respiratória Aguda Grave (SARS) e pela letalidade. As pessoas acometidas podem apresentar febre, tosse, dificuldade de respirar, náuseas e diarreia. Causada por um coronavírus, a doença espalha-se facilmente, pelo contato com indivíduos infectados. Qual forma de prevenção pode, emergencialmente, auxiliar no controle da disseminação dessa epidemia?",Evitar o frio.,Utilizar antitérmicos.,Ter hábitos de vida saudáveis.,Melhorar o saneamento básico.,Usar máscaras de proteção facial.,2020,107,CN,E,portuguese
QUESTÃO 108,"Embora a energia nuclear possa ser utilizada para fins pacíficos, recentes conflitos geopolíticos têm trazido preocupações em várias partes do planeta e estimulado discussões visando o combate ao uso de armas de destruição em massa. Além do potencial destrutivo da bomba atômica, uma grande preocupação associada ao emprego desse artefato bélico é a poeira radioativa deixada após a bomba ser detonada. Qual é o processo envolvido na detonação dessa bomba?","Fissão nuclear do urânio, provocada por nêutrons.","Fusão nuclear do hidrogênio, provocada por prótons.","Desintegração nuclear do plutônio, provocada por elétrons.","Associação em cadeia de chumbo, provocada por pósitrons.","Decaimento radioativo do carbono, provocado por partículas beta.",2020,108,CN,A,portuguese
QUESTÃO 109,"P lantas pioneiras são as que iniciam o processo natural de cicatrização de uma área desprovida de vegetação. Em geral, têm pequeno porte e crescem muito rápido, desenvolvem-se a pleno sol e são pouco exigentes quanto às condições do solo. Produzem grande quantidade de semente s e possuem ciclo de vida curto. Essas plantas são importantes em um projeto de restauração ambiental, pois promovem, no solo,",aumento da incidência de luz solar.,diminuição da absorção de água.,estabilização da umidade.,elevação de temperatura.,liberação de oxigênio.,2020,109,CN,C,portuguese
QUESTÃO 110,"Mesmo para peixes de aquário, como o peixe arco-íris, a temperatura da água fora da faixa ideal (26 graus Celsius a 28 graus Celsius) bem como sua variação brusca, pode afetar a saúde do animal. Para manter a temperatura da água dentro do aquário na média desejada, utilizam-se dispositivos de aquecimento com termostato. Por exemplo, para um aquário de 50 litros, pode-se utilizar um sistema de aquecimento de 50 watts otimizado para suprir sua taxa de resfriamento. Essa taxa pode ser considerada praticamente constante, já que a temperatura externa ao aquário é mantida pelas estufas. Utilize para a água o calor específico 4,0 quilojoule por quilograma por Kelvin e a densidade 1 quilograma por litro . Se o sistema de aquecimento for desligado por 1 hora, qual o valor mais próximo para a redução da temperatura da água do aquário?","4,0 graus Celsius","3,6 graus Celsius","0,9 grau Celsius","0,6 grau Celsius","0,3 grau Celsius",2020,110,CN,C,portuguese
QUESTÃO 111,"Um a mulher de 21 anos não tem filhos e apresenta um ciclo menstrual regular. Sua primeira menstruação do presente ano teve início no dia primeiro de janeiro. Ela teve uma única relação sexual naquele mês (no dia 4 de janeiro) sendo que nenhum método contraceptivo foi utilizado. Como até o dia 29 de janeiro ela não havia menstruado novamente, resolveu fazer um teste de gravidez, já que ela e seu parceiro não apresentavam problemas de infertilidade. O resultado foi negativo e, no dia seguinte (30 de janeiro) ela menstruou normalmente. De acordo com um ciclo menstrual regular, a mulher não ficou grávida porque a ovocitação (abre aspas, o vulação, fecha aspas) ocorreu cerca de",1 a 2 dias a pós a relação sexual.,9 a 11 dias após a relação sexual.,24 a 25 dias após a relação sexual.,6 a 7 dias antes da relação sexual.,2 a 3 dias antes da relação sexual.,2020,111,CN,B,portuguese
QUESTÃO 112,"O exame parasitológico de fezes é utilizado para detectar ovos de parasitos. Um dos métodos utilizados, denominado de centrífugo-flutuação, considera a densidade dos ovos em relação a uma solução de densidade 1,15 grama por mililitro . Assim, ovos que flutuam na superfície dessa solução são detectados. Os dados de densidade dos ovos de alguns parasitos estão apresentados na tabela. Descrição da tabela: A tabela apresenta duas colunas, uma com os nomes dos parasitos e outra com as densidades de seus ovos, da seguinte maneira: Ancylostoma : 1,06 grama por mililitro. Ascaris lumbricoides : 1,11 grama por mililitro. Ascaris suum : 1,13 grama por mililitro. Schistosoma mansoni : 1,18 grama por mililitro. Taenia saginata : 1,30 grama por mililitro. Considerando-se a densidade dos ovos e da solução, ovos de quais parasitos podem ser detectados por esse método?","A. lumbricoides, A. suum e S. mansoni.","S. mansoni, T. saginata e Ancylostoma .","Ancylostoma, A. lumbricoides e A. suum.","T. saginata, S. mansoni e A. lumbricoides.","A. lumbricoides, A. suum e T. saginata.",2020,112,CN,C,portuguese
QUESTÃO 113,"Em seu laboratório, um técnico em química foi incumbido de tratar um resíduo, evitando seu descarte direto no meio ambiente. Ao encontrar o frasco, observou a seguinte informação: abre aspas, Resíduo: mistura de acetato de etila e água , fecha aspas. Considere os dados do acetato de etila: • Baixa solubilidade em água; • Massa específica igual a 0,9 grama por centíme - tro cúbico ; • Temperatura de fusão igual a menos 83 graus Celsius ; • Pressão de vapor maior que a da água. A fim de tratar o resíduo, recuperando o acetato de etila, o técnico deve",evaporar o acetato de etila sem alterar o conteúdo de água.,filtrar a mistura utilizando um funil comum e um papel de filtro.,realizar uma destilação simples para separar a água do acetato de etila.,proceder a uma centrifugação da mistura para remover o acetato de etila.,decantar a mistura separando os dois componentes em um funil adequado.,2020,113,CN,E,portuguese
QUESTÃO 114,"Em 2011, uma falha no processo de perfuração realizado por uma empresa petrolífera ocasionou derramamento de petróleo na bacia hidrográfica de Campos, no Rio de Janeiro. Os impactos decorrentes desse derramamento ocorrem porque os componentes do petróleo","reagem com a água do mar e sofrem degradação, gerando compostos com elevada toxicidade.","acidificam o meio, promovendo o desgaste das conchas calcárias de moluscos e a morte de corais.","dissolvem-se na água, causando a mortandade dos seres marinhos por ingestão da água contaminada.","têm caráter hidrofóbico e baixa densidade, impedindo as trocas gasosas entre o meio aquático e a atmosfera.","têm cadeia pequena e elevada volatilidade, contaminando a atmosfera local e regional em função dos ventos nas orlas marítimas.",2020,114,CN,D,portuguese
QUESTÃO 115,"Durante uma coleta no Pantanal mato-grossense foram observadas algumas espécies de gramíneas, plantas que normalmente apresentam caule rastejante no solo, enrolando-se em outras plantas, dando a aparência de serem plantas trepadeiras. Levando em conta as características ambientais do Pantanal, a adaptação morfológica dessas gramíneas foi uma estratégia que possibilitou",captar mais luz.,captar mais oxigênio.,captar mais nutrientes.,escapar do excesso de água.,escapar da predação dos herbívoros.,2020,115,CN,D,portuguese
QUESTÃO 116,"A fragmentação dos hábitats é caracterizada pela formação de ilhas da paisagem original, circundadas por áreas transformadas. Esse tipo de interferência no ambiente ameaça a biodiversidade. Imagine que uma população de onças foi isolada em uma mata pequena. Elas se extinguiriam mesmo sem terem sido abatidas. Diversos componentes da ilha de hábitat, como o tamanho, a heterogeneidade, o seu entorno, a sua conectividade e o efeito de borda são determinantes para a persistência ou não das espécies originais. Uma medida que auxilia na conservação da biodiversidade nas ilhas mencionadas no texto compreende a",formação de micro-hábitats.,ampliação do efeito de borda.,construção de corredores ecológicos.,promoção da sucessão ecológica.,introdução de novas espécies de animais e vegetais.,2020,116,CN,C,portuguese
QUESTÃO 117,"A sacarase (ou invertase) é uma enzima que atua no intestino humano hidrolisando o dissacarídeo sacarose, nos monossacarídeos glicose e frutose. Em um estudo cinético da reação de hidrólise da sacarose (C12H22O11) foram dissolvidos 171 gramas de sacarose em 500 mililitros de água. Observou-se que, a cada 100 minutos de reação, a concentração de sacarose foi reduzida à metade, qualquer que fosse o momento escolhido como tempo inicial. As massas molares dos elementos H, C e O são iguais a 1, 12 e 16 gramas por mol, respectivamente . Qual é a concentração de sacarose, em mol por litro, depois de 400 minutos do início da reação de hidrólise?","2,50 vezes 10 elevado a menos 3.","6,25 vezes 10 elevado a menos 2.","1,25 vezes 10 elevado a menos 1.","2,50 vezes 10 elevado a menos 1.","4,27 vezes 10 elevado a menos 1.",2020,117,CN,B,portuguese
QUESTÃO 118,"Grandes reservatórios de óleo leve de melhor qualidade e que produz petróleo mais fino foram descobertos no litoral brasileiro numa camada denominada pré-sal, formada há 150 milhões de anos. A utilização desse recurso energético acarreta para o ambiente um desequilíbrio no ciclo do","nitrogênio, devido à nitrificação ambiental transformando amônia em nitrito.","nitrogênio, devido ao aumento dos compostos nitrogenados no ambiente terrestre.","carbono, devido ao aumento dos carbonatos dissolvidos no ambiente marinho.","carbono, devido à liberação das cadeias carbônicas aprisionadas abaixo dos sedimentos.","fósforo, devido à liberação dos fosfatos acumulados no ambiente marinho.",2020,118,CN,D,portuguese
QUESTÃO 119,"Em uma usina geradora de energia elétrica, seja através de uma queda-d’água ou através de vapor sob pressão, as pás do gerador são postas a girar. O movimento relativo de um ímã em relação a um conjunto de bobinas produz um fluxo magnético variável através delas, gerando uma diferença de potencial em seus terminais. Durante o funcionamento de um dos geradores, o operador da usina percebeu que houve um aumento inesperado da diferença de potencial elétrico nos terminais das bobinas. Nessa situação, o aumento do módulo da diferença de potencial obtida nos terminais das bobinas resulta do aumento do(a)","intervalo de tempo em que as bobinas ficam imersas no campo magnético externo, por meio de uma diminuição de velocidade no eixo de rotação do gerador.","fluxo magnético através das bobinas, por meio de um aumento em sua área interna exposta ao campo magnético aplicado.","intensidade do campo magnético no qual as bobinas estão imersas, por meio de aplicação de campos magnéticos mais intensos.","rapidez com que o fluxo magnético varia através das bobinas, por meio de um aumento em sua velocidade angular.","resistência interna do condutor que constitui as bobinas, por meio de um aumento na espessura dos terminais.",2020,119,CN,D,portuguese
QUESTÃO 120,"A obtenção de óleos vegetais, de maneira geral, passa pelas etapas descritas no quadro. Descrição do quadro:  Quadro com as etapas e subetapas do processo de obtenção de óleos vegetais e as respectivas descrições do que ocorre em cada subetapa. A etapa de Preparação da matéria-prima envolve quatro subetapas. Na subetapa Seleção dos grãos ocorre a separação das sujidades mais grossas. Na subetapa Descascamento ocorre a separação de polpa e casca. Na subetapa Trituração ocorre o rompimento dos tecidos e das paredes das células. Na subetapa Cozimento ocorre o aumento da permeabilidade das membranas celulares. A etapa Extração do óleo bruto envolve três subetapas. Na subetapa Prensagem ocorre a remoção parcial do óleo. Na subetapa Extração obtém-se o óleo bruto com hexano. Na subetapa Destilação ocorre a separação do óleo e do solvente. Qual das subetapas do processo é realizada em função apenas da polaridade das substâncias?",Trituração.,Cozimento.,Prensagem.,Extração.,Destilação.,2020,120,CN,D,portuguese
QUESTÃO 121,"O dióxido de carbono passa para o estado sólido (gelo seco) a menos 78 graus Celsius e retorna ao estado gasoso à temperatura ambiente. O gás é facilmente solubilizado em água, capaz de absorver radiação infravermelha da superfície da Terra e não conduz eletricidade. Ele é utilizado como matéria-prima para a fotossíntese até o limite de saturação. Após a fixação pelos organismos autotróficos, o gás retorna ao meio ambiente pela respiração aeróbica, fermentação, decomposição ou por resíduos industriais, queima de combustíveis fósseis e queimadas. Apesar da sua importância ecológica, seu excesso causa perturbações no equilíbrio ambiental. Considerando as propriedades descritas, o aumento atmosférico da substância afetará os organismos aquáticos em razão da",redução do potencial hidrogeniônico da água.,restrição da aerobiose pelo excesso de poluentes.,diminuição da emissão de oxigênio pelos autótrofos.,limitação de transferência de energia entre os seres vivos.,retração dos oceanos pelo congelamento do gás nos polos.,2020,121,CN,A,portuguese
QUESTÃO 122,"Grupos de proteção ao meio ambiente conseguem resgatar muitas aves aquáticas vítimas de vazamentos de petróleo. Essas aves são lavadas com água e detergente neutro para a retirada completa do óleo de seu corpo e, posteriormente, são aquecidas, medicadas, desintoxicadas e alimentadas. Mesmo após esses cuidados, o retorno ao ambiente não pode ser imediato, pois elas precisam recuperar a capacidade de flutuação. Para flutuar, essas aves precisam",recuperar o tônus muscular.,restaurar a massa corporal.,substituir as penas danificadas.,restabelecer a capacidade de homeotermia.,refazer a camada de cera impermeabilizante das penas.,2020,122,CN,E,portuguese
QUESTÃO 123,"Um estudante tem uma fonte de tensão com corrente contínua que opera em tensão fixa de 12 volts. Como precisa alimentar equipamentos que operam em tensões menores, ele emprega quatro resistores de 100 ohms para construir um divisor de tensão. Obtém-se este divisor associando os resistores, como exibido na figura. Os aparelhos podem ser ligados entre os pontos A, B, C, D e E, dependendo da tensão especificada. Descrição da figura: Circuito elétrico com uma fonte de corrente contínua de tensão igual a 12 volts em uma única malha com quatro resistores em série, cada um de resistência igual 100 ohms. O polo positivo da fonte está conectado ao ponto A. Entre os pontos A e B, encontra-se o primeiro resistor. Entre os pontos B e C, encontra-se o segundo resistor. Entre os pontos C e D, encontra-se o terceiro resistor. Entre os pontos D e E, encontra-se o quarto resistor. O ponto E está conectado ao polo negativo da fonte. Ele tem um equipamento que opera em 9,0 volts com uma resistência interna de 10 quilo-ohms . Entre quais pontos do divisor de tensão esse equipamento deve ser ligado para funcionar corretamente e qual será o valor da intensidade da corrente nele estabelecida?",Entre A e C; 30 miliampères .,Entre B e E; 30 miliampères .,"Entre A e D; 1,2 miliampère .","Entre B e E; 0,9 miliampère","Entre A e E; 0,9 miliampère .",2020,123,CN,D,portuguese
QUESTÃO 124,"Pesquisadores dos Estados Unidos desenvolveram uma nova técnica, que utiliza raios de luz infravermelha para destruir tumores. Primeiramente, o paciente recebe uma injeção com versões modificadas de anticorpos que têm a capacidade de, abre aspas, grudar, fecha aspas,  apenas nas células cancerosas. Sozinhos, eles não fazem nada contra o tumor. Entretanto, esses anticorpos estão ligados a uma molécula, denominada IR700, que funcionará como uma, abre aspas, microbomba, fecha aspas, que irá destruir o câncer. Em seguida, o paciente recebe raios infravermelhos. Esses raios penetram no corpo e chegam até a molécula IR700, que é ativada e libera uma substância que ataca a célula cancerosa. Com base nas etapas de desenvolvimento, o nome apropriado para a técnica descrita é:",Radioterapia.,Cromoterapia.,Quimioterapia.,Fotoimunoterapia.,Terapia magnética.,2020,124,CN,D,portuguese
QUESTÃO 125,"Aranhas, escorpiões, carrapatos e ácaros são representantes da classe dos Aracnídeos. Esses animais são terrestres em sua grande maioria e ocupam os mais variados hábitats, tais como montanhas altas, pântanos, desertos e solos arenosos. Podem ter sido os primeiros representantes do filo Arthropoda a habitar a terra seca. A característica que justifica o sucesso adaptativo desse grupo na ocupação do ambiente terrestre é a presença d e",quelíceras e pedipalpos que coordenam o movimento corporal.,excreção de ácido úrico que confere estabilidade ao pH corporal.,exoesqueleto constituído de quitina que auxilia no controle hídrico corporal.,circulação sanguínea aberta que impede a desidratação dos tecidos corporais.,sistema nervoso ganglionar que promove a coordenação central do movimento corporal.,2020,125,CN,C,portuguese
QUESTÃO 126,"Você foi contratado para sincronizar os quatro semáforos sucessivos de uma avenida, indicados pelas letras O, A, B e C, respectivamente . Os semáforos sucessivos estão separados por uma distância de 500 metros . Segundo os dados estatísticos da companhia controladora de trânsito, um veículo, que está inicialmente parado no semáforo O, tipicamente parte com aceleração constante de 1 metro por segundo ao quadrado até atingir a velocidade de 72 quilômetros por hora e, a partir daí, prossegue com velocidade constante. Você deve ajustar os semáforos A, B e C de modo que eles mudem para a cor verde quando o veículo estiver a 100 metros de cruzá-los, para que ele não tenha que reduzir a velocidade em nenhum momento. Considerando essas condições, aproximadamente quanto tempo depois da abertura do semáforo O os semáforos A, B e C devem abrir, respectivamente?","20 segundos , 45 segundos e 70 segundos .","25 segundos , 50 segundos e 75 segundos .","28 segundos , 42 segundos e 53 segundos .","30 segundos , 55 segundos e 80 segundos .","35 segundos , 60 segundos e 85 segundos .",2020,126,CN,D,portuguese
