question,body,A,B,C,D,E,year,question_number,test,answer,language
QUESTÃO 146,"Um motociclista planeja realizar uma viagem cujo destino fica a 500 quilômetros de sua casa. Sua moto consome 5 litros de gasolina para cada 100 quilômetros rodados, e o tanque da moto tem capacidade para 22 litros. Pelo mapa, observou que no trajeto da viagem o último posto disponível para reabastecimento, chamado Estrela, fica a 80 quilômetros do seu destino. Ele pretende partir com o tanque da moto cheio e planeja fazer somente duas paradas para reabastecimento, uma na ida e outra na volta, ambas no posto Estrela. No reabastecimento para a viagem de ida, deve considerar também combustível suficiente para se deslocar por 200 quilômetros no seu destino. A quantidade mínima de combustível, em litro, que esse motociclista deve reabastecer no posto Estrela na viagem de ida, que seja suficiente para fazer o segundo reabastecimento, é",13.,14.,17.,18.,21.,2020,146,MT,C,portuguese
QUESTÃO 147,"O artista gráfico holandês Maurits Cornelius Escher criou belíssimas obras nas quais as imagens se repetiam, com diferentes tamanhos, induzindo ao raciocínio de repetição infinita das imagens. Inspirado por ele, um artista fez um rascunho de uma obra na qual propunha a ideia de construção de uma sequência de infinitos quadrados, cada vez menores, uns sob os outros, conforme indicado na figura. Descrição da figura: A figura apresenta quatro quadrados e a indicação da repetição sucessiva. O primeiro quadrado PRST tem lado 1, o segundo quadrado tem lado um meio, o terceiro quadrado tem lado um quarto, e assim sucessivamente. O quadrado PRST , com lado de medida 1, é o ponto de partida. O segundo quadrado é construído sob ele tomando-se o ponto médio da base do quadrado anterior e criando-se um novo quadrado, cujo lado corresponde à metade dessa base. Essa sequência de construção se repete recursivamente. Qual é a medida do lado do centésimo quadrado construído de acordo com esse padrão?",Um meio elevado a 100.,Um meio elevado a 99.,Um meio elevado a 97.,Um meio elevado a menos 98.,Um meio elevado a menos 99.,2020,147,MT,B,portuguese
QUESTÃO 148,"O gerente de uma loja de cosméticos colocou à venda cinco diferentes tipos de perfume, tendo em estoque na loja as mesmas quantidades de cada um deles. O setor de controle de estoque encaminhou ao gerente registros gráficos descrevendo os preços unitários de cada perfume, em real, e a quantidade vendida de cada um deles, em percentual, ocorrida no mês de novembro. Descrição do gráfico de colunas: O gráfico apresenta o preço de cada perfume, em real. Perfume Um: 200 reais; Perfume Dois: 170 reais; Perfume Três: 150 reais; Perfume Quatro: 100 reais; Perfume Cinco: 80 reais. Descrição do gráfico de setores: O gráfico apresenta a quantidade vendida de cada perfume, em percentual. Perfume Um: 13 por cento; Perfume Dois: 10 por centro; Perfume Três: 16 por cento; Perfume Quatro: 29 por cento; Perfume Cinco: 32 por cento. Dados a chegada do final de ano e o aumento das vendas, a gerência pretende aumentar a quantidade estocada do perfume do tipo que gerou a maior arrecadação em espécie, em real, no mês de novembro. Nessas condições, qual o tipo de perfume que deverá ter maior reposição no estoque?",Um.,Dois.,Três.,Quatro.,Cinco.,2020,148,MT,D,portuguese
QUESTÃO 149,"Os funcionários de uma empresa planejaram-se para realizar uma coleta de 1 800 reais, todos contribuindo com a mesma quantia, em prol de uma instituição de caridade. Por razões diversas, dez funcionários não puderam contribuir. Com isso, cada um dos demais funcionários aumentou em 2 reais sua cota de contribuição, para alcançar o valor planejado da coleta. O valor, em real, com que cada funcionário participante da coleta contribuiu foi de",18.,20.,90.,100.,180.,2020,149,MT,B,portuguese
QUESTÃO 150,"Num recipiente com a forma de paralelepípedo reto-retângulo, colocou-se água até a altura de 8 centímetros e um objeto, que ficou flutuando na superfície da água. Para retirar o objeto de dentro do recipiente, a altura da coluna de água deve ser de, pelo menos, 15 centímetros. Para a coluna de água chegar até essa altura, é necessário colocar dentro do recipiente bolinhas de volume igual a 6 centímetros cúbicos cada, que ficarão totalmente submersas. O número mínimo de bolinhas necessárias para que se possa retirar o objeto que flutua na água, seguindo as instruções dadas, é de",14.,16.,18.,30.,34.,2020,150,MT,A,portuguese
QUESTÃO 151,"Um grupo sanguíneo, ou tipo sanguíneo, baseia-se na presença ou ausência de dois antígenos, A e B, na superfície das células vermelhas do sangue. Como dois antígenos estão envolvidos, os quatro tipos sanguíneos distintos são: • Tipo A: apenas o antígeno A está presente; • Tipo B: apenas o antígeno B está presente; • Tipo AB: ambos os antígenos estão presentes; • Tipo O: nenhum dos antígenos está presente. Foram coletadas amostras de sangue de 200 pessoas e, após análise laboratorial, foi identificado que em 100 amostras está presente o antígeno A, em 110 amostras há presença do antígeno B e em 20 amostras nenhum dos antígenos está presente. Dessas pessoas que foram submetidas à coleta de sangue, o número das que possuem o tipo sanguíneo A é igual a",30.,60.,70.,90.,100. Descrição da imagem: O recipiente com indicação de água à altura de 8 centímetros tem altura de 17 centímetros; 4 centímetros de comprimento e 3 centímetros de largura.,2020,151,MT,C,portuguese
QUESTÃO 152,"Antônio, Joaquim e José são sócios de uma empresa cujo capital é dividido, entre os três, em partes proporcionais a: 4, 6 e 6, respectivamente. Com a intenção de igualar a participação dos três sócios no capital da empresa, Antônio pretende adquirir uma fração do capital de cada um dos outros dois sócios. A fração do capital de cada sócio que Antônio deverá adquirir é",Um meio.,Um terço.,Um nono.,Dois terços.,Quatro terços.,2020,152,MT,C,portuguese
QUESTÃO 153,"Uma fábrica produz e comercializa refrigerantes utilizando três tipos de embalagens com as seguintes capacidades: 2 000 mililitros , 1 600 mililitros e 400 mililitros . Sabe-se que as quantidades de embalagens produzidas mensalmente são, inicialmente, iguais para os três tipos. Essa fábrica aumentará o volume total de refrigerantes produzidos em 20 por cento. No entanto, esse objetivo deverá ser obtido apenas aumentando a produção de embalagens de 400 mililitros . Para que isso ocorra, em quantos por cento deverá aumentar a produção de refrigerantes em embalagens de 400 mililitros ?",60,100,180,200,300,2020,153,MT,D,portuguese
QUESTÃO 154,"Uma loja de materiais de construção vende dois tipos de caixas-d’água: tipo A e tipo B. Ambas têm formato cilíndrico e possuem o mesmo volume, e a altura da caixa-d’água do tipo B é igual a 25 por cento da altura da caixa-d’água do tipo A. Se R denota o raio da caixa-d’água do tipo A, então o raio da caixa-d’água do tipo B é",Fração de numerador R e denominador 2,2 R,4 R,5 R,16 R,2020,154,MT,B,portuguese
QUESTÃO 155,"Um cliente de um banco, acostumado a realizar a maioria das operações em sua conta-corrente pela internet, foi surpreendido com o bloqueio de sua senha de acesso. Chegando à sua agência, um funcionário lhe informou que esse bloqueio foi feito pelo sistema do banco como forma de proteção à conta-corrente do cliente, pois alguém tentou invadi-la virtualmente. Para resolver o problema, o funcionário cadastrará uma senha, diferente da anterior, que deve ser criada pelo cliente, seguindo as regras usuais estipuladas por esse banco: ela deve ter 8 dígitos, usando somente algarismos de 0 a 9, de modo que o primeiro dígito deve ser diferente de 0. A quantidade de maneiras distintas de criar uma nova senha para esse cliente é dada por", (10 elevado a 8) menos 1., (fração de numerador 10 fatorial e denominador 2 fatorial) menos 1., (fração de numerador 10 fatorial e denominador (2 fatorial vezes 8 fatorial)) menos 1.,9 vezes (fração de numerador 9 fatorial e denominador 2 fatorial) menos 1.,9 vezes (10 elevado a 7) menos 1.,2020,155,MT,E,portuguese
QUESTÃO 156,"Nos livros Harry Potter , um anagrama do nome do personagem “TOM MARVOLO RIDDLE” gerou a frase “I AM LORD VOLDEMORT”. Suponha que Harry quisesse formar todos os anagramas da frase “I AM POTTER”, de tal forma que as vogais e consoantes aparecessem sempre intercaladas, e sem considerar o espaçamento entre as letras. Nessas condições, o número de anagramas formados é dado por",9 fatorial.,4 fatorial vezes 5 fatorial.,2 vezes 4 fatorial vezes 5 fatorial.,Fração de numerador 9 fatorial e denominador 2.,Fração de numerador 4 fatorial vezes 5 fatorial e denominador 2.,2020,156,MT,E,portuguese
QUESTÃO 157,"A exposição a barulhos excessivos, como os que percebemos em geral em trânsitos intensos, casas noturnas e espetáculos musicais, podem provocar insônia, estresse, infarto, perda de audição, entre outras enfermidades. De acordo com a Organização Mundial da Saúde, todo e qualquer som que ultrapasse os 55 decibéis (unidade de intensidade do som) já pode ser considerado nocivo para a saúde. O gráfico foi elaborado a partir da medição do ruído produzido, durante um dia, em um canteiro de obras. Descrição do gráfico: O gráfico apresenta uma curva ondulada ao longo de 24 horas; inicia em 0 decibel na 0 hora, ultrapassa os 55 decibéis das 2 às 5 horas, fica abaixo desse patamar das 5 às 6 horas, fica acima do patamar das 6 às 9 horas, fica abaixo das 9 às 11 horas, fica acima das 11 às 14 horas, fica abaixo das 14 às 16 horas, fica acima das 16 às 17 horas, fica abaixo das 17 às 19 horas, fica acima das 19 às 22 horas e fica abaixo das 22 às 24 horas. Nesse dia, durante quantas horas o ruído esteve acima de 55 decibéis?",5,8,10,11,13,2020,157,MT,E,portuguese
QUESTÃO 158,"A caixa-d’água de um edifício terá a forma de um paralelepípedo retângulo reto com volume igual a 28 080 litros. Em uma maquete que representa o edifício, a caixa-d’água tem dimensões 2 centímetros por 3,51 centímetros por 4 centímetros. Dado: 1 decímetro cúbico é igual a 1 litro. A escala usada pelo arquiteto foi",1 para 10,1 para 100,1 para 1 000,1 para 10 000,1 para 100 000,2020,158,MT,B,portuguese
QUESTÃO 159,"Os gráficos representam a produção de peças em uma indústria e as horas trabalhadas dos funcionários no período de cinco dias. Em cada dia, o gerente de produção aplica uma metodologia diferente de trabalho. Seu objetivo é avaliar a metodologia mais eficiente para utilizá-la como modelo nos próximos períodos. Sabe-se que, neste caso, quanto maior for a razão entre o número de peças produzidas e o número de horas trabalhadas, maior será a eficiência da metodologia. Em qual dia foi aplicada a metodologia mais eficiente?",1,2,3,4,5 Descrição dos gráficos de colunas: Gráfico de peças produzidas em cada um dos cinco dias da semana. Dia 1: 800 peças; Dia 2: 1 000 peças; Dia 3: 1 100 peças; Dia 4: 1 800 peças; Dia 5: 1 400 peças. Gráfico de horas trabalhadas em cada um dos cinco dias da semana. Dia 1: 4 horas; Dia 2: 8 horas; Dia 3: 5 horas; Dia 4: 9 horas; Dia 5: 10 horas.,2020,159,MT,C,portuguese
QUESTÃO 160,"O proprietário de um apartamento decidiu instalar porcelanato no piso da sala. Essa sala tem formato retangular com 3,2 metros de largura e 3,6 metros de comprimento. As peças do porcelanato têm formato de um quadrado com lado medindo 80 centímetros. Esse porcelanato é vendido em dois tipos de caixas, com os preços indicados a seguir. • Caixas do tipo A: 4 unidades de piso, R$ 35,00; • Caixas do tipo B: 3 unidades de piso, R$ 27,00. Na instalação do porcelanato, as peças podem ser recortadas e devem ser assentadas sem espaçamento entre elas, aproveitando-se ao máximo os recortes feitos. A compra que atende às necessidades do proprietário, proporciona a menor sobra de pisos e resulta no menor preço é",5 caixas do tipo A.,1 caixa do tipo A e 4 caixas do tipo B.,3 caixas do tipo A e 2 caixas do tipo B.,5 caixas do tipo A e 1 caixa do tipo B.,6 caixas do tipo B.,2020,160,MT,C,portuguese
QUESTÃO 161,"Um hotel de 3 andares está sendo construído. Cada andar terá 100 quartos. Os quartos serão numerados de 100 a 399 e cada um terá seu número afi xado à porta. Cada número será composto por peças individuais, cada uma simbolizando um único algarismo. Qual a quantidade mínima de peças simbolizando o algarismo 2 necessárias para identifi car o número de todos os quartos?",160,157,130,120,60,2020,161,MT,A,portuguese
QUESTÃO 162,"Um aluno dobra uma folha de papel na forma do quadrado ABCD . Em seguida a desdobra e observa um vinco coincidente com a diagonal AC e faz uma nova dobradura, de modo que o lado BC se sobreponha à diagonal AC . Agora, ao desdobrar a folha, observa um novo vinco, que vai do vértice C até um ponto sobre o lado AB , que chama de E . Com relação ao triângulo ABC , o segmento CE representa",uma de suas alturas.,uma de suas bissetrizes.,uma de suas mediatrizes.,uma de suas medianas.,um de seus lados.,2020,162,MT,B,portuguese
QUESTÃO 163,"Um clube deseja produzir miniaturas em escala do troféu que ganhou no último campeonato. O troféu está representado na Figura 1 e é composto por uma base em formato de um paralelepípedo reto-retângulo de madeira, sobre a qual estão fi xadas três hastes verticais que sustentam uma esfera de 30 centímetros de diâmetro, que fi ca centralizada sobre a base de madeira. O troféu tem 100 centímetros de altura, incluída sua base. Descrição da fi gura 1: Desenho de um troféu cuja forma é um paralelepípedo reto-retângulo de base quadrada de lados medindo 50 centímetros, no qual estão fi xadas três hastes verticais que sustentam uma esfera. Descrição da fi gura 2: Desenho de uma caixa cuja base retangular tem indicações de 10 centímetros de comprimento, 8 centímetros de largura e altura desconhecida.  A miniatura desse troféu deverá ser instalada no interior de uma caixa de vidro, em formato de paralelepípedo reto-retângulo, cujas dimensões internas de sua base estão indicadas na Figura 2, de modo que a base do troféu seja colada na base da caixa e distante das paredes laterais da caixa de vidro em pelo menos 1 centímetro. Deve ainda haver uma distância de exatos 2 centímetros entre o topo da esfera e a tampa dessa caixa de vidro. Nessas condições deseja-se fazer a maior miniatura possível. A medida da altura, em centímetro, dessa caixa de vidro deverá ser igual a",12.,14.,16.,18.,20.,2020,163,MT,B,portuguese
QUESTÃO 164,"Uma casa de dois andares está sendo projetada. É necessário incluir no projeto a construção de uma escada para o acesso ao segundo andar. Para o cálculo das dimensões dos degraus utilizam-se as regras: Módulo de (2 h mais b menos 63,5)é menor ou igual a 1,5 e 16 menor ou igual a h menor ou igual a 19, nas quais h é a altura do degrau (denominada espelho) e b é a profundidade da pisada. Por conveniência, escolheu-se a altura do degrau como sendo h igual a 16. As unidades de h e b estão em centímetro. Nesse caso, o mais amplo intervalo numérico ao qual a profundidade da pisada ( b ) deve pertencer, para que as regras sejam satisfeitas é",30 menor ou igual a b.,"30 menor ou igual a b menor ou igual a 31,5.",30 menor ou igual a b menor ou igual a 33.,"31,5 menor ou igual a b menor ou igual a 33.",b menor ou igual a 33.,2020,164,MT,C,portuguese
QUESTÃO 165,"Muitos modelos atuais de veículos possuem computador de bordo. Os computadores informam em uma tela diversas variações de grandezas associadas ao desempenho do carro, dentre elas o consumo médio de combustível. Um veículo, de um determinado modelo, pode vir munido de um dos dois tipos de computadores de bordo: • Tipo A: informa a quantidade X de litro de combustível gasto para percorrer 100 quilômetros; • Tipo B: informa a quantidade de quilômetro que o veículo é capaz de percorrer com um litro de combustível. Um veículo utiliza o computador do Tipo A, e ao final de uma viagem o condutor viu apresentada na tela a informação “ X dividido por 100”. Caso o seu veículo utilizasse o computador do Tipo B, o valor informado na tela seria obtido pela operação",X vezes 100,X dividido por 100,100 dividido por X,1 dividido por X,1 vezes X,2020,165,MT,C,portuguese
QUESTÃO 166,"No período de fi m de ano, o síndico de um condomínio resolveu colocar, em um poste, uma iluminação natalina em formato de cone, lembrando uma árvore de Natal, conforme as fi guras 1 e 2.  c A árvore deverá ser feita colocando-se mangueiras de iluminação, consideradas segmentos de reta de mesmo comprimento, a partir de um ponto situado a 3 metros de altura no poste até um ponto de uma circunferência de fi xação, no chão, de tal forma que esta fi que dividida em 20 arcos iguais. O poste está fi xado no ponto C (centro da circunferência) perpendicularmente ao plano do chão. Para economizar, ele utilizará mangueiras de iluminação aproveitadas de anos anteriores, que juntas totalizaram pouco mais de 100 metros de comprimento, dos quais ele decide usar exatamente 100 metros e deixar o restante como reserva. Para que ele atinja seu objetivo, o raio, em metro, da circunferência deverá ser de","4,00.","4,87.","5,00.","5,83.","6,26.",2020,166,MT,A,portuguese
QUESTÃO 167,"Pergolado é o nome que se dá a um tipo de cobertura projetada por arquitetos, comumente em praças e jardins, para criar um ambiente para pessoas ou plantas, no qual há uma quebra da quantidade de luz, dependendo da posição do sol. É feito como um estrado de vigas iguais, postas paralelas e perfeitamente em fila. Um arquiteto projeta um pergolado com vãos de 30 centímetros de distância entre suas vigas, de modo que, no solstício de verão, a trajetória do sol durante o dia seja realizada num plano perpendicular à direção das vigas, e que o sol da tarde, no momento em que seus raios fizerem 30 graus com a posição a pino, gere a metade da luz que passa no pergolado ao meio-dia. Para atender à proposta do projeto elaborado pelo arquiteto, as vigas do pergolado devem ser construídas de maneira que a altura, em centímetro, seja a mais próxima possível de",9.,15.,26.,52.,60.,2020,167,MT,C,portuguese
QUESTÃO 168,"Em uma cantina escolar são vendidos 3 tipos de barras de chocolate: amargo, branco e com castanhas. Em uma tarde, 20 alunos adentraram a cantina dispostos a consumir chocolates. Soube-se que 4 alunos compraram exatamente uma barra de cada tipo, 2 alunos compraram exatamente uma barra de chocolate branco e uma barra com castanhas, 2 outros alunos compraram exatamente uma barra de chocolate amargo e uma barra com castanhas e, finalmente, cada um dos demais alunos comprou, exatamente, uma única barra de chocolate. O proprietário da cantina, com o intuito de repor o estoque, detectou que as quantidades totais vendidas de barras de chocolate amargo e branco foram iguais; além disso, no total, foi vendido o dobro de barras com castanhas em relação às brancas. Nessas condições, quantas barras de chocolate com castanhas foram compradas por esses 20 alunos?",8,10,11,14,16,2020,168,MT,E,portuguese
QUESTÃO 169,"Um processo de aeração, que consiste na introdução de ar num líquido, acontece do seguinte modo: uma bomba B retira o líquido de um tanque T1 e o faz passar pelo aerador A1, que aumenta o volume do líquido em 15 por cento, e em seguida pelo aerador A2 ganhando novo aumento de volume de 10 por cento . Ao final, ele fica armazenado num tanque T2, de acordo com a figura. Descrição da figura: O líquido do tanque T1 é impulsionado pela bomba B para o aerador A1. Em seguida passa para o aerador A2 e na sequência o despeja no tanque T2.  Os tanques T1 e T2 são prismas retos de bases retangulares, sendo que a base de T1 tem comprimento c e largura L , e a base de T2 tem comprimento c dividido por 2 e largura 2 L . Para finalizar o processo de aeração sem derramamento do líquido em T2, o responsável deve saber a relação entre a altura da coluna de líquido que já saiu de T1, denotada por x , e a altura da coluna de líquido que chegou a T2, denotada por y . A equação que relaciona as medidas das alturas y e x é dada por","y é igual a  1,265 x.","y é igual a  1,250 x.","y é igual a  1,150 x.","y é igual a  1,125 x.",y é igual a x.,2020,169,MT,A,portuguese
QUESTÃO 170,"Para chegar à universidade, um estudante utiliza um metrô e, depois, tem duas opções: • seguir num ônibus, percorrendo 2,0 quilômetros ; • alugar uma bicicleta, ao lado da estação do metrô, seguindo 3,0 quilômetros pela ciclovia. O quadro fornece as velocidades médias do ônibus e da bicicleta, em quilômetros por hora, no trajeto metrô−universidade. Descrição do quadro: O quadro apresenta a velocidade média, em quilômetro por hora, de cada tipo de transporte em relação aos dias da semana. Segunda-feira. Ônibus: 9 quilômetros por hora; bicicleta: 15 quilômetros por hora. Terça-feira. Ônibus: 20 quilômetros por hora; bicicleta: 22 quilômetros por hora. Quarta-feira. Ônibus: 15 quilômetros por hora; bicicleta: 24 quilômetros por hora. Quinta-feira. Ônibus: 12 quilômetros por hora; bicicleta: 15 quilômetros por hora. Sexta-feira. Ônibus: 10 quilômetros por hora; bicicleta: 18 quilômetros por hora. Sábado. Ônibus: 30 quilômetros por hora; bicicleta: 16 quilômetros por hora. A fim de poupar tempo no deslocamento para a universidade, em quais dias o aluno deve seguir pela ciclovia?","Às segundas, quintas e sextas-feiras.",Às terças e quintas-feiras e aos sábados.,"Às segundas, quartas e sextas-feiras.","Às terças, quartas e sextas-feiras.",Às terças e quartas-feiras e aos sábados.,2020,170,MT,C,portuguese
QUESTÃO 171,"Pesquisadores da Universidade de Tecnologia de Viena, na Áustria, produziram miniaturas de objetos em impressoras 3D de alta precisão. Ao serem ativadas, tais impressoras lançam feixes de laser sobre um tipo de resina, esculpindo o objeto desejado. O produto final da impressão é uma escultura microscópica de três dimensões. A escultura apresentada é uma miniatura de um carro de Fórmula 1, com 100 micrômetros de comprimento. Um micrômetro é a milionésima parte de um metro. Usando notação científica, qual é a representação do comprimento dessa miniatura, em metro?","1,0 vezes 10 elevado a menos um.","1,0 vezes 10 elevado a menos três.","1,0 vezes 10 elevado a menos quatro.","1,0 vezes 10 elevado a menos seis.","1,0 vezes 10 elevado a menos sete.",2020,171,MT,C,portuguese
