question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_HABILIDADE,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,CO_PROVA
QUESTÃO 25,"De repente, sente-se uma vibração que aumenta rapidamente; lustres balançam, objetos se movem sozinhos e somos invadidos pela estranha sensação de medo do imprevisto. Segundos parecem horas, poucos minutos são uma eternidade. Estamos sentindo os efeitos de um terremoto, um tipo de abalo sísmico. O fenômeno físico descrito no texto afeta intensamente as populações que ocupam espaços próximos às áreas de",alívio da tensão geológica.,desgaste da erosão superficial.,atuação do intemperismo químico.,formação de aquíferos profundos.,acúmulo de dep ósitos sedimentares.,2012,25,CH,A,portuguese,22,1.94,0.227,0.162,154
QUESTÃO 26,"TExTO I Em Meditações Metafísicas , René Descartes afirma: Experimentei algumas vezes que os sentidos eram enganosos, e é de prudência nunca se fiar inteiramente em quem já nos enganou uma vez. TExTO II Na obra Uma investigação sobre o entendimento , David Hume escreve: Sempre que alimentarmos alguma suspeita de que uma ideia esteja sendo empregada sem nenhum significado, precisaremos apenas indagar: de que impressão deriva esta suposta ideia? E se for impossível atribuir-lhe qualquer impressão sensorial, isso servirá para confirmar nossa suspeita . Nos textos, ambos os autores se posicionam sobre a natureza do conhecimento humano. A comparação dos excertos permite assumir que Descartes e Hume",defendem os sentidos como critério originário para considerar um conhecimento legítimo.,entendem que é desnecessário suspeitar do significado de uma ideia na reflexão filosófica e crítica.,são legítimos representantes do criticismo quanto à gênese do conhecimento.,concordam que conhecimento humano é impossível em relação às ideias e aos sentidos.,atribuem diferentes lugares ao papel dos sentidos no processo de obtenção do conhecimento.,2012,26,CH,E,portuguese,3,2.685,1.142,0.225,154
QUESTÃO 27,"Não ignoro a opinião antiga e muito difundida de que o que acontece no mundo é decidido por Deus e pelo acaso. Essa opinião é muito aceita em nossos dias, devido às grandes transformações ocorridas, e que ocorrem diariamente, as quais escapam à conjectura humana. Não obstante, para não ignorar inteiramente o nosso livre-arbítrio, creio que se pode aceitar que a sorte decida metade dos nossos atos, mas [o livre-arbítrio] nos permite o controle sobre a outra metade. Em O Príncipe , Maquiavel refletiu sobre o exercício do poder em seu tempo. No trecho citado, o autor demonstra o vínculo entre o seu pensamento político e o humanismo renascentista ao",valorizar a interferência divina nos acontecimentos definidores do seu tempo.,rejeitar a intervenção do acaso nos processos políticos.,afirmar a confiança na razão autônoma como fundamento da ação humana.,romper com a tradição que valorizava o passado como fonte de aprendizagem.,redefinir a ação política com base na unidade entre fé e razão.,2012,27,CH,C,portuguese,1,1.524,2.796,0.132,154
QUESTÃO 28,"A interface clima/sociedade pode ser considerada em termos de ajustamento à extensão e aos modos como as sociedades funcionam em uma relação harmônica com seu clima. O homem e suas sociedades são vulneráveis às variações climáticas. A vulnerabilidade é a medida pela qual uma sociedade é suscetível de sofrer por causas climáticas. Considerando o tipo de relação entre ser humano e condição climática apresentado no texto, uma sociedade torna-se mais vulnerável quando",concentra suas atividades no setor primário.,apresenta estoques elevados de alimentos.,possui um sistema de transportes articulado.,diversifica a matriz de geração de energia.,introduz tecnologias à produção agrícola.,2012,28,CH,A,portuguese,11,1.823,0.253,0.149,154
QUESTÃO 29,"Uma mesma empresa pode ter sua sede administrativa onde os impostos são menores, as unidades de produção onde os salários são os mais baixos, os capitais onde os juros são os mais altos e seus executivos vivendo onde a qualidade de vida é mais elevada. No texto estão apresentadas estratégias empresariais no contexto da globalização. Uma consequência social derivada dessas estratégias tem sido",o crescimento da carga tributária.,o aumento da mobilidade ocupacional.,a redução da competitividade entre as empresas.,o direcionamento das vendas para os mercados regionais.,a ampliação do poder de planejamento dos Estados nacionais.,2012,29,CH,B,portuguese,2,2.042,0.94,0.109,154
QUESTÃO 30,"A moderna “conquista da Amazônia” inverteu o eixo geográfico da colonização da região. Desde a época colonial até meados do século XIX, as correntes principais de população movimentaram-se no sentido Leste-Oeste, estabelecendo uma ocupação linear articulada. Nas últimas décadas, os fluxos migratórios passaram a se verificar no sentido Sul-Norte, conectando o Centro-Sul à Amazônia. O primeiro eixo geográfico de ocupação das terras amazônicas demonstra um padrão relacionado à criação de",núcleos urbanos em áreas litorâneas.,centros agrícolas modernos no interior.,vias férreas entre espaços de mineração.,faixas de povoamento ao longo das estradas.,povoados interliga dos próximos a grandes rios.,2012,30,CH,E,portuguese,3,1.465,0.314,0.161,154
QUESTÃO 31,"Em carta a J. Caldeira Brant, datada de 1751, D. Marcos de Noronha afirma: A experiência que tenho de lidar com aldeias de diversas nações me tem feito ver, que nunca índio fez grande confiança de branco e, se isto sucede com os que estão já civilizados, como não sucederá o mesmo com esses que estão ainda brutos. Em 1749, ao separar-se de São Paulo, a capitania de Goiás foi governada por D. Marcos de Noronha, que atendeu às diretrizes da política indigenista pombalina que incentivava a criação de aldeamentos em função","das constantes rebeliões indígenas contra os brancos colonizadores, que ameaçavam a produção de ouro nas regiões mineradoras.","da propagação de doenças originadas do contato com os colonizadores, que dizimaram boa parte da população indígena.","do empenho das ordens religiosas em proteger o indígena da exploração, o que garantiu a sua supremacia na administração colonial.","da política racista da Coroa Portuguesa, contrária à miscigenação, que organizava a sociedade em uma hierarquia dominada pelos brancos.","da necessidade de controle dos brancos sobre a população indígena, objetivando sua adaptação às exigências do trabalho regular.",2012,31,CH,E,portuguese,5,1.515,1.353,0.115,154
QUESTÃO 32,"De acordo com os geógrafos Milton Santos e Maria L. Silveira: A partir dos anos 70, impõe-se um movimento de desconcentração da produção industrial, uma das manifestações do desdobramento da divisão territorial do trabalho no Brasil. A produção industrial torna-se mais complexa, estendendo-se, sobretudo, para novas áreas do Sul e para alguns pontos do Centro-Oeste, do Nordeste e do Norte. Um fator geográfico que contribui para o tipo de alteração da configuração territorial descrito no texto é:",Obsolescência dos portos.,Estatização de empresas.,Eliminação de incentivos fiscais.,Ampliação de políticas protecionistas.,Desenvolvimento dos meios de comunicação.,2012,32,CH,E,portuguese,5,1.901,-0.231,0.153,154
QUESTÃO 33,O texto seguinte é um fragmento da canção A vida de viajante de Luiz Gonzaga e Hervé Cordovil: Minha vida é andar Por esse paísPra ver se um diaDescanso feliz Guardando as recordações Das terras onde passei Andando pelos sertõesE dos amigos que lá deixei A letra dessa canção reflete elementos identitários que representam a,valorização das características naturais do Sertão nordestino.,denúncia da precariedade social provocada pela seca.,experiência de deslocamento vivenciada pelo migrante.,profunda desigualdade social entre as regiões brasileiras.,discriminação dos nordestinos nos grandes centros urbanos.,2012,33,CH,C,portuguese,29,1.786,1.58,0.285,154
QUESTÃO 34,"Próximo da Igreja dedicada a São Gonçalo nos deparamos com uma impressionante multidão que dançava ao som de suas violas. Tão logo viram o Vice- Rei, cercaram-no e o obrigaram a dançar e pular, exercício violento e pouco apropriado tanto para sua idade quanto posição. Tivemos nós mesmos que entrar na dança, por bem ou por mal, e não deixou de ser interessante ver numa igreja padres, mulheres, frades, cavalheiros e escravos a dançar e pular misturados, e a gritar a plenos pulmões “Viva São Gonçalo do Amarante”. O viajante francês, ao descrever suas impressões sobre uma festa ocorrida em Salvador, em 1717, demonstra dificuldade em entendê-la, porque, como outras manifestações religiosas do período colonial, ela",seguia os preceitos advindos da hierarquia católica romana.,demarcava a submissão do povo à autoridade constituída.,definia o pertencimento dos padres às camadas populares.,afirmava um sentido comunitário de partilha da devoção.,harmonizava as relações sociais entre escravos e senhores.,2012,34,CH,D,portuguese,28,2.036,0.296,0.166,154
QUESTÃO 35,"Considere uma charge em que duas plantas desenvolvem o seguinte diálogo: — Oh, transgênico... Dizem que está faltando alimento no mundo. Mas não tinham inventado um tipo de planta que ia acabar com a fome? — Ahn... Não tô sabendo... Na charge faz-se referência a uma modificação produtiva ocorrida na agricultura. Uma contradição presente no espaço rural brasileiro derivada dessa modificação produtiva está presente em:","Expansão das terras agricultáveis, com manutenção de desigualdades sociais.","Modernização técnica do território, com redução do nível de emprego formal.","Valorização de atividades de subsistência, com redução da produtividade da terra.","Desenvolvimento de núcleos policultores, com ampliação da concentração fundiária.","Melhora da qualidade dos produtos, com retração na exportação de produtos primários.",2012,35,CH,A,portuguese,26,2.112,1.052,0.178,154
QUESTÃO 36,"A maior parte dos veículos de transporte atualmente é movida por motores a combustão que utilizam derivados de petróleo. Por causa disso, esse setor é o maior consumidor de petróleo do mundo, com altas taxas de crescimento ao longo do tempo. Enquanto outros setores têm obtido bons resultados na redução do consumo, os transportes tendem a concentrar ainda mais o uso de derivados do óleo. Um impacto ambiental da tecnologia mais empregada pelo setor de transportes e uma medida para promover a redução do seu uso, estão indicados, respectivamente, em:",Aumento da poluição sonora – construção de barreiras acústicas.,Incidência da chuva ácida – estatização da indústria automobilística.,Derretimento das calotas polares – incentivo aos transportes de massa.,Propagação de doenças respiratórias – distribuição de medicamentos gratuitos.,Elevação das temperaturas médias – criminalização da emissão de gás carbônico.,2012,36,CH,C,portuguese,8,2.029,1.938,0.124,154
QUESTÃO 37,"As mulheres quebradeiras de coco-babaçu dos Estados do Maranhão, Piauí, Pará e Tocantins, na sua grande maioria, vivem numa situação de exclusão e subalternidade. O termo quebradeira de coco assume o caráter de identidade coletiva na medida em que as mulheres que sobrevivem dessa atividade e reconhecem sua posição e condição desvalorizada pela lógica da dominação, se organizam em movimentos de resistência e de luta pela conquista da terra, pela libertação dos babaçuais, pela autonomia do processo produtivo. Passam a atribuir significados ao seu trabalho e as suas experiências, tendo como principal referência sua condição preexistente de acesso e uso dos recursos naturais. A organização do movimento das quebradeiras de coco de babaçu é resultante da","constante violência nos babaçuais na confluência de terras maranhenses, piauienses, paraenses e tocantinenses, região com elevado índice de homicídios.","falta de identidade coletiva das trabalhadoras, migrantes das cidades e com pouco vínculo histórico com as áreas rurais do interior do Tocantins, Pará, Maranhão e Piauí.","escassez de água nas regiões de veredas, ambientes naturais dos babaçus, causada pela construção de açudes particulares, impedindo o amplo acesso público aos recursos hídricos.","progressiva devastação das matas dos cocais, em função do avanço da sojicultura nos chapadões do Meio-Norte brasileiro.",dificuldade imposta pelos fazendeiros e posseiros no acesso aos babaçuais localizados no interior de suas propriedades.,2012,37,CH,E,portuguese,27,1.039,1.977,0.143,154
QUESTÃO 38,"Desde a década de 1950, as políticas econômicas formuladas pelo Estado brasileiro passaram a ser integradas em macroplanos de desenvolvimento, onde as questões setoriais, inclusive as regionais, passaram a ser integradas a uma estratégia que fosse válida para o país como um todo. Em 1959 o governo brasileiro criou a Superintendência do Desenvolvimento do Nordeste (SUDENE) com o objetivo de","diminuir as disparidades entre os níveis de desenvolvimento e distribuição de renda do país, decorrentes do atraso da região.",intensificar a produção de cana-de-açúcar por meio de crédito aos grandes produtores nordestinos.,reforçar a política tradicional da região Nordeste com vistas a solidificar sua estrutura produtiva.,"beneficiar as pequenas propriedades agrícolas, mantendo sua vocação de unidades de subsistência para os produtores da região.",contemplar a população nordestina com a ação de programas emergenciais ligados à segurança alimentar.,2012,38,CH,A,portuguese,30,1.953,0.907,0.169,154
QUESTÃO 39,"Para Platão, o que havia de verdadeiro em Parmênides era que o objeto de conhecimento é um objeto de razão e não de sensação , e era preciso estabelecer uma relação entre objeto racional e objeto sensível ou material que privilegiasse o primeiro em detrimento do segundo. Lenta, mas irresistivelmente, a Doutrina das Ideias formava-se em sua mente. O texto faz referência à relação entre razão e sensação, um aspecto essencial da Doutrina das Ideias de Platão (427 a.C.-346 a.C.). De acordo com o texto, como Platão se situa diante dessa relação?",Estabelecendo um abismo intransponível entre as duas.,Privilegiando os sentidos e subordinando o conhecimento a eles.,Atendo-se à posição de Parmênides de que razão e sensação são inseparáveis.,"Afirmando que a razão é capaz de gerar conhecimento, mas a sensação não.",Rejeitando a posição de Parmênides de que a sensação é superior à razão.,2012,39,CH,D,portuguese,4,2.367,1.356,0.186,154
QUESTÃO 40,"As plataformas ou crátons correspondem aos terrenos mais antigos e arrasados por muitas fases de erosão. Apresentam uma grande complexidade litológica, prevalecendo as rochas metamórficas muito antigas (Pré-Cambriano Médio e Inferior). Também ocorrem rochas intrusivas antigas e resíduos de rochas sedimentares. São três as áreas de plataforma de crátons no Brasil: a das Guianas, a Sul-Amazônica e a do São Francisco. As regiões cratônicas das Guianas e a Sul-Amazônica têm como arcabouço geológico vastas extensões de escudos cristalinos, ricos em minérios, que atraíram a ação de empresas nacionais e estrangeiras do setor de mineração e destacam-se pela sua história geológica por","apresentarem áreas de intrusões graníticas, ricas em jazidas minerais (ferro, manganês).",corresponderem ao principal evento geológico do Cenozoico no território brasileiro.,"apresentarem áreas arrasadas pela erosão, que originaram a maior planície do país.",possuírem em sua extensão terrenos cristalinos ricos em reservas de petróleo e gás natural.,"serem esculpidas pela ação do intemperismo físico, decorrente da variação de temperatura.",2012,40,CH,A,portuguese,27,1.716,1.06,0.224,154
QUESTÃO 41,"A irrigação da agricultura é responsável pelo consumo de mais de 2/3 de toda a água retirada dos rios, lagos e lençóis freáticos do mundo. Mesmo no Brasil, onde achamos que temos muita água, os agricultores que tentam produzir alimentos também enfrentam secas periódicas e uma competição crescente por água. No Brasil, as técnicas de irrigação utilizadas na agricultura produziram impactos socioambientais como",redução do custo de produção.,agravamento da poluição hídrica.,compactação do material do solo.,aceleração da fertilização natural.,redirecionamento dos cursos fluviais.,2012,41,CH,E,portuguese,10,1.332,1.07,0.224,154
QUESTÃO 42,"TExTO I Ao se emanciparem da tutela senhorial, muitos camponeses foram desligados legalmente da antiga terra. Deveriam pagar, para adquirir propriedade ou arrendamento. Por não possuírem recursos, engrossaram a camada cada vez maior de jornaleiros e trabalhadores volantes, outros, mesmo tendo propriedade sobre um pequeno lote, suplementavam sua existência com o assalariamento esporádico. TExTO II Com a globalização da economia ampliou-se a hegemonia do modelo de desenvolvimento agropecuário, com seus padrões tecnológicos, caracterizando o agronegócio. Essa nova face da agricultura capitalista também mudou a forma de controle e exploração da terra. Ampliou-se, assim, a ocupação de áreas agricultáveis e as fronteiras agrícolas se estenderam. Os textos demonstram que, tanto na Europa do século XIX quanto no contexto latino-americano do século XXI, as alterações tecnológicas vivenciadas no campo interferem na vida das populações locais, pois","induzem os jovens ao estudo nas grandes cidades, causando o êxodo rural, uma vez que formados, não retornam à sua região de origem.","impulsionam as populações locais a buscar linhas de financiamento estatal com o objetivo de ampliar a agricultura familiar, garantindo sua fixação no campo.","ampliam o protagonismo do Estado, possibilitando a grupos econômicos ruralistas produzir e impor políticas agrícolas, ampliando o controle que tinham dos mercados.","aumentam a produção e a produtividade de determinadas culturas em função da intensificação da mecanização, do uso de agrotóxicos e cultivo de plantas transgênicas.",desorganizam o modo tradicional de vida impelindo-as à busca por melhores condições no espaço urbano ou em outros países em situações muitas vezes precárias.,2012,42,CH,E,portuguese,20,2.117,0.801,0.249,154
QUESTÃO 43,"Em um engenho sois imitadores de Cristo crucificado porque padeceis em um modo muito semelhante o que o mesmo Senhor padeceu na sua cruz e em toda a sua paixão. A sua cruz foi composta de dois madeiros, e a vossa em um engenho é de três. Também ali não faltaram as canas, porque duas vezes entraram na Paixão: uma vez servindo para o cetro de escárnio, e outra vez para a esponja em que lhe deram o fel. A Paixão de Cristo parte foi de noite sem dormir, parte foi de dia sem descansar, e tais são as vossas noites e os vossos dias. Cristo despido, e vós despidos; Cristo sem comer, e vós famintos; Cristo em tudo maltratado, e vós maltratados em tudo. Os ferros, as prisões, os açoites, as chagas, os nomes afrontosos, de tudo isto se compõe a vossa imitação, que, se for acompanhada de paciência, também terá merecimento de martírio. O trecho do sermão do Padre Antônio Vieira estabelece uma relação entre a Paixão de Cristo e",a atividade dos comerciantes de açúcar nos portos brasileiros.,a função dos mestres de açúcar durante a safra de cana.,o sofrimento dos jesuítas na conversão dos ameríndios.,o papel dos senhores na administração dos engenhos.,o trabalho dos escravos na produção de açúcar.,2012,43,CH,E,portuguese,6,1.449,0.447,0.183,154
QUESTÃO 44,"Consta em um Boletim do Ministério do Trabalho, Indústria e Comércio, publicado em 1941: Fugindo à luta de classes, a nossa organização sindical tem sido um instrumento de harmonia e de cooperação entre o capital e o trabalho. Não se limitou a um sindicalismo puramente “operário”, que conduziria certamente a luta contra o “patrão”, como aconteceu com outros povos. Nesse docu mento oficial, à época do Estado Novo (1937-1945), é apresentada uma concepção de organização sindical que",elimina os conflitos no ambiente das fábricas.,limita os direitos associativos do segmento patronal.,orienta a busca do consenso entre trabalhadores e patrões.,proíbe o registro de estrangeiros nas entidades profissionais do país.,desobriga o Estado quanto aos direitos e deveres da classe trabalhadora.,2012,44,CH,C,portuguese,16,2.377,0.108,0.164,154
QUESTÃO 45,"O uso da água aumenta de acordo com as necessidades da população no mundo. Porém, diferentemente do que se possa imaginar, o aumento do consumo de água superou em duas vezes o crescimento populacional durante o século XX. Uma estratégia socioespacial que pode contribuir para alterar a lógica de uso da água apresentada no texto é a",ampliação de sistemas de reutilização hídrica.,expansão da irrigação por aspersão das lavouras.,intensificação do controle do desmatamento de florestas.,adoção de técnicas tradicionais de produção.,criação de incentivos fiscais para o cultivo de produtos orgânicos.,2012,45,CH,A,portuguese,25,2.201,-0.146,0.158,154
