question,body,A,B,C,D,E,year,question_number,test,answer,language,CO_PROVA
QUESTÃO 56,"O caramujo gigante africano, Achatina fulica , é uma espécie exótica que tem despertado o interesse das autoridades brasileiras, uma vez que tem causado danos ambientais e prejuízos econômicos à agricultura. A introdução da espécie no Brasil ocorreu clandestinamente, com o objetivo de ser utilizada na alimentação humana. Porém, o molusco teve pouca aceitação no comércio de alimentos, o que resultou em abandono e liberação intencional das criações por vários produtores. Por ser uma espécie herbívora generalista (alimenta-se de mais de 500 espécies diferentes de vegetais), com grande capacidade reprodutiva, tornou-se uma praga agrícola de difícil erradicação. Associada a isto, a ausência de predadores naturais fez com que ocorresse um crescimento descontrolado da população. O desequilíbrio da cadeia alimentar observado foi causado pelo aumento da densidade populacional de","consumidores terciários, em função da elevada disponibilidade de consumidores secundários.","consumidores primários, em função da ausência de consumidores secundários.","consumidores secundários, em função da ausência de consumidores primários.","consumidores terciários, em função da elevada disponibilidade de produtores.","consumidores primários, em função do aumento de produtores.",2015,56,CN,B,portuguese,277
QUESTÃO 57,"No manual de um carro, encontra-se o seguinte aviso: “Para evitar ferimentos graves, jamais remova a tampa do reservatório de líquido de arrefecimento quando o motor estiver aquecido. A liberação repentina de pressão do reservatório é muito perigosa e poderá causar queimaduras.” Nesse aviso, entende-se por “liberação repentina de pressão” o(a)",aumento rápido de volume do líquido de arrefecimento.,diminuição súbita de temperatura do líquido de arrefecimento.,aumento súbito de volume do vapor do líquido de arrefecimento.,troca rápida de calor entre os ambientes interno e externo ao reservatório.,diminuição rápida da energia cinética das moléculas do vapor do líquido de arrefecimento. ,2015,57,CN,C,portuguese,277
QUESTÃO 58,"O vinagre vem sendo usado desde a Antiguidade como conservante de alimentos, bem como agente de limpeza e condimento. Um dos principais componentes do vinagre é o ácido acético (massa molar 60 gramas por mol), cuja faixa de concentração deve se situar entre 4 por cento a 6 por cento (massa por volume). Em um teste de controle de qualidade foram analisadas cinco marcas de diferentes vinagres, e as concentrações de ácido acético, em mol por litro , se encontram no quadro. Descrição da imagem: Quadro com duas colunas: na primeira coluna, são apresentadas cinco amostras e, na segunda coluna, são apresentados os resultados da concentração de ácido acético, em mol por litro: Amostra 1: 0,007; Amostra 2: 0,070;Amostra 3: 0,150;Amostra 4: 0,400;Amostra 5: 0,700. A amostra de vinagre que se encontra dentro do limite de concentração tolerado é a",1.,2.,3.,4.,5.,2015,58,CN,E,portuguese,277
QUESTÃO 59,"Os parasitoides são insetos diminutos, que têm hábitos bastante peculiares: suas larvas se desenvolvem dentro do corpo de outros animais. Em geral, cada parasitoide ataca hospedeiros de determinada espécie e, por isso, esses organismos vêm sendo amplamente usados para o controle biológico de pragas agrícolas. O uso desses insetos na agricultura traz benefícios ambientais, pois diminui o(a)",tempo de produção agrícola.,diversidade de insetos-praga.,aplicação de inseticidas tóxicos.,emprego de fertilizantes agrícolas.,necessidade de combate a ervas daninhas.,2015,59,CN,C,portuguese,277
QUESTÃO 60,"A figura representa uma embalagem cartonada e sua constituição em multicamadas. De acordo com as orientações do fabricante, essas embalagens não devem ser utilizadas em fornos micro-ondas. Descrição da imagem: Caixa do tipo longa vida ou Tetra Pak . São apresentadas as diversas camadas que formam as paredes dessa caixa. De fora para dentro, há a seguinte ordem de materiais que constituem cada uma das camadas: polietileno, papel, polietileno, alumínio e polietileno. A restrição citada deve-se ao fato de a",embalagem aberta se expandir pela pressão do vapor formado em seu interior.,"camada de polietileno se danificar, colocando o alumínio em contato com o alimento.","fina camada de alumínio blindar a radiação, não permitindo que o alimento se aqueça.","absorção de radiação pelo papel, que se aquece e pode levar à queima da camada de polietileno.","geração de centelhas na camada de alumínio, que pode levar à queima da camada de papel e de polietileno.  ",2015,60,CN,E,portuguese,277
QUESTÃO 61,"O quadro apresenta a composição do petróleo. Descrição da imagem: Quadro com quatro colunas: na primeira coluna, são apresentadas algumas frações do petróleo. Na segunda coluna, as faixas de tamanho das moléculas. Na terceira coluna, as faixas de ponto de ebulição, em graus Celsius. E, na quarta coluna, seus usos. Fração - Gás:Faixa de tamanho das moléculas: C 1 a C5; Faixa de ponto de ebulição: −160 a 30 graus Celsius; Usos: combustíveis gasosos.Fração - Gasolina: Faixa de tamanho das moléculas: C 5 a C12; Faixa de ponto de ebulição: 30 a 200 graus Celsius; Usos: combustível de motor.Fração - Querosene: Faixa de tamanho das moléculas: C 12 a C 18 ; Faixa de ponto de ebulição: 180 a 400 graus Celsius; Usos: diesel e combustível de alto-forno. Fração - Lubrificantes: Faixa de tamanho das moléculas: maior que C 16; Faixa de ponto de ebulição: maior que 350 graus Celsius; Usos: lubrificantes.Fração - Parafinas: Faixa de tamanho das moléculas: maior que C 20; Faixa de ponto de ebulição: sólidos de baixa fusão;Usos: velas e fósforos.Fração - Asfalto: Faixa de tamanho das moléculas: maior que C 30; Faixa de ponto de ebulição: resíduos pastosos; Usos: pavimentação. Para a separação dos constituintes com o objetivo de produzir a gasolina, o método a ser utilizado é a",filtração.,destilação.,decantação.,precipitação.,centrifugação.,2015,61,CN,B,portuguese,277
QUESTÃO 62,"Um gel vaginal poderá ser um recurso para as mulheres na prevenção contra a aids. Esse produto tem como princípio ativo um composto que inibe a transcriptase reversa viral. Essa ação inibidora é importante, pois a referida enzima","corta a dupla hélice do DNA, produzindo um molde para o RNA viral.",produz moléculas de DNA viral que vão infectar células sadias.,"polimeriza molécula de DNA, tendo como molde o RNA viral.",promove a entrada do vírus da aids nos linfócitos T.,sintetiza os nucleotídeos que compõem o DNA viral.,2015,62,CN,C,portuguese,277
QUESTÃO 63,"O Nylon é um polímero (uma poliamida) obtido pela reação do ácido adípico com a hexametilenodiamina, como indicado no esquema reacional. Descrição do esquema reacional: O reagente ácido hexanodioico (ácido adípico): estrutura com 4 carbonos entre os grupos COOH conectados por meio de ligações simples mais o reagente 1,6-diamino-hexano (hexametilenodiamina): estrutura com 4 carbonos entre os grupos C simples NH 2, conectados por meio de ligações simples formam o produto Nylon 6,6: estrutura que se repete n vezes, formada por 4 carbonos entre dois grupos C dupla O, por meio de ligações simples e, na sequência, 4 carbonos entre grupos N simples H, por meio de ligações simples mais o produto n H 2O. Na época da invenção desse composto, foi proposta uma nomenclatura comercial, baseada no número de átomos de carbono do diácido carboxílico, seguido do número de carbonos da diamina. De acordo com as informações do texto, o nome comercial de uma poliamida resultante da reação do ácido butanodioico com o 1,2-diamino-etano é","Nylon 4,3.","Nylon 6,2.","Nylon 3,4.","Nylon 4,2.","Nylon 2,6.  ",2015,63,CN,D,portuguese,277
QUESTÃO 64,"A remoção de petróleo derramado em ecossistemas marinhos é complexa e muitas vezes envolve a adição de mais sustâncias ao ambiente. Para facilitar o processo de recuperação dessas áreas, pesquisadores têm estudado a bioquímica de bactérias encontradas em locais sujeitos a esse tipo de impacto. Eles verificaram que algumas dessas espécies utilizam as moléculas de hidrocarbonetos como fonte energética, atuando como biorremediadores, removendo o óleo do ambiente. Para serem eficientes no processo de biorremediação citado, as espécies escolhidas devem possuir","células flageladas, que capturem as partículas de óleo presentes na água.","altas taxas de mutação, para se adaptarem ao ambiente impactado pelo óleo.","enzimas, que catalisem reações de quebra das moléculas constituintes do óleo.","parede celular espessa, que impossibilite que as bactérias se contaminem com o óleo.","capacidade de fotossíntese, que possibilite a liberação de oxigênio para a renovação do ambiente poluído.",2015,64,CN,C,portuguese,277
QUESTÃO 65,"Os calcários são materiais compostos por carbonato de cálcio, que podem atuar como sorventes do dióxido de enxofre (SO2), um importante poluente atmosférico. As reações envolvidas no processo são a ativação do calcário, por meio de calcinação, e a fixação do SO 2 com a formação de um sal de cálcio, como ilustrado pelas equações químicas simplificadas. Descrição das equações químicas: O reagente CaCO3 submetido à ação do calor forma os produtos CaO + CO2. Os reagentes CaO + SO2 + meio mol de O2 levam à formação do “Sal de cálcio”. Considerando-se as reações envolvidas nesse processo de dessulfurização, a fórmula química do sal de cálcio corresponde a",CaSO3.,CaSO4.,CaS2O 8 .,CaSO2.,CaS2O7.,2015,65,CN,B,portuguese,277
QUESTÃO 66,"Uma enzima foi retirada de um dos órgãos do sistema digestório de um cachorro e, após ser purificada, foi diluída em solução fisiológica e distribuída em três tubos de ensaio com os seguintes conteúdos: • Tubo 1: carne • Tubo 2: macarrão • Tubo 3: banha Em todos os tubos foi adicionado ácido clorídrico (HCl), e o pH da solução baixou para um valor próximo a 2. Além disso, os tubos foram mantidos por duas horas a uma temperatura de 37 graus Celsius. A digestão do alimento ocorreu somente no tubo 1. De qual órgão do cachorro a enzima foi retirada?",Fígado.,Pâncreas.,Estômago.,Vesícula biliar.,Intestino delgado.,2015,66,CN,C,portuguese,277
QUESTÃO 67,"Observações astronômicas indicam que no centro de nossa galáxia, a Via Láctea, provavelmente exista um buraco negro cuja massa é igual a milhares de vezes a massa do Sol. Uma técnica simples para estimar a massa desse buraco negro consiste em observar algum objeto que orbite ao seu redor e medir o período de uma rotação completa, T , bem como o raio médio, R , da órbita do objeto, que supostamente se desloca, com boa aproximação, em movimento circular uniforme. Nessa situação, considere que a força resultante, devido ao movimento circular, é igual, em magnitude, à força gravitacional que o buraco negro exerce sobre o objeto. A partir do conhecimento do período de rotação, da distância média e da constante gravitacional, G , a massa do buraco negro é","Fração, cujo numerador é: 4 vezes, abre parêntese, Pi elevado ao quadrado, fecha parêntese, vezes, abre parêntese R elevado ao quadrado, fecha parêntese. O denominador é: G vezes, abre parêntese, T elevado ao quadrado, fecha parêntese.","Fração, cujo numerador é: Pi elevado ao quadrado vezes, abre parêntese, R elevado ao cubo, fecha parêntese. O denominador é: 2 vezes G vezes, abre parêntese, T elevado ao quadrado, fecha parêntese.","Fração, cujo numerador é: 2 vezes, abre parêntese, Pi elevado ao quadrado, fecha parêntese, vezes, abre parêntese, R elevado ao cubo, fecha parêntese. O denominador é: G vezes, abre parêntese, T elevado ao quadrado, fecha parêntese.","Fração, cujo numerador é: 4 vezes, abre parêntese, Pi elevado ao quadrado, fecha parêntese, vezes, abre parêntese R elevado ao cubo, fecha parêntese. O denominador é: G vezes, abre parêntese, T elevado ao quadrado, fecha parêntese.","Fração, cujo numerador é: Pi elevado ao quadrado vezes, abre parêntese, R elevado à quinta potência, fecha parêntese. O denominador é: G vezes, abre parêntese, T elevado ao quadrado, fecha parêntese. ",2015,67,CN,D,portuguese,277
QUESTÃO 68,"Pesquisas recentes indicam que o Bisfenol A, substância encontrada em alguns plásticos usados comumente pela população humana, pode causar danos à saúde. Tem sido demonstrado, por exemplo, que a exposição de homens adultos ao Bisfenol A pode levar à impotência ou induzir à ginecomastia (crescimento de mamas). As alterações citadas ocorrem porque esse composto mimetiza o hormônio",cortisol.,estrogênio.,aldosterona.,testosterona.,do crescimento.,2015,68,CN,B,portuguese,277
QUESTÃO 69,"O soro fisiológico usado na limpeza de ferimentos é uma solução aquosa cujo único eletrólito presente é o cloreto de sódio, na concentração de 0,9 por cento. Para assegurar a qualidade do produto, o fabricante deve realizar diversos testes em laboratório, sendo um dos ensaios a determinação da concentração de cloreto de sódio. Qual destas técnicas o fabricante pode utilizar para controlar a concentração desse composto no produto?",O teste de chama.,A medida da turbidez.,A determinação da cor.,A determinação do pH.,A medida da condutividade.,2015,69,CN,E,portuguese,277
QUESTÃO 70,"Em altos-fornos siderúrgicos, as temperaturas acima de 600 graus Celsius são mensuradas por meio de pirômetros óticos. Esses dispositivos apresentam a vantagem de medir a temperatura de um objeto aquecido sem necessidade de contato. Dentro de um pirômetro ótico, um filamento metálico é aquecido pela passagem de corrente elétrica até que sua cor seja a mesma que a do objeto aquecido em observação. Nessa condição, a temperatura conhecida do filamento é idêntica à do objeto aquecido em observação. A propriedade da radiação eletromagnética avaliada nesse processo é a",amplitude.,coerência.,frequência.,intensidade.,velocidade.,2015,70,CN,C,portuguese,277
QUESTÃO 71,"A fenilcetonúria é uma doença hereditária autossômica recessiva, associada à mutação do gene PAH, que limita a metabolização do aminoácido fenilalanina. Por isso, é obrigatório, por lei, que as embalagens de alimentos, como refrigerantes dietéticos, informem a presença de fenilalanina em sua composição. Uma mulher portadora de mutação para o gene PAH tem três filhos normais, com um homem normal, cujo pai sofria de fenilcetonúria, devido à mesma mutação no gene PAH encontrada em um dos alelos da mulher. Qual a probabilidade de a quarta criança gerada por esses pais apresentar fenilcetonúria?",0 por cento,"12,5 por cento",25 por cento,50 por cento,75 por cento,2015,71,CN,C,portuguese,277
QUESTÃO 72,"Num sistema de freio convencional, as rodas do carro travam e os pneus derrapam no solo, caso a força exercida sobre o pedal seja muito intensa. O sistema ABS evita o travamento das rodas, mantendo a força de atrito no seu valor estático máximo, sem derrapagem. O coeficiente de atrito estático da borracha em contato com o concreto vale 1,0 e o coeficiente de atrito cinético para o mesmo par de materiais é 0,75. Dois carros, com velocidades iniciais iguais a 108 quilômetros por hora, iniciam a frenagem numa estrada perfeitamente horizontal de concreto no mesmo ponto. O carro 1 tem sistema ABS e utiliza a força de atrito estática máxima para a frenagem; já o carro 2 trava as rodas, de maneira que a força de atrito efetiva é a cinética. Considere g = 10 metros por segundo ao quadrado . As distâncias, medidas a partir do ponto em que iniciam a frenagem, que os carros 1 (d 1) e 2 (d2) percorrem até parar são, respectivamente,",d1 = 45 metros e d2 = 60 metros.,d1 = 60 metros e d2 = 45 metros.,d1 = 90 metros e d2 = 120 metros.,"d1 = 5,8 vezes abre parêntese 10 elevado ao quadrado fecha parêntese metros e d2 = 7,8 vezes abre parêntese 10 elevado ao quadrado fecha parêntese metros.","d1 = 7,8 vezes abre parêntese 10 elevado ao quadrado fecha parêntese metros e d2 = 5,8 vezes abre parêntese 10 elevado ao quadrado fecha parêntese metros.",2015,72,CN,A,portuguese,277
QUESTÃO 73,"Cinco indústrias de ramos diferentes foram instaladas ao longo do curso de um rio. O descarte dos efluentes dessas indústrias acarreta impacto na qualidade de suas águas. O pH foi determinado em diferentes pontos desse rio, a 25 graus Celsius , e os resultados são apresentados no quadro. Descrição da imagem: Quadro com duas colunas: na primeira coluna, são apresentados os pontos de coleta. Na segunda coluna, seus respectivos valores de pH. Ponto de coleta antes da primeira indústria: valor de pH 5,5. Ponto de coleta entre a primeira e a segunda indústria: valor de pH 5,5. Ponto de coleta entre a segunda e a terceira indústria: valor de pH 7,5. Ponto de coleta entre a terceira e a quarta indústria: valor de pH 7,0. Ponto de coleta entre a quarta e a quinta indústria: valor de pH 7,0. Ponto de coleta após a quinta indústria: valor de pH 6,5. A indústria que descarta um efluente com características básicas é a",primeira.,segunda.,terceira.,quarta.,quinta.,2015,73,CN,B,portuguese,277
QUESTÃO 74,"No manual de uma torneira elétrica são fornecidas instruções básicas de instalação para que o produto funcione corretamente: • Se a torneira for conectada à caixa-d’água domiciliar, a pressão da água na entrada da torneira deve ser no mínimo 18 quilopascal e no máximo 38 quilopascal . • Para pressões da água entre 38 quilopascal e 75 quilopascal ou água proveniente diretamente da rede pública, é necessário utilizar o redutor de pressão que acompanha o produto. • Essa torneira elétrica pode ser instalada em um prédio ou em uma casa. Considere a massa específica da água 1 000 quilogramas por metro cúbico e a aceleração da gravidade 10 metros por segundo ao quadra do. Descrição da imagem: Esquema que apresenta a forma de ligação de uma torneira elétrica a uma caixa-d’água. Nesta, há uma boia que determina o nível máximo de água. A altura h corresponde à distância entre a torneira elétrica e este nível. Na representação, a caixa-d’água está cheia. Para que a torneira funcione corretamente, sem o uso do redutor de pressão, quais deverão ser a mínima e a máxima altura entre a torneira e a caixa-d’água?","1,8 metro e 3,8 metros","1,8 metro e 7,5 metros","3,8 metros e 7,5 metros",18 metros e 38 metros,18 metros e 75 metros,2015,74,CN,A,portuguese,277
QUESTÃO 75,"De acordo com estatísticas do Ministério da Saúde, cerca de 5 por cento das pessoas com dengue hemorrágica morrem. A dengue hemorrágica tem como base fisiopatológica uma resposta imune anômala, causando aumento da permeabilidade de vasos sanguíneos, queda da pressão arterial e manifestações hemorrágicas, podendo ocorrer manchas vermelhas na pele e sangramento pelo nariz, boca e gengivas. O hemograma do paciente pode apresentar como resultado leucopenia (diminuição do número de glóbulos brancos), linfocitose (aumento do número de linfócitos), aumento do hematócrito e trombocitopenia (contagem de plaquetas abaixo de 100 000 por milímetro cúbico ). Relacionando os sintomas apresentados pelo paciente com dengue hemorrágica e os possíveis achados do hemograma, constata-se que","as manifestações febris ocorrem em função da diminuição dos glóbulos brancos, uma vez que estes controlam a temperatura do corpo.","a queda na pressão arterial é ocasionada pelo aumento do número de linfócitos, que têm como função principal a produção de anticorpos.","o sangramento pelo nariz, pela boca e gengiva é ocasionado pela quantidade reduzida de plaquetas, que são responsáveis pelo transporte de oxigênio.","as manifestações hemorrágicas estão associadas à trombocitopenia, uma vez que as plaquetas estão envolvidas na cascata de coagulação sanguínea.","os sangramentos observados ocorrem em função da linfocitose, uma vez que os linfócitos são responsáveis pela manutenção da integridade dos vasos sanguíneos.",2015,75,CN,D,portuguese,277
QUESTÃO 76,"O poli(ácido lático) ou PLA é um material de interesse tecnológico por ser um polímero biodegradável e bioabsorvível. O ácido lático, um metabólito comum no organismo humano, é a matéria-prima para produção do PLA, de acordo com a equação química simplificada: Descrição da equação química simplificada: O reagente, denominado ácido d/l-lático, possui em sua estrutura um átomo de carbono ligado a um grupo OH, a um grupo COOH, a um grupo CH3 e a um átomo de H. Esse reagente sofre reação química de polimerização, formando uma estrutura principal similar à de ácido d/l-lático, que se repete n vezes (sem o hidrogênio do grupo OH e sem o grupo OH do grupo COOH). Na extremidade esquerda da estrutura principal, há uma estrutura similar à do ácido d/l-lático (sem o grupo OH do grupo COOH). Na extremidade direita da estrutura principal, há uma estrutura similar à do ácido d/l-lático (sem o hidrogênio do grupo OH). A ligação entre as moléculas de ácido d/l-lático no polímero ocorre pelas suas extremidades, formando o grupo COOC, que se repete n vezes, sendo n maior ou igual a 100 e menor ou igual a 10 000. Que tipo de polímero de condensação é formado nessa reação?",Poliéster.,Polivinila.,Poliamida.,Poliuretana.,Policarbonato.,2015,76,CN,A,portuguese,277
QUESTÃO 77,"O alumínio é um metal bastante versátil, pois, a partir dele, podem-se confeccionar materiais amplamente utilizados pela sociedade. A obtenção do alumínio ocorre a partir da bauxita, que é purificada e dissolvida em criolita fundida (Na3AlF6) e eletrolisada a cerca de 1 000 graus Celsius. Há liberação do gás dióxido de carbono (CO2), formado a partir da reação de um dos produtos da eletrólise com o material presente nos eletrodos. O ânodo é formado por barras de grafita submergidas na mistura fundida. O cátodo é uma caixa de ferro coberta de grafita. A reação global do processo é: Descrição da equação química balanceada do processo: Os reagentes 2 Al2O3 (líquido) + 3 C (sólido) formam os produtos 4 Al (líquido) + 3 CO2 (gasoso). Na etapa de obtenção do alumínio líquido, as reações que ocorrem no cátodo e ânodo são:","Cátodo: Os reagentes Al3+ + 3 elétrons formam o produto Al. Ânodo: O reagente 2 O 2− forma os produtos O2 + 4 elétrons, e os reagentes C + O2 formam o produto CO2.","Cátodo: O reagente 2 O 2− forma os produtos O2 + 4 elétrons, e os reagentes C + O2 formam o produto CO2. Ânodo: Os reagentes Al3+ + 3 elétrons formam o produto Al.","Cátodo: Os reagentes Al3+ + 3 elétrons formam o produto Al, e o reagente 2 O 2− forma os produtos O2 + 4 elétrons. Ânodo: Os reagentes C + O2 formam o produto CO2.","Cátodo: Os reagentes Al3+ + 3 elétrons formam o produto Al, e os reagentes C + O2 formam o produto CO2. Ânodo: O reagente 2 O 2− forma os produtos O2 + 4 elétrons.","Cátodo: O reagente 2 O 2− forma os produtos O2 + 4 elétrons. Ânodo: Os reagentes Al3+ + 3 elétrons formam o produto Al, e os reagentes C + O2 formam o produto CO2. ",2015,77,CN,A,portuguese,277
QUESTÃO 78,"A rede elétrica de uma residência tem tensão de 110 volts e o morador compra, por engano, uma lâmpada incandescente com potência nominal de 100 watts e tensão nominal de 220 volts. Se essa lâmpada for ligada na rede de 110 volts, o que acontecerá?","A lâmpada brilhará normalmente, mas como a tensão é a metade da prevista, a corrente elétrica será o dobro da normal, pois a potência elétrica é o produto de tensão pela corrente.","A lâmpada não acenderá, pois ela é feita para trabalhar apenas com tensão de 220 volts, e não funciona com tensão abaixo desta.","A lâmpada irá acender dissipando uma potência de 50 watts, pois como a tensão é metade da esperada, a potência também será reduzida à metade.","A lâmpada irá brilhar fracamente, pois com a metade da tensão nominal, a corrente elétrica também será menor e a potência dissipada será menos da metade da nominal.","A lâmpada queimará, pois como a tensão é menor do que a esperada, a corrente será maior, ultrapassando a corrente para a qual o filamento foi projetado.",2015,78,CN,D,portuguese,277
QUESTÃO 79,"A obtenção de sistemas coloidais estáveis depende das interações entre as partículas dispersas e o meio onde se encontram. Em um sistema coloidal aquoso, cujas partículas são hidrofílicas, a adição de um solvente orgânico miscível em água, como etanol, desestabiliza o coloide, podendo ocorrer a agregação das partículas preliminarmente dispersas. A desestabilização provocada pelo etanol ocorre porque",a polaridade da água no sistema coloidal é reduzida.,as cargas superficiais das partículas coloidais são diminuídas.,as camadas de solvatação de água nas partículas são diminuídas.,o processo de miscibilidade da água e do solvente libera calor para o meio.,a intensidade dos movimentos brownianos das partículas coloidais é reduzida.,2015,79,CN,C,portuguese,277
